lambda,test_auc,valid_auc,exp_id,dir,probe_pearson,probe_selectivity,init_corr,rate_corr,h2_functional,fidelity
0.0,0.7252228342639844,0.732249665816461,336916,20251226_190425_idkt_assist2015_hr_sweep_l0.0_336916,0.7762060210258298,0.6063425329340786,-0.03917286362615654,0.09082811987963699,0.0975084107098766,0.04972122232111902
0.1,0.7233406482864355,0.7305235391619403,306145,20251226_190425_idkt_assist2015_hr_sweep_l0.1_306145,0.804613141000445,0.6514971211988485,0.9216577572619179,0.8801089343287634,0.17493549334809164,0.6589007283129243
0.2,0.7169317343846754,0.7242091206324314,550699,20251226_190425_idkt_assist2015_hr_sweep_l0.2_550699,0.867559585316253,0.7570556611592189,0.926957372789693,0.8878053234456436,0.19800918593669922,0.670923960724012
0.3,0.7092509438516842,0.717143005825805,128896,20251226_190425_idkt_assist2015_hr_sweep_l0.3_128896,0.9013258242868989,0.8181498274990893,0.9144076570425281,0.8767456285850748,0.20063938721970476,0.6639308909491025
0.4,0.7007975376594671,0.7085381812331794,917029,20251226_190425_idkt_assist2015_hr_sweep_l0.4_917029,0.9209554029637896,0.8534173972781648,0.884287236544795,0.8482822558031825,0.1815579686493505,0.6380424869991094
0.5,0.6941720024762402,0.7014169399787256,233088,20251226_190425_idkt_assist2015_hr_sweep_l0.5_233088,0.9311773569581338,0.872089080391611,0.8796256617595335,0.8463023156080114,0.1827098514438,0.6362126096037816
0.6,0.6877560891799327,0.6959017119634566,894033,20251226_190425_idkt_assist2015_hr_sweep_l0.6_894033,0.9255112442867935,0.8608775762703677,0.798879912711937,0.7675181775030555,0.14894825222444621,0.5717821141464796
0.7,0.682480396819716,0.6906137303310477,119954,20251226_190425_idkt_assist2015_hr_sweep_l0.7_119954,0.9348873293409983,0.8774022061721636,0.8166755805337037,0.7865605108368781,0.15493557747246067,0.5860572229476807
0.8,0.6785058736401937,0.6868185718713339,535812,20251226_190425_idkt_assist2015_hr_sweep_l0.8_535812,0.93082490577359,0.8710747724202542,0.770609591947392,0.7431907194844503,0.1435798339396058,0.5524600484571494
1.0,0.6723581986665123,0.6806333280215491,508423,20251226_190425_idkt_assist2015_hr_sweep_l1.0_508423,0.9356848286444881,0.8800662570948883,0.768789779264995,0.7431014578638168,0.1437746202579097,0.5518886191289072
