AS2009 Param Evolution:
 lambda  rate_mean  rate_std  rate_corr_bkt  init_mean  init_std  init_corr_bkt l_student  l_init  l_rate
    0.0   0.497770  0.016928      -0.006665   0.500812  0.015394      -0.138233      None     0.0     0.0
    0.0   0.475801  0.018832       0.286382   0.521797  0.019242       0.516556      None     NaN     NaN
    0.2   0.463009  0.019255       0.357808   0.532037  0.024654       0.602717      None     0.2     0.2
    0.3   0.456526  0.019259       0.369975   0.538263  0.028414       0.625015      None     0.3     0.3
    0.4   0.472545  0.017583       0.195614   0.522491  0.020994       0.422579      None     0.4     0.4
    0.5   0.482200  0.017159       0.106591   0.513878  0.017791       0.245608      None     0.5     0.5
    0.6   0.482093  0.017157       0.102834   0.513998  0.017863       0.246014      None     0.6     0.6
    0.7   0.482010  0.017155       0.100328   0.514081  0.017914       0.246249      None     0.7     0.7
    0.8   0.494570  0.016946       0.013238   0.503350  0.015547      -0.057165      None     0.8     0.8
    1.0   0.495585  0.016939       0.006827   0.502533  0.015477      -0.083246      None     1.0     1.0

AS2015 Param Evolution:
 lambda  rate_mean  rate_std  rate_corr_bkt  init_mean  init_std  init_corr_bkt l_student  l_init  l_rate
    0.0   0.499379  0.014928       0.090828   0.499689  0.015828      -0.039173      None     0.0     0.0
    0.0   0.460557  0.036292       0.880109   0.521010  0.039450       0.921658      None     NaN     NaN
    0.2   0.448352  0.046445       0.887805   0.528654  0.051158       0.926957      None     0.2     0.2
    0.3   0.446597  0.048110       0.876746   0.530340  0.053835       0.914408      None     0.3     0.3
    0.4   0.455913  0.040877       0.848282   0.525285  0.046016       0.884287      None     0.4     0.4
    0.5   0.455318  0.041403       0.846302   0.525834  0.047079       0.879626      None     0.5     0.5
    0.6   0.472285  0.028608       0.767518   0.515894  0.031691       0.798880      None     0.6     0.6
    0.7   0.469227  0.030849       0.786561   0.517780  0.034647       0.816676      None     0.7     0.7
    0.8   0.475021  0.026667       0.743191   0.514360  0.029532       0.770610      None     0.8     0.8
    1.0   0.474908  0.026750       0.743101   0.514476  0.029779       0.768790      None     1.0     1.0
