epoch,train_loss,train_auc,val_loss,val_auc,val_accuracy,monotonicity_violation_rate,negative_gain_rate,bounds_violation_rate,mastery_correlation,gain_correlation,main_loss_share,constraint_loss_share,alignment_loss_share,lag_loss_share,retention_loss_share
1,0.542670750092966,0.6918019136723044,0.5152259821794472,0.7171504003535029,0.7511313978724854,0.0,0.0,0.0,0.12809842167444963,0.04075902460493379,0.9808945221769525,0.019105478067372953,-0.004985289700636672,0.0,0.0
2,0.5189283145832891,0.7244313890245558,0.5099180906402822,0.7245276365509687,0.7545085596940116,0.0,0.0,0.0,0.09621946217417014,0.030457146338020775,0.9902271209046375,0.009772877054235915,-0.021965033543678264,0.0,0.0
3,0.50798224677076,0.7367763839288396,0.5095434389552291,0.725707769378676,0.753817555401999,0.0,0.0,0.0,0.0740481329409302,0.01576768028142096,0.9958420091115531,0.004157986765725112,-0.043226706648937435,0.0,0.0
4,0.49551869318892916,0.747156703524789,0.5113157775937295,0.7240113045781821,0.7525036740016935,0.0,0.0,0.0,0.11268586542766688,0.007477404887736284,1.0066671794544635,-0.006667179688182462,-0.0703723045996746,0.0,0.0
5,0.47891027244879175,0.7584257280610055,0.5157897356821566,0.7184288760646469,0.7496520647402894,0.0,0.0,0.0,0.08512212498300685,-0.011184447336354012,1.024273425566493,-0.024273427460783252,-0.10630734660765101,0.0,0.0
6,0.45360816127278025,0.7735607432447292,0.5253726523749682,0.7078254056099919,0.7444841312324207,0.0,0.0,0.0,0.1140689168124301,0.0007663484276499446,1.055854993393583,-0.055854995372260026,-0.15923368880236416,0.0,0.0
7,0.4459322172125386,0.7943551809764564,0.5437080963533751,0.6929890636112681,0.7374767637641242,0.0,0.0,0.0,0.097032005037924,0.034406446415524636,1.0350364545928683,-0.035036452688343385,-0.15737846762358831,0.0,0.0
8,0.4109620912087396,0.8188572999367661,0.5749742425217921,0.6755850616471643,0.7267515985557037,0.0,0.0,0.0,0.10681003656392044,0.015097242941221306,1.0669248229308295,-0.06692482612464597,-0.21862476106081707,0.0,0.0
9,0.40063357523068244,0.8458661044348257,0.6151987898106478,0.6614229130388912,0.7072185617378272,0.0,0.0,0.0,0.11976484389963642,0.027755092753115863,1.0219769558703142,-0.021976955870314088,-0.1776871265511176,0.0,0.0
10,0.34945013671341335,0.8808999186972941,0.6472637799321389,0.665825720789974,0.7300509007386933,0.0,0.0,0.0,0.13096657437664697,0.05303518628845806,1.0459956556933099,-0.0460102448569729,-0.22511007499597344,0.0,1.4592484773114992e-05
11,0.33489714115085994,0.9039122119363847,0.6891154342768143,0.6565822742240128,0.7184498145967357,0.0,0.0,0.0,0.12779951206862522,0.04808999958051184,0.9887340685652918,0.011233803523612829,-0.1745686964575213,-0.001108689502186432,3.2156088368488655e-05
12,0.3044807595138105,0.9200757237230246,0.7319497770192672,0.6495832468622851,0.704727053304655,0.0,0.0,0.0,0.1311221090810266,0.055809020596427485,0.9973009609887196,0.0026986504741043213,-0.1975495568366015,-0.005297721454019557,3.743481378249196e-07
