epoch,train_loss,train_auc,val_loss,val_auc,val_accuracy,monotonicity_violation_rate,negative_gain_rate,bounds_violation_rate,mastery_correlation,gain_correlation,main_loss_share,constraint_loss_share,alignment_loss_share,lag_loss_share,retention_loss_share
1,0.5420593180804673,0.6920527023080993,0.5164019848619189,0.7154531168397298,0.750586380402729,0.0,0.0,0.0,0.09201719835970203,0.025411892238428435,0.9814656215397238,0.018534373472208147,-0.004934983392827592,0.0,0.0
2,0.5186923683616164,0.7244444309549019,0.5096538340558812,0.7248538102957883,0.7542068535946822,0.0,0.0,0.0,0.08580953444712647,0.019163482614785825,0.9908282418773903,0.00917175708995315,-0.022644688680014135,0.0,0.0
3,0.5072219093846534,0.7368326242657669,0.5090662818782183,0.7257855146281182,0.7549562526155972,0.0,0.0,0.0,0.0926346814361535,-0.0015801079657280191,0.9973849005374988,0.002615102383175833,-0.044737318755872835,0.0,0.0
4,0.49496028398602737,0.7465903255877152,0.5109367413180215,0.7237120382738507,0.7528053801010229,0.0,0.0,0.0,0.1294631705071037,0.008211028048077438,1.0086304137063984,-0.008630411464064382,-0.07241489350718218,0.0,0.0
5,0.4788592941093939,0.7572047541443073,0.5152228419878044,0.7188504966547754,0.7504793233997411,0.0,0.0,0.0,0.15048658553056277,0.012873219772234407,1.0268897396690604,-0.02688974031399369,-0.10872048241329753,0.0,0.0
6,0.4558076035482278,0.771050845786041,0.5227713250384038,0.7099843796205791,0.747004837030044,0.0,0.0,0.0,0.1303844473181491,0.014716140429012283,1.055736836097019,-0.055736839188339896,-0.15862198574692596,0.0,0.0
7,0.42303927914466266,0.7891679256258244,0.537098368819879,0.6982838380515972,0.7433162366543713,0.0,0.0,0.0,0.12297119487662853,0.017129501323339638,1.1019511590505602,-0.10195115968933861,-0.23107219801743611,0.0,0.0
8,0.414048831079908,0.8137140387502738,0.5647944741103114,0.6822415010973,0.7344499703160128,0.0,0.0,0.0,0.13073710294144786,0.04023436882014978,1.0712690439114292,-0.07126904391142924,-0.221884165449317,0.0,0.0
9,0.4063254512962282,0.8397559828824985,0.6153645138351285,0.6649048028326848,0.7174571042053938,0.0,0.0,0.0,0.1252131838287836,0.061065386628365845,1.0247670156033155,-0.024767012325550068,-0.17848407707153882,0.0,0.0
10,0.35476934083694006,0.8760022369422144,0.6249874197706884,0.6680559740870056,0.7208537309365541,0.0,0.0,0.0,0.1201192868423832,0.08104770270907824,1.049859813238293,-0.04986149039601241,-0.2262242248462061,0.0,1.714821741168008e-06
11,0.338642901089525,0.9007435633174955,0.6791666636661607,0.6553185365834122,0.7116760260440491,0.0,0.0,0.0,0.12898990425178936,0.08558737280533152,0.9927653719696641,0.007219230433387088,-0.175859356288644,-0.0015596552455223946,1.5395550233393968e-05
12,0.3254990705091101,0.9174967716225093,0.7336239170055,0.6457669489005822,0.6982355059416636,0.0,0.0,0.0,0.14946748104373,0.0897660552218687,0.9464265662786214,0.053543862583017764,-0.13121450356714617,-0.007141816045555767,2.9564549498299304e-05
