epoch,train_loss,train_auc,val_loss,val_auc,val_accuracy,monotonicity_violation_rate,negative_gain_rate,bounds_violation_rate,mastery_correlation,gain_correlation,main_loss_share,constraint_loss_share,alignment_loss_share,lag_loss_share,retention_loss_share
1,0.5451487287338533,0.6935369342645058,0.5163354660783496,0.7173204779388027,0.751092468053217,0.0,0.0,0.0,0.11295525627354384,0.023686848485301504,0.9695747184533582,0.03042528083470044,-0.004837445071102084,0.0,0.0
2,0.5323414780933005,0.724358375692818,0.5100871786779287,0.7246751364673608,0.7539830071338893,0.0,0.0,0.0,0.11179025058639078,0.03870696379115133,0.965510753018337,0.03448924501462731,-0.021676722301619256,0.0,0.0
3,0.5275329124433389,0.736814466295446,0.5095675082839265,0.7255093624420091,0.754051134317609,0.0,0.0,0.0,0.09416183980188687,0.031051930580880523,0.9590035775650899,0.0409964252248387,-0.042343537216850996,0.0,0.0
4,0.5214351875794366,0.7470278549187669,0.5113569455487388,0.7231689656081359,0.7525912660950471,0.0,0.0,0.0,0.11428069408346271,0.033465281868759494,0.9568887364529018,0.04311126260316195,-0.06839096913691337,0.0,0.0
5,0.5100697851860462,0.7585487953081338,0.51641361689081,0.7174375573859757,0.7493990209150454,0.0,0.0,0.0,0.1436402247455972,0.01302178669934027,0.9617628475348946,0.038237153297627745,-0.1037964345793498,0.0,0.0
6,0.49111561639321283,0.7739713891044957,0.5273377153338218,0.7080211000047384,0.742294328898578,0.0,0.0,0.0,0.12834879486416614,0.024164784726565688,0.9746508001591913,0.025349198622434413,-0.1513611542168652,0.0,0.0
7,0.4875256076377908,0.7969258095618676,0.5470747899036018,0.694078706207996,0.7330582292771706,0.0,0.0,0.0,0.08834862357802159,0.028710101495825535,0.9420620021866488,0.05793799322070098,-0.14944368890703078,0.0,0.0
8,0.4823139732983446,0.8238573588331568,0.5759141621541004,0.6787591443118164,0.7252528005138736,0.0,0.0,0.0,0.11231218599288614,0.032076491991116,0.8987582303567556,0.10124177144412733,-0.13800622245328648,0.0,0.0
9,0.44636660212062185,0.8507768978418353,0.6148634406985068,0.6642362795981906,0.7294766859044857,0.0,0.0,0.0,0.14730227284496142,0.04728525752043983,0.9044525809939422,0.09554741684393121,-0.16327461128885434,0.0,0.0
10,0.39273958672513615,0.8863140757021487,0.6466850151821059,0.664949299554583,0.7192770732561874,0.0,0.0,0.0,0.15224901785630698,0.06779119719234208,0.911726580536458,0.08827341882462937,-0.20619477667874864,0.0,0.0
11,0.35152391850021836,0.909312005307015,0.6858031895695901,0.6561411527899716,0.7118706751403907,0.0,0.0,0.0,0.1475857384265184,0.07284557835879117,0.9166532734938423,0.08334672573742398,-0.2441139790449303,-0.0016382910232173359,0.0
12,0.3477387789617548,0.9241412259570058,0.6956283961023603,0.6520190671426218,0.7098171271739872,0.0,0.0,0.0,0.16201787984575622,0.07775299116557675,0.8508804885002924,0.14911951027854825,-0.17810559794972608,-0.005453670555158605,0.0
