epoch,train_loss,train_auc,val_loss,val_auc,val_accuracy,monotonicity_violation_rate,negative_gain_rate,bounds_violation_rate,mastery_correlation,gain_correlation,main_loss_share,constraint_loss_share,alignment_loss_share,lag_loss_share,retention_loss_share
1,0.5363346435554287,0.6793962572874872,0.5205806335624383,0.7082077513615653,0.7487080166230329,0.0,0.0,0.0,0.11383331536708992,0.033987371107804,0.9979315133974366,0.002068490255875669,-0.000504021444792557,0.0,0.0
2,0.5188341429505323,0.7148363041935426,0.5136375603627186,0.7184823020321858,0.7522506301764494,0.0,0.0,0.0,0.13639132343839358,0.00839465228471194,1.0019610724819166,-0.001961071591195732,-0.0025849396389993067,0.0,0.0
3,0.5098852323744582,0.7266447863447268,0.5113769909557031,0.7224083275238928,0.7534769194834013,0.0,0.0,0.0,0.1465338182565838,-0.0042522878343097354,1.005121478831143,-0.005121477402241088,-0.005579916953129516,0.0,0.0
4,0.5027869292800291,0.735205189393291,0.5105208864017409,0.7239064898204605,0.7536521036701087,0.0,0.0,0.0,0.14601497054750875,-0.0011116799115115524,1.008236468095191,-0.008236473017966928,-0.008619702761141483,0.0,0.0
5,0.49629923994677055,0.742599110275812,0.5109823333973788,0.7237718733082481,0.7536423712152917,0.0,0.0,0.0,0.13931464025317505,0.0183050255732577,1.0114201685247421,-0.011420169179599718,-0.011785906633694356,0.0,0.0
6,0.48950239367435633,0.7499133605303212,0.5132217741742426,0.721415533732758,0.7526496608239496,0.0,0.0,0.0,0.1313362446784469,0.020629289288404306,1.015027568911658,-0.015027569487579526,-0.01538493975414288,0.0,0.0
7,0.4810164201753745,0.7588947979546409,0.5175593817720607,0.7169017011704315,0.7510340733243146,0.0,0.0,0.0,0.12172436478638081,0.0418938914232327,1.0194529088471265,-0.01945291460488479,-0.01981194055457733,0.0,0.0
8,0.47159702990956875,0.7679758912755639,0.5238898128879313,0.7110976363319063,0.7478418281443129,0.0,0.0,0.0,0.11181114991684557,0.04358355186594069,1.02499576874578,-0.024995766862563853,-0.025382555676941393,0.0,0.0
9,0.4616723750848227,0.7786288605546646,0.5318937325964168,0.704658690872245,0.7450388811569942,0.0,0.0,0.0,0.10808726433172873,0.052009187088637776,1.0284247659179664,-0.028424770473995095,-0.028852615385418834,0.0,0.0
10,0.45075207238370274,0.7899996543418402,0.5421951534796734,0.6971410707166747,0.7405230221218698,0.0,0.0,0.0,0.10614191050604875,0.058680537547156165,1.03196818441575,-0.03196818376673191,-0.03244004365791702,0.0,0.0
11,0.4320011971219216,0.8085089680953806,0.5611979359266709,0.6881270586950574,0.7396179038238815,0.0,0.0,0.0,0.10683029830797618,0.06236836043133178,1.0377225907284797,-0.0377225958531218,-0.03826665480876427,0.0,0.0
12,0.42289419078456303,0.817079368442812,0.5670084168716353,0.6841178173038953,0.7369220138395508,0.0,0.0,0.0,0.10584010892856344,0.06711651337389549,1.040556499188658,-0.04055649868694496,-0.04114939961863967,0.0,0.0
13,0.4145371073885903,0.8245112013821517,0.5753447997326754,0.6805519133405689,0.7341385317618663,0.0,0.0,0.0,0.10316386868966688,0.07113059681920227,1.0430148803461683,-0.043014882276888954,-0.04366041637491016,0.0,0.0
14,0.4066285532682053,0.8312913000882682,0.586663623245395,0.6762135258123326,0.7318514048798529,0.0,0.0,0.0,0.10182150934103298,0.07816903761577706,1.045352666811423,-0.04535266751492021,-0.04605502382333245,0.0,0.0
15,0.39875007447801103,0.8379139700126959,0.5948479625643516,0.6731130039446857,0.7281336071397289,0.0,0.0,0.0,0.09706151095320305,0.06875769836803883,1.0475842567178324,-0.04758425913398817,-0.04834079856496927,0.0,0.0
16,0.3919128179550171,0.8435351335754895,0.6026522845638042,0.670868814541743,0.7245131339477756,0.0,0.0,0.0,0.09650640040785,0.06754327829239222,1.049811325362065,-0.049811328133577026,-0.05062383925798285,0.0,0.0
17,0.37981302101995046,0.8531186542632327,0.6204516656544744,0.6660236336415513,0.7199194152741146,0.0,0.0,0.0,0.09630156116461654,0.07488482806212722,1.0535655455986266,-0.05356554897119534,-0.05445035927517963,0.0,0.0
