short_title,status,gpu_id,duration_minutes,beta_skill_init,m_sat_init,gamma_student_init,sigmoid_offset,bce_loss_weight,encoder2_test_auc,encoder1_test_auc,test_auc,test_acc,exp_dir
lc_b1.5_m0.7_g0.9_o2.5,success,2,4.98,1.5,0.7,0.9,2.5,0.2,0.5086,0.6860,0.6860,0.7359,examples/experiments/20251116_174852_gainakt3exp_lc_b1.5_m0.7_g0.9_o2.5_413332
lc_b1.5_m0.7_g1.1_o1.5,success,6,4.99,1.5,0.7,1.1,1.5,0.2,0.5251,0.6860,0.6860,0.7359,examples/experiments/20251116_174852_gainakt3exp_lc_b1.5_m0.7_g1.1_o1.5_118868
lc_b1.5_m0.7_g0.9_o2.0,success,1,5.03,1.5,0.7,0.9,2.0,0.2,0.5126,0.6860,0.6860,0.7359,examples/experiments/20251116_174852_gainakt3exp_lc_b1.5_m0.7_g0.9_o2.0_557382
lc_b1.5_m0.7_g1.0_o2.0,success,4,5.03,1.5,0.7,1.0,2.0,0.2,0.5158,0.6860,0.6860,0.7359,examples/experiments/20251116_174852_gainakt3exp_lc_b1.5_m0.7_g1.0_o2.0_903182
lc_b1.5_m0.7_g1.0_o2.5,success,5,5.06,1.5,0.7,1.0,2.5,0.2,0.5111,0.6860,0.6860,0.7359,examples/experiments/20251116_174852_gainakt3exp_lc_b1.5_m0.7_g1.0_o2.5_648661
lc_b1.5_m0.7_g1.0_o1.5,success,3,5.10,1.5,0.7,1.0,1.5,0.2,0.5215,0.6860,0.6860,0.7359,examples/experiments/20251116_174852_gainakt3exp_lc_b1.5_m0.7_g1.0_o1.5_150623
lc_b1.5_m0.7_g0.9_o1.5,success,0,5.24,1.5,0.7,0.9,1.5,0.2,0.5180,0.6860,0.6860,0.7359,examples/experiments/20251116_174852_gainakt3exp_lc_b1.5_m0.7_g0.9_o1.5_675093
lc_b1.5_m0.7_g1.1_o2.0,success,0,5.09,1.5,0.7,1.1,2.0,0.2,0.5189,0.6860,0.6860,0.7359,examples/experiments/20251116_175351_gainakt3exp_lc_b1.5_m0.7_g1.1_o2.0_562161
lc_b1.5_m0.7_g1.1_o2.5,success,1,5.10,1.5,0.7,1.1,2.5,0.2,0.5142,0.6860,0.6860,0.7359,examples/experiments/20251116_175352_gainakt3exp_lc_b1.5_m0.7_g1.1_o2.5_740667
lc_b1.5_m0.8_g0.9_o2.5,success,4,5.04,1.5,0.8,0.9,2.5,0.2,0.5080,0.6860,0.6860,0.7359,examples/experiments/20251116_175356_gainakt3exp_lc_b1.5_m0.8_g0.9_o2.5_132457
lc_b1.5_m0.8_g0.9_o2.0,success,3,5.09,1.5,0.8,0.9,2.0,0.2,0.5118,0.6860,0.6860,0.7359,examples/experiments/20251116_175354_gainakt3exp_lc_b1.5_m0.8_g0.9_o2.0_490673
lc_b1.5_m0.8_g1.0_o1.5,success,5,5.04,1.5,0.8,1.0,1.5,0.2,0.5202,0.6860,0.6860,0.7359,examples/experiments/20251116_175358_gainakt3exp_lc_b1.5_m0.8_g1.0_o1.5_892137
lc_b1.5_m0.8_g0.9_o1.5,success,2,5.20,1.5,0.8,0.9,1.5,0.2,0.5169,0.6860,0.6860,0.7359,examples/experiments/20251116_175354_gainakt3exp_lc_b1.5_m0.8_g0.9_o1.5_498523
lc_b1.5_m0.8_g1.0_o2.0,success,6,5.16,1.5,0.8,1.0,2.0,0.2,0.5150,0.6860,0.6860,0.7359,examples/experiments/20251116_175407_gainakt3exp_lc_b1.5_m0.8_g1.0_o2.0_735120
lc_b1.5_m0.8_g1.1_o2.5,success,3,5.05,1.5,0.8,1.1,2.5,0.2,0.5136,0.6860,0.6860,0.7359,examples/experiments/20251116_175859_gainakt3exp_lc_b1.5_m0.8_g1.1_o2.5_727130
lc_b1.5_m0.8_g1.0_o2.5,success,0,5.09,1.5,0.8,1.0,2.5,0.2,0.5106,0.6860,0.6860,0.7359,examples/experiments/20251116_175857_gainakt3exp_lc_b1.5_m0.8_g1.0_o2.5_967664
lc_b1.5_m0.8_g1.1_o2.0,success,2,5.07,1.5,0.8,1.1,2.0,0.2,0.5181,0.6860,0.6860,0.7359,examples/experiments/20251116_175859_gainakt3exp_lc_b1.5_m0.8_g1.1_o2.0_862952
lc_b1.5_m0.9_g0.9_o2.0,success,5,5.07,1.5,0.9,0.9,2.0,0.2,0.5112,0.6860,0.6860,0.7359,examples/experiments/20251116_175906_gainakt3exp_lc_b1.5_m0.9_g0.9_o2.0_274803
lc_b1.5_m0.8_g1.1_o1.5,success,1,5.22,1.5,0.8,1.1,1.5,0.2,0.5239,0.6860,0.6860,0.7359,examples/experiments/20251116_175857_gainakt3exp_lc_b1.5_m0.8_g1.1_o1.5_152447
lc_b1.5_m0.9_g0.9_o1.5,success,4,5.18,1.5,0.9,0.9,1.5,0.2,0.5160,0.6860,0.6860,0.7359,examples/experiments/20251116_175901_gainakt3exp_lc_b1.5_m0.9_g0.9_o1.5_401598
lc_b1.5_m0.9_g0.9_o2.5,success,6,5.02,1.5,0.9,0.9,2.5,0.2,0.5075,0.6860,0.6860,0.7359,examples/experiments/20251116_175917_gainakt3exp_lc_b1.5_m0.9_g0.9_o2.5_249548
lc_b1.5_m0.9_g1.0_o2.5,success,2,4.98,1.5,0.9,1.0,2.5,0.2,0.5102,0.6860,0.6860,0.7359,examples/experiments/20251116_180402_gainakt3exp_lc_b1.5_m0.9_g1.0_o2.5_129964
lc_b1.5_m0.9_g1.0_o1.5,success,0,5.04,1.5,0.9,1.0,1.5,0.2,0.5191,0.6860,0.6860,0.7359,examples/experiments/20251116_180402_gainakt3exp_lc_b1.5_m0.9_g1.0_o1.5_926475
lc_b1.5_m0.9_g1.1_o2.0,success,4,5.03,1.5,0.9,1.1,2.0,0.2,0.5173,0.6860,0.6860,0.7359,examples/experiments/20251116_180411_gainakt3exp_lc_b1.5_m0.9_g1.1_o2.0_798988
lc_b1.5_m0.9_g1.1_o1.5,success,3,5.05,1.5,0.9,1.1,1.5,0.2,0.5225,0.6860,0.6860,0.7359,examples/experiments/20251116_180410_gainakt3exp_lc_b1.5_m0.9_g1.1_o1.5_743364
lc_b1.5_m0.9_g1.0_o2.0,success,1,5.20,1.5,0.9,1.0,2.0,0.2,0.5142,0.6860,0.6860,0.7359,examples/experiments/20251116_180402_gainakt3exp_lc_b1.5_m0.9_g1.0_o2.0_597055
lc_b1.5_m0.9_g1.1_o2.5,success,5,5.05,1.5,0.9,1.1,2.5,0.2,0.5129,0.6860,0.6860,0.7359,examples/experiments/20251116_180412_gainakt3exp_lc_b1.5_m0.9_g1.1_o2.5_487731
lc_b2.0_m0.7_g0.9_o1.5,success,6,5.08,2.0,0.7,0.9,1.5,0.2,0.5242,0.6860,0.6860,0.7359,examples/experiments/20251116_180418_gainakt3exp_lc_b2.0_m0.7_g0.9_o1.5_486795
lc_b2.0_m0.7_g0.9_o2.0,success,0,5.07,2.0,0.7,0.9,2.0,0.2,0.5184,0.6860,0.6860,0.7359,examples/experiments/20251116_180901_gainakt3exp_lc_b2.0_m0.7_g0.9_o2.0_496516
lc_b2.0_m0.7_g0.9_o2.5,success,1,5.10,2.0,0.7,0.9,2.5,0.2,0.5138,0.6860,0.6860,0.7359,examples/experiments/20251116_180905_gainakt3exp_lc_b2.0_m0.7_g0.9_o2.5_862973
lc_b2.0_m0.7_g1.0_o2.5,success,4,5.03,2.0,0.7,1.0,2.5,0.2,0.5176,0.6860,0.6860,0.7359,examples/experiments/20251116_180915_gainakt3exp_lc_b2.0_m0.7_g1.0_o2.5_520537
lc_b2.0_m0.7_g1.1_o1.5,success,5,5.02,2.0,0.7,1.1,1.5,0.2,0.5329,0.6860,0.6860,0.7359,examples/experiments/20251116_180915_gainakt3exp_lc_b2.0_m0.7_g1.1_o1.5_765067
lc_b2.0_m0.7_g1.0_o2.0,success,3,5.10,2.0,0.7,1.0,2.0,0.2,0.5227,0.6860,0.6860,0.7359,examples/experiments/20251116_180913_gainakt3exp_lc_b2.0_m0.7_g1.0_o2.0_120879
lc_b2.0_m0.7_g1.0_o1.5,success,2,5.15,2.0,0.7,1.0,1.5,0.2,0.5284,0.6860,0.6860,0.7359,examples/experiments/20251116_180913_gainakt3exp_lc_b2.0_m0.7_g1.0_o1.5_102155
lc_b2.0_m0.7_g1.1_o2.0,success,6,5.05,2.0,0.7,1.1,2.0,0.2,0.5268,0.6860,0.6860,0.7359,examples/experiments/20251116_180922_gainakt3exp_lc_b2.0_m0.7_g1.1_o2.0_602236
lc_b2.0_m0.7_g1.1_o2.5,success,0,5.10,2.0,0.7,1.1,2.5,0.2,0.5216,0.6860,0.6860,0.7359,examples/experiments/20251116_181405_gainakt3exp_lc_b2.0_m0.7_g1.1_o2.5_432102
lc_b2.0_m0.8_g0.9_o1.5,success,1,5.07,2.0,0.8,0.9,1.5,0.2,0.5232,0.6860,0.6860,0.7359,examples/experiments/20251116_181411_gainakt3exp_lc_b2.0_m0.8_g0.9_o1.5_504189
lc_b2.0_m0.8_g0.9_o2.5,success,3,5.01,2.0,0.8,0.9,2.5,0.2,0.5133,0.6860,0.6860,0.7359,examples/experiments/20251116_181416_gainakt3exp_lc_b2.0_m0.8_g0.9_o2.5_553091
lc_b2.0_m0.8_g0.9_o2.0,success,2,5.05,2.0,0.8,0.9,2.0,0.2,0.5177,0.6860,0.6860,0.7359,examples/experiments/20251116_181416_gainakt3exp_lc_b2.0_m0.8_g0.9_o2.0_771161
lc_b2.0_m0.8_g1.0_o1.5,success,4,5.05,2.0,0.8,1.0,1.5,0.2,0.5276,0.6860,0.6860,0.7359,examples/experiments/20251116_181419_gainakt3exp_lc_b2.0_m0.8_g1.0_o1.5_677223
lc_b2.0_m0.8_g1.0_o2.0,success,5,5.03,2.0,0.8,1.0,2.0,0.2,0.5219,0.6860,0.6860,0.7359,examples/experiments/20251116_181422_gainakt3exp_lc_b2.0_m0.8_g1.0_o2.0_833000
lc_b2.0_m0.8_g1.0_o2.5,success,6,5.09,2.0,0.8,1.0,2.5,0.2,0.5171,0.6860,0.6860,0.7359,examples/experiments/20251116_181425_gainakt3exp_lc_b2.0_m0.8_g1.0_o2.5_697701
lc_b2.0_m0.8_g1.1_o1.5,success,0,5.04,2.0,0.8,1.1,1.5,0.2,0.5316,0.6860,0.6860,0.7359,examples/experiments/20251116_181911_gainakt3exp_lc_b2.0_m0.8_g1.1_o1.5_262832
lc_b2.0_m0.8_g1.1_o2.5,success,2,4.99,2.0,0.8,1.1,2.5,0.2,0.5210,0.6860,0.6860,0.7359,examples/experiments/20251116_181917_gainakt3exp_lc_b2.0_m0.8_g1.1_o2.5_741735
lc_b2.0_m0.8_g1.1_o2.0,success,1,5.09,2.0,0.8,1.1,2.0,0.2,0.5260,0.6860,0.6860,0.7359,examples/experiments/20251116_181915_gainakt3exp_lc_b2.0_m0.8_g1.1_o2.0_115936
lc_b2.0_m0.9_g0.9_o2.0,success,4,4.99,2.0,0.9,0.9,2.0,0.2,0.5170,0.6860,0.6860,0.7359,examples/experiments/20251116_181922_gainakt3exp_lc_b2.0_m0.9_g0.9_o2.0_824588
lc_b2.0_m0.9_g0.9_o1.5,success,3,5.11,2.0,0.9,0.9,1.5,0.2,0.5221,0.6860,0.6860,0.7359,examples/experiments/20251116_181919_gainakt3exp_lc_b2.0_m0.9_g0.9_o1.5_316838
lc_b2.0_m0.9_g0.9_o2.5,success,5,5.08,2.0,0.9,0.9,2.5,0.2,0.5127,0.6860,0.6860,0.7359,examples/experiments/20251116_181923_gainakt3exp_lc_b2.0_m0.9_g0.9_o2.5_809520
lc_b2.0_m0.9_g1.0_o1.5,success,6,5.06,2.0,0.9,1.0,1.5,0.2,0.5265,0.6860,0.6860,0.7359,examples/experiments/20251116_181931_gainakt3exp_lc_b2.0_m0.9_g1.0_o1.5_454293
lc_b2.0_m0.9_g1.0_o2.5,success,1,5.01,2.0,0.9,1.0,2.5,0.2,0.5165,0.6860,0.6860,0.7359,examples/experiments/20251116_182416_gainakt3exp_lc_b2.0_m0.9_g1.0_o2.5_108805
