epoch,train_loss,train_auc,train_acc,val_loss,val_auc,val_acc,train_bce_loss,train_im_loss,val_bce_loss,val_im_loss,train_encoder1_auc,train_encoder1_acc,val_encoder1_auc,val_encoder1_acc,train_encoder2_auc,train_encoder2_acc,val_encoder2_auc,val_encoder2_acc
1,0.578837,0.679942,0.734370,0.578837,0.675209,0.740241,0.563339,0.615000,0.563339,0.615000,0.679942,0.734370,0.675209,0.740241,0.465061,0.734370,0.466834,0.740241
2,0.572008,0.692802,0.734370,0.572008,0.686070,0.740241,0.554091,0.613815,0.554091,0.613815,0.692802,0.734370,0.686070,0.740241,0.468831,0.734370,0.470383,0.740241
3,0.569774,0.698201,0.734370,0.569774,0.689680,0.740241,0.551390,0.612668,0.551390,0.612668,0.698201,0.734370,0.689680,0.740241,0.470930,0.734370,0.472213,0.740241
4,0.568015,0.700378,0.734370,0.568015,0.688708,0.740241,0.549350,0.611566,0.549350,0.611566,0.700378,0.734370,0.688708,0.740241,0.472392,0.734370,0.473606,0.740241
5,0.566330,0.704545,0.734370,0.566330,0.689359,0.740241,0.547396,0.610508,0.547396,0.610508,0.704545,0.734370,0.689359,0.740241,0.473883,0.734370,0.475125,0.740241
6,0.564562,0.707083,0.734370,0.564562,0.687856,0.740241,0.545305,0.609496,0.545305,0.609496,0.707083,0.734370,0.687856,0.740241,0.475077,0.734370,0.476315,0.740241
7,0.562911,0.710454,0.734370,0.562911,0.687085,0.740241,0.543361,0.608526,0.543361,0.608526,0.710454,0.734370,0.687085,0.740241,0.476059,0.734370,0.477352,0.740241
8,0.561873,0.711486,0.734370,0.561873,0.684432,0.740241,0.542274,0.607601,0.542274,0.607601,0.711486,0.734370,0.684432,0.740241,0.477456,0.734370,0.478780,0.740241
9,0.560644,0.712646,0.734370,0.560644,0.681422,0.740241,0.540893,0.606729,0.540893,0.606729,0.712646,0.734370,0.681422,0.740241,0.478605,0.734370,0.480006,0.740241
10,0.559014,0.714316,0.734370,0.559014,0.680025,0.740241,0.538916,0.605908,0.538916,0.605908,0.714316,0.734370,0.680025,0.740241,0.479815,0.734370,0.481307,0.740241
11,0.557833,0.714611,0.734370,0.557833,0.677695,0.740241,0.537564,0.605129,0.537564,0.605129,0.714611,0.734370,0.677695,0.740241,0.481128,0.734370,0.482680,0.740241
12,0.556920,0.714525,0.734370,0.556920,0.676466,0.740241,0.536579,0.604381,0.536579,0.604381,0.714525,0.734370,0.676466,0.740241,0.482649,0.734370,0.484233,0.740241
