epoch,theta_global,beta_skill_mean,beta_skill_std,beta_skill_min,beta_skill_max,M_sat_mean,M_sat_std,M_sat_min,M_sat_max,gamma_student_mean,gamma_student_std,gamma_student_min,gamma_student_max,offset
1,0.817899,1.966806,0.000928,1.965680,1.975391,0.815931,0.012240,0.774351,0.830629,0.966645,0.000000,0.966645,0.966645,1.970564
2,0.785726,1.934027,0.002091,1.932537,1.953738,0.831536,0.024273,0.750686,0.861399,0.933844,0.000000,0.933844,0.933844,1.939860
3,0.753866,1.901636,0.003556,1.900111,1.935327,0.846729,0.036191,0.727764,0.891776,0.901574,0.000000,0.901574,0.901574,1.907976
4,0.722368,1.869615,0.005324,1.867445,1.920113,0.861482,0.047976,0.705464,0.921747,0.869811,0.000000,0.869811,0.869811,1.875108
5,0.691242,1.837948,0.007377,1.835067,1.907882,0.875792,0.059611,0.683735,0.951314,0.838535,0.000000,0.838535,0.838535,1.841484
6,0.660472,1.806604,0.009685,1.802443,1.898259,0.889669,0.071060,0.662553,0.980481,0.807723,0.000000,0.807723,0.807723,1.807389
7,0.629980,1.775572,0.012211,1.769469,1.890870,0.903027,0.081966,0.641899,1.004833,0.777359,0.000000,0.777359,0.777359,1.773459
8,0.599621,1.744893,0.014827,1.738714,1.884343,0.913652,0.089685,0.621753,1.015401,0.747435,0.000000,0.747435,0.747435,1.740344
9,0.569444,1.714576,0.017547,1.707123,1.878755,0.920828,0.094396,0.602108,1.026598,0.717943,0.000000,0.717943,0.717943,1.707467
10,0.539458,1.684573,0.020204,1.675646,1.872403,0.926240,0.098154,0.582951,1.037238,0.688869,0.000000,0.688869,0.688869,1.674388
11,0.509662,1.654862,0.022854,1.644253,1.865736,0.930460,0.101553,0.564276,1.047889,0.660206,0.000000,0.660206,0.660206,1.641052
12,0.480032,1.625434,0.025543,1.613004,1.859127,0.933364,0.104491,0.546076,1.059029,0.631948,0.000000,0.631948,0.631948,1.607360
