student_idx,global_idx,step,skill_id,actual_response,encoder1_pred,encoder2_pred,encoder1_binary,encoder2_binary,encoder1_match,encoder2_match,mastery,expected_gain,theta_global,threshold_temp,encoder2_pred_expected,total_steps,unique_skills,accuracy
1,1,1,14,1,0.999928,0.408514,1,0,1,0,0.383755,0.589942,0.753866,1.00,0.408514,11,3,0.8182
1,1,2,14,1,0.999953,0.486694,1,0,1,0,0.700631,0.590793,0.753866,1.00,0.486694,11,3,0.8182
1,1,3,14,0,0.999961,0.519655,1,1,0,0,0.832528,0.589718,0.753866,1.00,0.519655,11,3,0.8182
1,1,4,92,0,0.999812,0.519800,1,1,0,0,0.833108,0.585862,0.753866,1.00,0.519800,11,3,0.8182
1,1,5,92,1,0.995087,0.524032,1,1,1,1,0.850070,0.587883,0.753866,1.00,0.524032,11,3,0.8182
1,1,6,92,1,0.999747,0.525353,1,1,1,1,0.855364,0.589838,0.753866,1.00,0.525353,11,3,0.8182
1,1,7,92,1,0.999706,0.525704,1,1,1,1,0.856772,0.588582,0.753866,1.00,0.525704,11,3,0.8182
1,1,8,92,1,0.999746,0.525794,1,1,1,1,0.857135,0.586835,0.753866,1.00,0.525794,11,3,0.8182
1,1,9,1,1,0.998810,0.531963,1,1,1,1,0.881892,0.589586,0.753866,1.00,0.531963,11,3,0.8182
1,1,10,1,1,0.999633,0.531972,1,1,1,1,0.881927,0.588600,0.753866,1.00,0.531972,11,3,0.8182
1,1,11,1,1,0.998582,0.531973,1,1,1,1,0.881935,0.587516,0.753866,1.00,0.531973,11,3,0.8182
2,2,1,10,1,0.441822,0.407309,0,0,0,0,0.378764,0.592995,0.753866,1.00,0.407309,68,6,0.4265
2,2,2,0,0,0.994174,0.479491,1,0,0,1,0.671783,0.590680,0.753866,1.00,0.479491,68,6,0.4265
2,2,3,7,1,0.858518,0.522869,1,1,1,1,0.845405,0.589607,0.753866,1.00,0.522869,68,6,0.4265
2,2,4,7,0,0.992406,0.532077,1,1,0,0,0.882352,0.588765,0.753866,1.00,0.532077,68,6,0.4265
2,2,5,7,0,0.063823,0.533723,0,1,1,0,0.888965,0.586178,0.753866,1.00,0.533723,68,6,0.4265
2,2,6,0,1,0.091600,0.532075,0,1,0,1,0.882344,0.587188,0.753866,1.00,0.532075,68,6,0.4265
2,2,7,10,1,0.769921,0.533353,1,1,1,1,0.887478,0.587160,0.753866,1.00,0.533353,68,6,0.4265
2,2,8,10,1,0.812944,0.533436,1,1,1,1,0.887811,0.586401,0.753866,1.00,0.533436,68,6,0.4265
2,2,9,10,1,0.215982,0.533453,0,1,0,1,0.887879,0.587911,0.753866,1.00,0.533453,68,6,0.4265
2,2,10,0,0,0.983691,0.532548,1,1,0,0,0.884245,0.587865,0.753866,1.00,0.532548,68,6,0.4265
2,2,11,0,0,0.191976,0.532551,0,1,1,0,0.884253,0.587024,0.753866,1.00,0.532551,68,6,0.4265
