epoch,train_loss,train_auc,train_acc,val_loss,val_auc,val_acc,train_bce_loss,train_im_loss,val_bce_loss,val_im_loss,train_encoder1_auc,train_encoder1_acc,val_encoder1_auc,val_encoder1_acc,train_encoder2_auc,train_encoder2_acc,val_encoder2_auc,val_encoder2_acc
1,0.576720,0.679942,0.734370,0.576720,0.675209,0.740241,0.563339,0.607944,0.563339,0.607944,0.679942,0.734370,0.675209,0.740241,0.581455,0.734370,0.581728,0.740241
2,0.569730,0.692802,0.734370,0.569730,0.686070,0.740241,0.554091,0.606223,0.554091,0.606223,0.692802,0.734370,0.686070,0.740241,0.585327,0.734370,0.585182,0.740241
3,0.567379,0.698201,0.734370,0.567379,0.689680,0.740241,0.551390,0.604684,0.551390,0.604684,0.698201,0.734370,0.689680,0.740241,0.587125,0.734370,0.586817,0.740241
4,0.565512,0.700378,0.734370,0.565512,0.688708,0.740241,0.549350,0.603224,0.549350,0.603224,0.700378,0.734370,0.688708,0.740241,0.588144,0.734370,0.587769,0.740241
5,0.563727,0.704545,0.734370,0.563727,0.689359,0.740241,0.547396,0.601832,0.547396,0.601832,0.704545,0.734370,0.689359,0.740241,0.588956,0.734370,0.588491,0.740241
6,0.561862,0.707083,0.734370,0.561862,0.687856,0.740241,0.545305,0.600494,0.545305,0.600494,0.707083,0.734370,0.687856,0.740241,0.589774,0.734370,0.589423,0.740241
7,0.560100,0.710454,0.734370,0.560100,0.687085,0.740241,0.543361,0.599158,0.543361,0.599158,0.710454,0.734370,0.687085,0.740241,0.591600,0.734370,0.591349,0.740241
8,0.558948,0.711486,0.734370,0.558948,0.684432,0.740241,0.542274,0.597854,0.542274,0.597854,0.711486,0.734370,0.684432,0.740241,0.592363,0.734370,0.591970,0.740241
9,0.557678,0.712646,0.734370,0.557678,0.681422,0.740241,0.540893,0.596843,0.540893,0.596843,0.712646,0.734370,0.681422,0.740241,0.589644,0.734370,0.588752,0.740241
10,0.556046,0.714316,0.734370,0.556046,0.680025,0.740241,0.538916,0.596014,0.538916,0.596014,0.714316,0.734370,0.680025,0.740241,0.588116,0.734370,0.587138,0.740241
11,0.554877,0.714611,0.734370,0.554877,0.677695,0.740241,0.537564,0.595275,0.537564,0.595275,0.714611,0.734370,0.677695,0.740241,0.585905,0.734370,0.584933,0.740241
12,0.553988,0.714525,0.734370,0.553988,0.676466,0.740241,0.536579,0.594609,0.536579,0.594609,0.714525,0.734370,0.676466,0.740241,0.582390,0.734370,0.581392,0.740241
