epoch,theta_global,beta_skill_mean,beta_skill_std,beta_skill_min,beta_skill_max,M_sat_mean,M_sat_std,M_sat_min,M_sat_max,gamma_student_mean,gamma_student_std,gamma_student_min,gamma_student_max,offset
1,0.817890,1.967559,0.003729,1.966142,2.003484,0.817559,0.011116,0.781761,0.830708,0.966629,0.000000,0.966629,0.966629,1.971727
2,0.785601,1.935691,0.007531,1.933058,2.007839,0.834922,0.021730,0.765420,0.861589,0.933833,0.000000,0.933833,0.933833,1.942303
3,0.753430,1.904487,0.011639,1.900138,2.014473,0.852200,0.031654,0.749523,0.892119,0.901589,0.000000,0.901589,0.901589,1.912565
4,0.721649,1.873885,0.016010,1.867571,2.023028,0.869301,0.041144,0.733976,0.922289,0.869874,0.000000,0.869874,0.869874,1.882809
5,0.690313,1.843819,0.020610,1.835131,2.033113,0.886070,0.050489,0.718747,0.952095,0.838663,0.000000,0.838663,0.838663,1.852222
6,0.659410,1.814223,0.025376,1.802869,2.044263,0.902466,0.059712,0.703818,0.981538,0.807933,0.000000,0.807933,0.807933,1.820894
7,0.628916,1.785084,0.030265,1.770806,2.056070,0.918263,0.068608,0.689172,1.005182,0.777667,0.000000,0.777667,0.777667,1.788824
8,0.598773,1.756345,0.035138,1.738928,2.067086,0.930686,0.074326,0.674805,1.016189,0.747845,0.000000,0.747845,0.747845,1.756736
9,0.568880,1.727961,0.039951,1.707225,2.076662,0.939466,0.077476,0.660710,1.026662,0.718450,0.000000,0.718450,0.718450,1.724962
10,0.539112,1.699922,0.044765,1.675687,2.085797,0.946380,0.080009,0.646879,1.037869,0.689472,0.000000,0.689472,0.689472,1.693484
11,0.509447,1.672275,0.049561,1.644305,2.094453,0.951450,0.081957,0.633306,1.049782,0.660909,0.000000,0.660909,0.660909,1.662746
12,0.479898,1.645012,0.054336,1.613067,2.102634,0.955446,0.083822,0.619986,1.062398,0.632756,0.000000,0.632756,0.632756,1.632615
13,0.450476,1.618184,0.059112,1.581967,2.110252,0.959035,0.085925,0.606911,1.075644,0.605024,0.000000,0.605024,0.605024,1.602771
14,0.421195,1.591761,0.063910,1.550997,2.117299,0.961992,0.088116,0.594078,1.089514,0.577715,0.000000,0.577715,0.577715,1.573145
15,0.392051,1.565736,0.068724,1.520152,2.123692,0.964448,0.090434,0.581478,1.103967,0.550832,0.000000,0.550833,0.550833,1.543593
