student_idx,global_idx,step,skill_id,actual_response,encoder1_pred,encoder2_pred,encoder1_binary,encoder2_binary,encoder1_match,encoder2_match,mastery,expected_gain,theta_global,threshold_temp,encoder2_pred_expected,total_steps,unique_skills,accuracy
1,1,1,14,1,0.999976,0.424374,1,0,1,0,0.385471,0.585949,0.690313,1.00,0.424374,11,3,0.8182
1,1,2,14,1,0.999992,0.504133,1,1,1,1,0.706846,0.583790,0.690313,1.00,0.504133,11,3,0.8182
1,1,3,14,0,0.999997,0.543715,1,1,0,0,0.865620,0.584829,0.690313,1.00,0.543715,11,3,0.8182
1,1,4,92,0,0.999979,0.546989,1,1,0,0,0.878826,0.582889,0.690313,1.00,0.546989,11,3,0.8182
1,1,5,92,1,0.998657,0.550845,1,1,1,1,0.894401,0.585503,0.690313,1.00,0.550845,11,3,0.8182
1,1,6,92,1,0.999976,0.551827,1,1,1,1,0.898369,0.586623,0.690313,1.00,0.551827,11,3,0.8182
1,1,7,92,1,0.999959,0.552064,1,1,1,1,0.899326,0.585161,0.690313,1.00,0.552064,11,3,0.8182
1,1,8,92,1,0.999952,0.552121,1,1,1,1,0.899556,0.582250,0.690313,1.00,0.552121,11,3,0.8182
1,1,9,1,1,0.998705,0.561195,1,1,1,1,0.936329,0.584697,0.690313,1.00,0.561196,11,3,0.8182
1,1,10,1,1,0.999888,0.561199,1,1,1,1,0.936341,0.584887,0.690313,1.00,0.561199,11,3,0.8182
1,1,11,1,1,0.996864,0.561199,1,1,1,1,0.936344,0.584577,0.690313,1.00,0.561199,11,3,0.8182
2,2,1,10,1,0.584399,0.427828,1,0,1,0,0.399596,0.590390,0.690313,1.00,0.427828,68,6,0.4265
2,2,2,0,0,0.998107,0.504185,1,1,0,0,0.707055,0.587829,0.690313,1.00,0.504185,68,6,0.4265
2,2,3,7,1,0.979738,0.555720,1,1,1,1,0.914122,0.587409,0.690313,1.00,0.555720,68,6,0.4265
2,2,4,7,0,0.997752,0.563285,1,1,0,0,0.944819,0.586652,0.690313,1.00,0.563285,68,6,0.4265
2,2,5,7,0,0.090652,0.564729,0,1,1,0,0.950692,0.587757,0.690313,1.00,0.564729,68,6,0.4265
2,2,6,0,1,0.031219,0.561726,0,1,0,1,0.938485,0.588737,0.690313,1.00,0.561726,68,6,0.4265
2,2,7,10,1,0.930520,0.563619,1,1,1,1,0.946176,0.586527,0.690313,1.00,0.563619,68,6,0.4265
2,2,8,10,1,0.587208,0.563649,1,1,1,1,0.946298,0.586134,0.690313,1.00,0.563649,68,6,0.4265
2,2,9,10,1,0.081585,0.563655,0,1,0,1,0.946324,0.588179,0.690313,1.00,0.563655,68,6,0.4265
2,2,10,0,0,0.998794,0.561987,1,1,0,0,0.939543,0.586768,0.690313,1.00,0.561987,68,6,0.4265
2,2,11,0,0,0.158072,0.561988,0,1,1,0,0.939546,0.588184,0.690313,1.00,0.561988,68,6,0.4265
2,2,12,7,1,0.345346,0.565074,0,1,0,1,0.952095,0.587761,0.690313,1.00,0.565074,68,6,0.4265
2,2,13,7,1,0.953974,0.565074,1,1,1,1,0.952095,0.586173,0.690313,1.00,0.565074,68,6,0.4265
2,2,14,7,1,0.996704,0.565074,1,1,1,1,0.952095,0.585881,0.690313,1.00,0.565074,68,6,0.4265
2,2,15,7,1,0.617407,0.565074,1,1,1,1,0.952095,0.587756,0.690313,1.00,0.565074,68,6,0.4265
2,2,16,0,1,0.991058,0.561988,1,1,1,1,0.939547,0.587205,0.690313,1.00,0.561988,68,6,0.4265
2,2,17,0,1,0.998236,0.561988,1,1,1,1,0.939547,0.587013,0.690313,1.00,0.561988,68,6,0.4265
2,2,18,0,0,0.999985,0.561988,1,1,0,0,0.939547,0.587646,0.690313,1.00,0.561988,68,6,0.4265
2,2,19,45,0,0.439790,0.561981,0,1,1,0,0.939520,0.587369,0.690313,1.00,0.561981,68,6,0.4265
2,2,20,45,0,0.112453,0.561981,0,1,1,0,0.939520,0.587178,0.690313,1.00,0.561981,68,6,0.4265
2,2,21,45,0,0.325299,0.561981,0,1,1,0,0.939520,0.586505,0.690313,1.00,0.561981,68,6,0.4265
2,2,22,45,0,0.000528,0.561981,0,1,1,0,0.939520,0.588043,0.690313,1.00,0.561981,68,6,0.4265
2,2,23,34,1,0.000175,0.360716,0,0,0,0,0.118055,0.589213,0.690313,1.00,0.360716,68,6,0.4265
2,2,24,34,1,0.964683,0.361432,1,0,1,0,0.121160,0.587463,0.690313,1.00,0.361432,68,6,0.4265
2,2,25,45,1,0.911834,0.561981,1,1,1,1,0.939520,0.587993,0.690313,1.00,0.561981,68,6,0.4265
2,2,26,45,0,0.417692,0.561981,0,1,1,0,0.939520,0.587607,0.690313,1.00,0.561981,68,6,0.4265
2,2,27,45,0,0.101571,0.561981,0,1,1,0,0.939520,0.587814,0.690313,1.00,0.561981,68,6,0.4265
2,2,28,45,0,0.044656,0.561981,0,1,1,0,0.939520,0.589456,0.690313,1.00,0.561981,68,6,0.4265
2,2,29,45,1,0.134801,0.561981,0,1,0,1,0.939520,0.587592,0.690313,1.00,0.561981,68,6,0.4265
2,2,30,45,0,0.569403,0.561981,1,1,0,0,0.939520,0.589152,0.690313,1.00,0.561981,68,6,0.4265
2,2,31,45,0,0.008510,0.561981,0,1,1,0,0.939520,0.588088,0.690313,1.00,0.561981,68,6,0.4265
2,2,32,13,0,0.074672,0.562627,0,1,1,0,0.942145,0.586172,0.690313,1.00,0.562627,68,6,0.4265
2,2,33,13,0,0.017615,0.562627,0,1,1,0,0.942145,0.588313,0.690313,1.00,0.562627,68,6,0.4265
2,2,34,13,1,0.063997,0.562627,0,1,0,1,0.942145,0.588454,0.690313,1.00,0.562627,68,6,0.4265
2,2,35,13,0,0.917696,0.562627,1,1,0,0,0.942145,0.587124,0.690313,1.00,0.562627,68,6,0.4265
2,2,36,13,0,0.019520,0.562627,0,1,1,0,0.942145,0.585444,0.690313,1.00,0.562627,68,6,0.4265
2,2,37,13,1,0.026512,0.562627,0,1,0,1,0.942145,0.587368,0.690313,1.00,0.562627,68,6,0.4265
2,2,38,13,1,0.338652,0.562627,0,1,0,1,0.942145,0.589041,0.690313,1.00,0.562627,68,6,0.4265
2,2,39,13,1,0.745476,0.562627,1,1,1,1,0.942145,0.586297,0.690313,1.00,0.562627,68,6,0.4265
2,2,40,13,1,0.011261,0.562627,0,1,0,1,0.942145,0.589389,0.690313,1.00,0.562627,68,6,0.4265
2,2,41,34,0,0.001369,0.363782,0,0,1,1,0.131325,0.590733,0.690313,1.00,0.363782,68,6,0.4265
2,2,42,34,1,0.000336,0.363816,0,0,0,0,0.131472,0.587819,0.690313,1.00,0.363816,68,6,0.4265
2,2,43,34,0,0.069837,0.365882,0,0,1,1,0.140387,0.588507,0.690313,1.00,0.365882,68,6,0.4265
2,2,44,34,0,0.000398,0.365921,0,0,1,1,0.140559,0.589207,0.690313,1.00,0.365921,68,6,0.4265
2,2,45,34,0,0.000231,0.365960,0,0,1,1,0.140726,0.586856,0.690313,1.00,0.365960,68,6,0.4265
2,2,46,34,0,0.000461,0.365985,0,0,1,1,0.140833,0.588827,0.690313,1.00,0.365985,68,6,0.4265
2,2,47,34,0,0.000154,0.366019,0,0,1,1,0.140980,0.588598,0.690313,1.00,0.366019,68,6,0.4265
2,2,48,34,0,0.095954,0.366051,0,0,1,1,0.141118,0.589033,0.690313,1.00,0.366051,68,6,0.4265
2,2,49,45,1,0.215526,0.561981,0,1,0,1,0.939520,0.586363,0.690313,1.00,0.561981,68,6,0.4265
2,2,50,45,0,0.442511,0.561981,0,1,1,0,0.939520,0.587742,0.690313,1.00,0.561981,68,6,0.4265
2,2,51,45,1,0.110473,0.561981,0,1,0,1,0.939520,0.587955,0.690313,1.00,0.561981,68,6,0.4265
2,2,52,45,0,0.344095,0.561981,0,1,1,0,0.939520,0.587443,0.690313,1.00,0.561981,68,6,0.4265
2,2,53,45,1,0.047830,0.561981,0,1,0,1,0.939520,0.586848,0.690313,1.00,0.561981,68,6,0.4265
2,2,54,45,0,0.488824,0.561981,0,1,1,0,0.939520,0.586834,0.690313,1.00,0.561981,68,6,0.4265
2,2,55,45,0,0.180546,0.561981,0,1,1,0,0.939520,0.587358,0.690313,1.00,0.561981,68,6,0.4265
2,2,56,45,0,0.110531,0.561981,0,1,1,0,0.939520,0.586889,0.690313,1.00,0.561981,68,6,0.4265
2,2,57,45,1,0.000096,0.561981,0,1,0,1,0.939520,0.587016,0.690313,1.00,0.561981,68,6,0.4265
2,2,58,34,0,0.001790,0.370443,0,0,1,1,0.159994,0.587547,0.690313,1.00,0.370443,68,6,0.4265
2,2,59,34,0,0.000136,0.370479,0,0,1,1,0.160152,0.588429,0.690313,1.00,0.370479,68,6,0.4265
2,2,60,34,1,0.000274,0.370508,0,0,0,0,0.160273,0.589909,0.690313,1.00,0.370508,68,6,0.4265
2,2,61,34,0,0.000820,0.372476,0,0,1,1,0.168702,0.587102,0.690313,1.00,0.372476,68,6,0.4265
2,2,62,34,0,0.000162,0.372506,0,0,1,1,0.168831,0.588747,0.690313,1.00,0.372506,68,6,0.4265
2,2,63,34,0,0.000221,0.372530,0,0,1,1,0.168935,0.587862,0.690313,1.00,0.372530,68,6,0.4265
2,2,64,34,0,0.000148,0.372576,0,0,1,1,0.169133,0.589902,0.690313,1.00,0.372576,68,6,0.4265
2,2,65,34,1,0.000134,0.372607,0,0,0,0,0.169263,0.586859,0.690313,1.00,0.372607,68,6,0.4265
2,2,66,34,0,0.000810,0.374127,0,0,1,1,0.175761,0.589031,0.690313,1.00,0.374127,68,6,0.4265
2,2,67,34,0,0.017066,0.374173,0,0,1,1,0.175959,0.587960,0.690313,1.00,0.374173,68,6,0.4265
2,2,68,13,1,0.117411,0.562627,0,1,0,1,0.942145,0.587577,0.690313,1.00,0.562627,68,6,0.4265
3,3,1,81,1,0.999977,0.421722,1,0,1,0,0.374604,0.586277,0.690313,1.00,0.421722,123,22,0.7236
3,3,2,81,0,0.999250,0.500781,1,1,0,0,0.693438,0.588548,0.690313,1.00,0.500781,123,22,0.7236
3,3,3,81,1,0.999547,0.540866,1,1,1,1,0.854144,0.587244,0.690313,1.00,0.540866,123,22,0.7236
3,3,4,81,1,0.997105,0.554776,1,1,1,1,0.910300,0.585774,0.690313,1.00,0.554776,123,22,0.7236
3,3,5,81,1,0.952034,0.558380,1,1,1,1,0.924903,0.586468,0.690313,1.00,0.558380,123,22,0.7236
3,3,6,81,1,0.608394,0.559266,1,1,1,1,0.928497,0.586596,0.690313,1.00,0.559266,123,22,0.7236
3,3,7,32,0,0.943771,0.557442,1,1,0,0,0.921099,0.584803,0.690313,1.00,0.557442,123,22,0.7236
3,3,8,32,0,0.808465,0.557514,1,1,0,0,0.921391,0.586314,0.690313,1.00,0.557514,123,22,0.7236
3,3,9,32,1,0.999418,0.557532,1,1,1,1,0.921464,0.585399,0.690313,1.00,0.557532,123,22,0.7236
3,3,10,32,1,0.987601,0.557537,1,1,1,1,0.921484,0.583690,0.690313,1.00,0.557537,123,22,0.7236
3,3,11,32,0,0.979094,0.557538,1,1,0,0,0.921489,0.584471,0.690313,1.00,0.557538,123,22,0.7236
3,3,12,32,1,0.995888,0.557538,1,1,1,1,0.921490,0.583912,0.690313,1.00,0.557538,123,22,0.7236
3,3,13,32,0,0.990992,0.557538,1,1,0,0,0.921490,0.585029,0.690313,1.00,0.557538,123,22,0.7236
3,3,14,32,0,0.999736,0.557538,1,1,0,0,0.921490,0.585568,0.690313,1.00,0.557538,123,22,0.7236
3,3,15,32,1,0.989916,0.557538,1,1,1,1,0.921490,0.584617,0.690313,1.00,0.557538,123,22,0.7236
3,3,16,32,1,0.960401,0.557538,1,1,1,1,0.921490,0.584434,0.690313,1.00,0.557538,123,22,0.7236
3,3,17,32,1,0.996505,0.557538,1,1,1,1,0.921490,0.586149,0.690313,1.00,0.557538,123,22,0.7236
3,3,18,32,1,0.993667,0.557538,1,1,1,1,0.921490,0.584957,0.690313,1.00,0.557538,123,22,0.7236
3,3,19,74,0,0.999856,0.556113,1,1,0,0,0.915716,0.583721,0.690313,1.00,0.556113,123,22,0.7236
3,3,20,74,1,0.889197,0.556113,1,1,1,1,0.915716,0.583320,0.690313,1.00,0.556113,123,22,0.7236
3,3,21,74,1,0.999329,0.556113,1,1,1,1,0.915716,0.583759,0.690313,1.00,0.556113,123,22,0.7236
3,3,22,74,0,0.994359,0.556113,1,1,0,0,0.915716,0.587064,0.690313,1.00,0.556113,123,22,0.7236
3,3,23,74,1,0.894862,0.556113,1,1,1,1,0.915716,0.585403,0.690313,1.00,0.556113,123,22,0.7236
3,3,24,74,1,0.995388,0.556113,1,1,1,1,0.915716,0.585734,0.690313,1.00,0.556113,123,22,0.7236
3,3,25,74,1,0.997983,0.556113,1,1,1,1,0.915716,0.585541,0.690313,1.00,0.556113,123,22,0.7236
3,3,26,74,0,0.899769,0.556113,1,1,0,0,0.915716,0.587138,0.690313,1.00,0.556113,123,22,0.7236
3,3,27,76,0,0.485335,0.557704,0,1,1,0,0.922163,0.586558,0.690313,1.00,0.557704,123,22,0.7236
