student_idx,global_idx,step,skill_id,actual_response,encoder1_pred,encoder2_pred,encoder1_binary,encoder2_binary,encoder1_match,encoder2_match,mastery,expected_gain,theta_global,threshold_temp,encoder2_pred_expected,total_steps,unique_skills,accuracy
1,1,1,14,1,0.500343,0.403977,1,0,1,0,0.396601,0.593964,0.785524,1.00,0.403977,11,3,0.8182
1,1,2,14,1,0.500310,0.482567,1,0,1,0,0.715765,0.592889,0.785524,1.00,0.482567,11,3,0.8182
1,1,3,14,0,0.500383,0.510151,1,1,0,0,0.826136,0.590928,0.785524,1.00,0.510151,11,3,0.8182
1,1,4,92,0,0.500346,0.512418,1,1,0,0,0.835205,0.591548,0.785524,1.00,0.512418,11,3,0.8182
1,1,5,92,1,0.500280,0.514015,1,1,1,1,0.841598,0.593693,0.785524,1.00,0.514015,11,3,0.8182
1,1,6,92,1,0.500374,0.514349,1,1,1,1,0.842937,0.594213,0.785524,1.00,0.514349,11,3,0.8182
1,1,7,92,1,0.500376,0.514412,1,1,1,1,0.843187,0.591704,0.785524,1.00,0.514412,11,3,0.8182
1,1,8,92,1,0.500345,0.514423,1,1,1,1,0.843234,0.589908,0.785524,1.00,0.514423,11,3,0.8182
1,1,9,1,1,0.500331,0.517586,1,1,1,1,0.855899,0.592613,0.785524,1.00,0.517586,11,3,0.8182
1,1,10,1,1,0.500277,0.517587,1,1,1,1,0.855900,0.591947,0.785524,1.00,0.517587,11,3,0.8182
1,1,11,1,1,0.500334,0.517587,1,1,1,1,0.855900,0.591370,0.785524,1.00,0.517587,11,3,0.8182
2,2,1,10,1,0.500360,0.405886,1,0,1,0,0.404524,0.595920,0.785524,1.00,0.405886,68,6,0.4265
2,2,2,0,0,0.500297,0.479919,1,0,0,1,0.705156,0.594268,0.785524,1.00,0.479919,68,6,0.4265
2,2,3,7,1,0.500310,0.513962,1,1,1,1,0.841386,0.594893,0.785524,1.00,0.513962,68,6,0.4265
2,2,4,7,0,0.500359,0.518266,1,1,0,0,0.858620,0.593218,0.785524,1.00,0.518266,68,6,0.4265
2,2,5,7,0,0.500292,0.518925,1,1,0,0,0.861262,0.594396,0.785524,1.00,0.518925,68,6,0.4265
2,2,6,0,1,0.500304,0.517807,1,1,1,1,0.856784,0.595757,0.785524,1.00,0.517807,68,6,0.4265
2,2,7,10,1,0.500339,0.518302,1,1,1,1,0.858763,0.590352,0.785524,1.00,0.518302,68,6,0.4265
2,2,8,10,1,0.500357,0.518306,1,1,1,1,0.858781,0.593699,0.785524,1.00,0.518306,68,6,0.4265
2,2,9,10,1,0.500351,0.518307,1,1,1,1,0.858784,0.593598,0.785524,1.00,0.518307,68,6,0.4265
2,2,10,0,0,0.500240,0.517860,1,1,0,0,0.856994,0.594042,0.785524,1.00,0.517860,68,6,0.4265
