epoch,theta_global,beta_skill_mean,beta_skill_std,beta_skill_min,beta_skill_max,M_sat_mean,M_sat_std,M_sat_min,M_sat_max,gamma_student_mean,gamma_student_std,gamma_student_min,gamma_student_max,offset
1,0.816709,1.966541,0.000000,1.966541,1.966541,0.766728,0.000000,0.766728,0.766728,0.966665,0.000000,0.966665,0.966665,1.966541
2,0.784049,1.933346,0.000000,1.933347,1.933347,0.734126,0.000000,0.734126,0.734126,0.933864,0.000000,0.933864,0.933864,1.933347
3,0.751998,1.900403,0.000000,1.900403,1.900403,0.702174,0.000000,0.702174,0.702174,0.901577,0.000000,0.901577,0.901577,1.900403
4,0.720532,1.867697,0.000000,1.867697,1.867697,0.670847,0.000000,0.670847,0.670847,0.869782,0.000000,0.869782,0.869782,1.867697
5,0.689631,1.835214,0.000000,1.835214,1.835214,0.640124,0.000000,0.640124,0.640124,0.838457,0.000000,0.838457,0.838457,1.835214
6,0.659274,1.802941,0.000000,1.802941,1.802941,0.609985,0.000000,0.609985,0.609985,0.807584,0.000000,0.807584,0.807584,1.802941
7,0.629444,1.770865,0.000000,1.770865,1.770865,0.580414,0.000000,0.580414,0.580414,0.777145,0.000000,0.777145,0.777145,1.770865
8,0.600129,1.738974,0.000000,1.738974,1.738974,0.551398,0.000000,0.551398,0.551398,0.747126,0.000000,0.747126,0.747126,1.738974
9,0.571316,1.707258,0.000000,1.707258,1.707258,0.522927,0.000000,0.522927,0.522927,0.717514,0.000000,0.717513,0.717513,1.707258
10,0.542997,1.675706,0.000000,1.675706,1.675706,0.494994,0.000000,0.494994,0.494994,0.688296,0.000000,0.688296,0.688296,1.675706
11,0.515166,1.644309,0.000000,1.644309,1.644309,0.467594,0.000000,0.467594,0.467594,0.659466,0.000000,0.659466,0.659466,1.644309
12,0.487821,1.613058,0.000000,1.613058,1.613058,0.440726,0.000000,0.440726,0.440726,0.631016,0.000000,0.631016,0.631016,1.613058
13,0.460961,1.581946,0.000000,1.581946,1.581946,0.414395,0.000000,0.414394,0.414394,0.602941,0.000000,0.602941,0.602941,1.581946
