epoch,train_loss,train_auc,train_acc,val_loss,val_auc,val_acc,train_bce_loss,train_im_loss,val_bce_loss,val_im_loss,train_encoder1_auc,train_encoder1_acc,val_encoder1_auc,val_encoder1_acc,train_encoder2_auc,train_encoder2_acc,val_encoder2_auc,val_encoder2_acc
1,0.563227,0.680212,0.734370,0.563227,0.675639,0.740241,0.563227,0.609409,0.563227,0.609409,0.680212,0.734370,0.675639,0.740241,0.489226,0.734370,0.490281,0.740241
2,0.553942,0.694075,0.734370,0.553942,0.687381,0.740241,0.553942,0.609381,0.553942,0.609381,0.694075,0.734370,0.687381,0.740241,0.488298,0.734370,0.489396,0.740241
3,0.551112,0.699487,0.734370,0.551112,0.690239,0.740241,0.551112,0.609377,0.551112,0.609377,0.699487,0.734370,0.690239,0.740241,0.487739,0.734370,0.488876,0.740241
4,0.549021,0.702158,0.734370,0.549021,0.689463,0.740241,0.549021,0.609370,0.549021,0.609370,0.702158,0.734370,0.689463,0.740241,0.487739,0.734370,0.488876,0.740241
5,0.546837,0.706093,0.734370,0.546837,0.689693,0.740241,0.546837,0.609362,0.546837,0.609362,0.706093,0.734370,0.689693,0.740241,0.486556,0.734370,0.487820,0.740241
6,0.544585,0.709737,0.734370,0.544585,0.688834,0.740241,0.544585,0.609350,0.544585,0.609350,0.709737,0.734370,0.688834,0.740241,0.486977,0.734370,0.488141,0.740241
7,0.542548,0.713030,0.734370,0.542548,0.687361,0.740241,0.542548,0.609337,0.542548,0.609337,0.713030,0.734370,0.687361,0.740241,0.486977,0.734370,0.488141,0.740241
8,0.541717,0.714976,0.734370,0.541717,0.685931,0.740241,0.541717,0.609321,0.541717,0.609321,0.714976,0.734370,0.685931,0.740241,0.486553,0.734370,0.487820,0.740241
9,0.539853,0.716289,0.734370,0.539853,0.683017,0.740241,0.539853,0.609303,0.539853,0.609303,0.716289,0.734370,0.683017,0.740241,0.486173,0.734370,0.487645,0.740241
10,0.537627,0.716222,0.734370,0.537627,0.678658,0.740241,0.537627,0.609282,0.537627,0.609282,0.716222,0.734370,0.678658,0.740241,0.486089,0.734370,0.487168,0.740241
11,0.535562,0.716825,0.734370,0.535562,0.676388,0.740241,0.535562,0.609258,0.535562,0.609258,0.716825,0.734370,0.676388,0.740241,0.485631,0.734370,0.486846,0.740241
12,0.534635,0.716343,0.734370,0.534635,0.673710,0.740241,0.534635,0.609232,0.534635,0.609232,0.716343,0.734370,0.673710,0.740241,0.484940,0.734370,0.486285,0.740241
13,0.533763,0.717527,0.734370,0.533763,0.672422,0.740241,0.533763,0.609202,0.533763,0.609202,0.717527,0.734370,0.672422,0.740241,0.484175,0.734370,0.485864,0.740241
