student_idx,global_idx,step,skill_id,actual_response,encoder1_pred,encoder2_pred,encoder1_binary,encoder2_binary,encoder1_match,encoder2_match,mastery,expected_gain,theta_global,threshold_temp,encoder2_pred_expected,total_steps,unique_skills,accuracy
1,1,1,14,1,0.999911,0.390129,1,0,1,0,0.338829,0.594123,0.785600,1.00,0.390129,11,3,0.8182
1,1,2,14,1,0.999956,0.463638,1,0,1,0,0.639895,0.593463,0.785600,1.00,0.463638,11,3,0.8182
1,1,3,14,0,0.999927,0.501962,1,1,0,0,0.793447,0.593199,0.785600,1.00,0.501962,11,3,0.8182
1,1,4,92,0,0.999686,0.510481,1,1,0,0,0.827532,0.590445,0.785600,1.00,0.510481,11,3,0.8182
1,1,5,92,1,0.966840,0.513159,1,1,1,1,0.838249,0.594170,0.785600,1.00,0.513159,11,3,0.8182
1,1,6,92,1,0.999480,0.513775,1,1,1,1,0.840715,0.595276,0.785600,1.00,0.513775,11,3,0.8182
1,1,7,92,1,0.999735,0.513907,1,1,1,1,0.841242,0.593465,0.785600,1.00,0.513907,11,3,0.8182
1,1,8,92,1,0.999907,0.513935,1,1,1,1,0.841354,0.591085,0.785600,1.00,0.513935,11,3,0.8182
1,1,9,1,1,0.999622,0.517460,1,1,1,1,0.855468,0.593904,0.785600,1.00,0.517460,11,3,0.8182
1,1,10,1,1,0.999325,0.517460,1,1,1,1,0.855470,0.593353,0.785600,1.00,0.517460,11,3,0.8182
1,1,11,1,1,0.999502,0.517460,1,1,1,1,0.855470,0.593298,0.785600,1.00,0.517460,11,3,0.8182
2,2,1,10,1,0.023677,0.425015,0,0,0,0,0.483382,0.595905,0.785600,1.00,0.425015,68,6,0.4265
2,2,2,0,0,0.917448,0.465607,1,0,0,1,0.647812,0.593614,0.785600,1.00,0.465607,68,6,0.4265
2,2,3,7,1,0.546980,0.478229,1,0,1,0,0.698460,0.594657,0.785600,1.00,0.478229,68,6,0.4265
2,2,4,7,0,0.991917,0.504005,1,1,0,0,0.801621,0.591566,0.785600,1.00,0.504005,68,6,0.4265
2,2,5,7,0,0.066356,0.513807,0,1,1,0,0.840844,0.594724,0.785600,1.00,0.513807,68,6,0.4265
2,2,6,0,1,0.023861,0.517580,0,1,0,1,0.855949,0.594912,0.785600,1.00,0.517580,68,6,0.4265
2,2,7,10,1,0.535341,0.518259,1,1,1,1,0.858668,0.593599,0.785600,1.00,0.518259,68,6,0.4265
2,2,8,10,1,0.989943,0.518259,1,1,1,1,0.858671,0.592897,0.785600,1.00,0.518259,68,6,0.4265
2,2,9,10,1,0.886031,0.518260,1,1,1,1,0.858671,0.594184,0.785600,1.00,0.518260,68,6,0.4265
2,2,10,0,0,0.991760,0.517782,1,1,0,0,0.856757,0.592907,0.785600,1.00,0.517782,68,6,0.4265
2,2,11,0,0,0.121816,0.517782,0,1,1,0,0.856759,0.594392,0.785600,1.00,0.517782,68,6,0.4265
2,2,12,7,1,0.105247,0.518983,0,1,0,1,0.861569,0.593819,0.785600,1.00,0.518983,68,6,0.4265
2,2,13,7,1,0.800129,0.518985,1,1,1,1,0.861575,0.592159,0.785600,1.00,0.518985,68,6,0.4265
2,2,14,7,1,0.980719,0.518985,1,1,1,1,0.861577,0.592913,0.785600,1.00,0.518985,68,6,0.4265
2,2,15,7,1,0.742990,0.518985,1,1,1,1,0.861578,0.594404,0.785600,1.00,0.518985,68,6,0.4265
2,2,16,0,1,0.973903,0.517782,1,1,1,1,0.856759,0.593833,0.785600,1.00,0.517782,68,6,0.4265
2,2,17,0,1,0.988029,0.517782,1,1,1,1,0.856759,0.594266,0.785600,1.00,0.517782,68,6,0.4265
2,2,18,0,0,0.987437,0.517782,1,1,0,0,0.856759,0.593228,0.785600,1.00,0.517782,68,6,0.4265
2,2,19,45,0,0.208564,0.517891,0,1,1,0,0.857196,0.593871,0.785600,1.00,0.517891,68,6,0.4265
2,2,20,45,0,0.167894,0.517891,0,1,1,0,0.857196,0.593882,0.785600,1.00,0.517891,68,6,0.4265
2,2,21,45,0,0.493096,0.517891,0,1,1,0,0.857196,0.593669,0.785600,1.00,0.517891,68,6,0.4265
2,2,22,45,0,0.033675,0.517891,0,1,1,0,0.857196,0.594383,0.785600,1.00,0.517891,68,6,0.4265
2,2,23,34,1,0.002156,0.340396,0,0,0,0,0.124069,0.596467,0.785600,1.00,0.340396,68,6,0.4265
2,2,24,34,1,0.306532,0.341017,0,0,0,0,0.126833,0.592671,0.785600,1.00,0.341017,68,6,0.4265
2,2,25,45,1,0.575551,0.517891,1,1,1,1,0.857196,0.594906,0.785600,1.00,0.517891,68,6,0.4265
2,2,26,45,0,0.336160,0.517891,0,1,1,0,0.857196,0.593846,0.785600,1.00,0.517891,68,6,0.4265
2,2,27,45,0,0.058410,0.517891,0,1,1,0,0.857196,0.593224,0.785600,1.00,0.517891,68,6,0.4265
2,2,28,45,0,0.064815,0.517891,0,1,1,0,0.857196,0.595341,0.785600,1.00,0.517891,68,6,0.4265
2,2,29,45,1,0.089622,0.517891,0,1,0,1,0.857196,0.593209,0.785600,1.00,0.517891,68,6,0.4265
2,2,30,45,0,0.649446,0.517891,1,1,0,0,0.857196,0.594468,0.785600,1.00,0.517891,68,6,0.4265
2,2,31,45,0,0.158866,0.517891,0,1,1,0,0.857196,0.595070,0.785600,1.00,0.517891,68,6,0.4265
2,2,32,13,0,0.089497,0.518240,0,1,1,0,0.858591,0.592083,0.785600,1.00,0.518240,68,6,0.4265
2,2,33,13,0,0.082816,0.518240,0,1,1,0,0.858591,0.595059,0.785600,1.00,0.518240,68,6,0.4265
2,2,34,13,1,0.072416,0.518240,0,1,0,1,0.858591,0.594970,0.785600,1.00,0.518240,68,6,0.4265
2,2,35,13,0,0.718705,0.518240,1,1,0,0,0.858591,0.593770,0.785600,1.00,0.518240,68,6,0.4265
2,2,36,13,0,0.050524,0.518240,0,1,1,0,0.858591,0.591991,0.785600,1.00,0.518240,68,6,0.4265
2,2,37,13,1,0.050092,0.518240,0,1,0,1,0.858591,0.592859,0.785600,1.00,0.518240,68,6,0.4265
2,2,38,13,1,0.306694,0.518240,0,1,0,1,0.858591,0.596795,0.785600,1.00,0.518240,68,6,0.4265
2,2,39,13,1,0.553390,0.518240,1,1,1,1,0.858591,0.592131,0.785600,1.00,0.518240,68,6,0.4265
2,2,40,13,1,0.059980,0.518240,0,1,0,1,0.858591,0.596052,0.785600,1.00,0.518240,68,6,0.4265
2,2,41,34,0,0.013765,0.347123,0,0,1,1,0.153892,0.598601,0.785600,1.00,0.347123,68,6,0.4265
2,2,42,34,1,0.002120,0.347232,0,0,0,0,0.154371,0.593650,0.785600,1.00,0.347232,68,6,0.4265
2,2,43,34,0,0.039787,0.350681,0,0,1,1,0.169555,0.592274,0.785600,1.00,0.350681,68,6,0.4265
2,2,44,34,0,0.002041,0.350780,0,0,1,1,0.169990,0.595613,0.785600,1.00,0.350780,68,6,0.4265
2,2,45,34,0,0.002299,0.350884,0,0,1,1,0.170447,0.593597,0.785600,1.00,0.350885,68,6,0.4265
2,2,46,34,0,0.001996,0.350953,0,0,1,1,0.170748,0.595081,0.785600,1.00,0.350953,68,6,0.4265
2,2,47,34,0,0.001701,0.351029,0,0,1,1,0.171080,0.595372,0.785600,1.00,0.351029,68,6,0.4265
2,2,48,34,0,0.011554,0.351119,0,0,1,1,0.171477,0.595916,0.785600,1.00,0.351119,68,6,0.4265
2,2,49,45,1,0.057646,0.517891,0,1,0,1,0.857196,0.592403,0.785600,1.00,0.517891,68,6,0.4265
2,2,50,45,0,0.434981,0.517891,0,1,1,0,0.857196,0.593917,0.785600,1.00,0.517891,68,6,0.4265
2,2,51,45,1,0.059285,0.517891,0,1,0,1,0.857196,0.594360,0.785600,1.00,0.517891,68,6,0.4265
2,2,52,45,0,0.308442,0.517891,0,1,1,0,0.857196,0.594440,0.785600,1.00,0.517891,68,6,0.4265
2,2,53,45,1,0.023920,0.517891,0,1,0,1,0.857196,0.592885,0.785600,1.00,0.517891,68,6,0.4265
2,2,54,45,0,0.290931,0.517891,0,1,1,0,0.857196,0.595980,0.785600,1.00,0.517891,68,6,0.4265
2,2,55,45,0,0.053592,0.517891,0,1,1,0,0.857196,0.594541,0.785600,1.00,0.517891,68,6,0.4265
2,2,56,45,0,0.083493,0.517891,0,1,1,0,0.857196,0.594052,0.785600,1.00,0.517891,68,6,0.4265
2,2,57,45,1,0.007150,0.517891,0,1,0,1,0.857196,0.593321,0.785600,1.00,0.517891,68,6,0.4265
2,2,58,34,0,0.015839,0.361017,0,0,1,1,0.214649,0.593914,0.785600,1.00,0.361017,68,6,0.4265
2,2,59,34,0,0.001364,0.361134,0,0,1,1,0.215153,0.594723,0.785600,1.00,0.361134,68,6,0.4265
2,2,60,34,1,0.002536,0.361224,0,0,0,0,0.215546,0.595561,0.785600,1.00,0.361224,68,6,0.4265
2,2,61,34,0,0.010303,0.364382,0,0,1,1,0.229205,0.590671,0.785600,1.00,0.364382,68,6,0.4265
2,2,62,34,0,0.001986,0.364463,0,0,1,1,0.229554,0.594923,0.785600,1.00,0.364463,68,6,0.4265
2,2,63,34,0,0.001894,0.364525,0,0,1,1,0.229822,0.594386,0.785600,1.00,0.364525,68,6,0.4265
2,2,64,34,0,0.001347,0.364634,0,0,1,1,0.230294,0.595945,0.785600,1.00,0.364634,68,6,0.4265
2,2,65,34,1,0.001275,0.364709,0,0,0,0,0.230619,0.593455,0.785600,1.00,0.364710,68,6,0.4265
2,2,66,34,0,0.010854,0.366586,0,0,1,1,0.238711,0.592959,0.785600,1.00,0.366586,68,6,0.4265
2,2,67,34,0,0.013467,0.366713,0,0,1,1,0.239255,0.594944,0.785600,1.00,0.366713,68,6,0.4265
2,2,68,13,1,0.067246,0.518240,0,1,0,1,0.858591,0.592506,0.785600,1.00,0.518240,68,6,0.4265
3,3,1,81,1,0.999944,0.443500,1,0,1,0,0.558633,0.595515,0.785600,1.00,0.443500,123,22,0.7236
3,3,2,81,0,0.999667,0.508209,1,1,0,0,0.818440,0.597743,0.785600,1.00,0.508209,123,22,0.7236
3,3,3,81,1,0.998298,0.515850,1,1,1,1,0.849020,0.594942,0.785600,1.00,0.515850,123,22,0.7236
3,3,4,81,1,0.997835,0.516698,1,1,1,1,0.852419,0.593848,0.785600,1.00,0.516698,123,22,0.7236
3,3,5,81,1,0.832824,0.516773,1,1,1,1,0.852715,0.594317,0.785600,1.00,0.516773,123,22,0.7236
3,3,6,81,1,0.739549,0.516779,1,1,1,1,0.852741,0.593466,0.785600,1.00,0.516779,123,22,0.7236
3,3,7,32,0,0.952304,0.516162,1,1,0,0,0.850271,0.593550,0.785600,1.00,0.516162,123,22,0.7236
3,3,8,32,0,0.988560,0.516173,1,1,0,0,0.850314,0.593831,0.785600,1.00,0.516173,123,22,0.7236
3,3,9,32,1,0.986589,0.516175,1,1,1,1,0.850322,0.595073,0.785600,1.00,0.516175,123,22,0.7236
3,3,10,32,1,0.974442,0.516175,1,1,1,1,0.850324,0.592022,0.785600,1.00,0.516175,123,22,0.7236
3,3,11,32,0,0.988202,0.516175,1,1,0,0,0.850324,0.593238,0.785600,1.00,0.516175,123,22,0.7236
3,3,12,32,1,0.975728,0.516175,1,1,1,1,0.850324,0.592139,0.785600,1.00,0.516175,123,22,0.7236
3,3,13,32,0,0.960243,0.516175,1,1,0,0,0.850324,0.592548,0.785600,1.00,0.516175,123,22,0.7236
3,3,14,32,0,0.989305,0.516175,1,1,0,0,0.850324,0.593167,0.785600,1.00,0.516175,123,22,0.7236
3,3,15,32,1,0.934250,0.516175,1,1,1,1,0.850324,0.593122,0.785600,1.00,0.516175,123,22,0.7236
3,3,16,32,1,0.980263,0.516175,1,1,1,1,0.850324,0.593021,0.785600,1.00,0.516175,123,22,0.7236
3,3,17,32,1,0.993511,0.516175,1,1,1,1,0.850324,0.593782,0.785600,1.00,0.516175,123,22,0.7236
3,3,18,32,1,0.965449,0.516175,1,1,1,1,0.850324,0.594430,0.785600,1.00,0.516175,123,22,0.7236
3,3,19,74,0,0.992713,0.515459,1,1,0,0,0.847456,0.591009,0.785600,1.00,0.515459,123,22,0.7236
3,3,20,74,1,0.560858,0.515459,1,1,1,1,0.847456,0.591268,0.785600,1.00,0.515459,123,22,0.7236
3,3,21,74,1,0.995913,0.515459,1,1,1,1,0.847456,0.589920,0.785600,1.00,0.515459,123,22,0.7236
3,3,22,74,0,0.984883,0.515459,1,1,0,0,0.847456,0.595289,0.785600,1.00,0.515459,123,22,0.7236
3,3,23,74,1,0.392954,0.515459,0,1,0,1,0.847456,0.593686,0.785600,1.00,0.515459,123,22,0.7236
3,3,24,74,1,0.965726,0.515459,1,1,1,1,0.847456,0.593648,0.785600,1.00,0.515459,123,22,0.7236
3,3,25,74,1,0.976378,0.515459,1,1,1,1,0.847456,0.593442,0.785600,1.00,0.515459,123,22,0.7236
