student_idx,global_idx,step,skill_id,actual_response,encoder1_pred,encoder2_pred,encoder1_binary,encoder2_binary,encoder1_match,encoder2_match,mastery,expected_gain,theta_global,threshold_temp,encoder2_pred_expected,total_steps,unique_skills,accuracy
1,1,1,14,1,0.999993,0.415311,1,0,1,0,0.348269,0.586194,0.690323,1.00,0.415311,11,3,0.8182
1,1,2,14,1,0.999997,0.489087,1,0,1,0,0.646663,0.584450,0.690323,1.00,0.489087,11,3,0.8182
1,1,3,14,0,0.999993,0.535383,1,1,0,0,0.832093,0.585900,0.690323,1.00,0.535383,11,3,0.8182
1,1,4,92,0,0.999983,0.546274,1,1,0,0,0.875952,0.583455,0.690323,1.00,0.546274,11,3,0.8182
1,1,5,92,1,0.995378,0.551058,1,1,1,1,0.895269,0.586082,0.690323,1.00,0.551058,11,3,0.8182
1,1,6,92,1,0.999869,0.552361,1,1,1,1,0.900538,0.587429,0.690323,1.00,0.552361,11,3,0.8182
1,1,7,92,1,0.999971,0.552702,1,1,1,1,0.901915,0.585059,0.690323,1.00,0.552702,11,3,0.8182
1,1,8,92,1,0.999983,0.552790,1,1,1,1,0.902273,0.582802,0.690323,1.00,0.552790,11,3,0.8182
1,1,9,1,1,0.999943,0.561371,1,1,1,1,0.937052,0.585440,0.690323,1.00,0.561371,11,3,0.8182
1,1,10,1,1,0.999908,0.561373,1,1,1,1,0.937061,0.585875,0.690323,1.00,0.561373,11,3,0.8182
1,1,11,1,1,0.999951,0.561374,1,1,1,1,0.937063,0.585194,0.690323,1.00,0.561374,11,3,0.8182
2,2,1,10,1,0.090446,0.450510,0,0,0,0,0.491714,0.590012,0.690323,1.00,0.450510,68,6,0.4265
2,2,2,0,0,0.997428,0.494228,1,0,0,1,0.667236,0.588107,0.690323,1.00,0.494228,68,6,0.4265
2,2,3,7,1,0.897719,0.519944,1,1,1,1,0.770141,0.586779,0.690323,1.00,0.519944,68,6,0.4265
2,2,4,7,0,0.999963,0.548003,1,1,0,0,0.882927,0.587420,0.690323,1.00,0.548003,68,6,0.4265
2,2,5,7,0,0.047838,0.559103,0,1,1,0,0.927846,0.587313,0.690323,1.00,0.559103,68,6,0.4265
2,2,6,0,1,0.053147,0.561648,0,1,0,1,0.938178,0.589351,0.690323,1.00,0.561648,68,6,0.4265
2,2,7,10,1,0.998344,0.563760,1,1,1,1,0.946759,0.586339,0.690323,1.00,0.563760,68,6,0.4265
2,2,8,10,1,0.999974,0.563762,1,1,1,1,0.946768,0.585261,0.690323,1.00,0.563762,68,6,0.4265
2,2,9,10,1,0.999699,0.563763,1,1,1,1,0.946770,0.587242,0.690323,1.00,0.563763,68,6,0.4265
2,2,10,0,0,0.997828,0.562089,1,1,0,0,0.939969,0.587025,0.690323,1.00,0.562089,68,6,0.4265
2,2,11,0,0,0.190740,0.562091,0,1,1,0,0.939976,0.588123,0.690323,1.00,0.562091,68,6,0.4265
2,2,12,7,1,0.233557,0.565174,0,1,0,1,0.952512,0.587619,0.690323,1.00,0.565174,68,6,0.4265
2,2,13,7,1,0.999620,0.565176,1,1,1,1,0.952521,0.587759,0.690323,1.00,0.565176,68,6,0.4265
2,2,14,7,1,0.999923,0.565177,1,1,1,1,0.952523,0.586644,0.690323,1.00,0.565177,68,6,0.4265
2,2,15,7,1,0.999477,0.565177,1,1,1,1,0.952524,0.587740,0.690323,1.00,0.565177,68,6,0.4265
2,2,16,0,1,0.999177,0.562091,1,1,1,1,0.939978,0.586949,0.690323,1.00,0.562091,68,6,0.4265
2,2,17,0,1,0.999619,0.562091,1,1,1,1,0.939978,0.586415,0.690323,1.00,0.562091,68,6,0.4265
2,2,18,0,0,0.999478,0.562091,1,1,0,0,0.939978,0.587694,0.690323,1.00,0.562091,68,6,0.4265
2,2,19,45,0,0.526129,0.562227,1,1,0,0,0.940527,0.586604,0.690323,1.00,0.562227,68,6,0.4265
2,2,20,45,0,0.445388,0.562227,0,1,1,0,0.940527,0.587053,0.690323,1.00,0.562227,68,6,0.4265
