student_idx,global_idx,step,skill_id,actual_response,encoder1_pred,encoder2_pred,encoder1_binary,encoder2_binary,encoder1_match,encoder2_match,mastery,expected_gain,theta_global,threshold_temp,encoder2_pred_expected,total_steps,unique_skills,accuracy
1,1,1,14,1,0.999992,0.405695,1,0,1,0,0.339859,0.588627,0.721649,1.00,0.405695,11,3,0.8182
1,1,2,14,1,0.999998,0.478661,1,0,1,0,0.636241,0.586998,0.721649,1.00,0.478661,11,3,0.8182
1,1,3,14,0,0.999996,0.523328,1,1,0,0,0.815030,0.588495,0.721649,1.00,0.523328,11,3,0.8182
1,1,4,92,0,0.999990,0.534034,1,1,0,0,0.857997,0.585075,0.721649,1.00,0.534034,11,3,0.8182
1,1,5,92,1,0.997949,0.538226,1,1,1,1,0.874850,0.588687,0.721649,1.00,0.538226,11,3,0.8182
1,1,6,92,1,0.999886,0.539317,1,1,1,1,0.879240,0.589759,0.721649,1.00,0.539317,11,3,0.8182
1,1,7,92,1,0.999981,0.539586,1,1,1,1,0.880325,0.587748,0.721649,1.00,0.539586,11,3,0.8182
1,1,8,92,1,0.999989,0.539652,1,1,1,1,0.880591,0.585379,0.721649,1.00,0.539652,11,3,0.8182
1,1,9,1,1,0.999897,0.546886,1,1,1,1,0.909747,0.588207,0.721649,1.00,0.546886,11,3,0.8182
1,1,10,1,1,0.999838,0.546888,1,1,1,1,0.909753,0.588423,0.721649,1.00,0.546888,11,3,0.8182
1,1,11,1,1,0.999885,0.546888,1,1,1,1,0.909755,0.587535,0.721649,1.00,0.546888,11,3,0.8182
2,2,1,10,1,0.122296,0.442032,0,0,0,0,0.488732,0.593400,0.721649,1.00,0.442033,68,6,0.4265
2,2,2,0,0,0.979872,0.484268,1,0,0,1,0.658701,0.590839,0.721649,1.00,0.484268,68,6,0.4265
2,2,3,7,1,0.708989,0.506230,1,1,1,1,0.746569,0.590379,0.721649,1.00,0.506230,68,6,0.4265
2,2,4,7,0,0.999893,0.533547,1,1,0,0,0.856040,0.590279,0.721649,1.00,0.533547,68,6,0.4265
2,2,5,7,0,0.096815,0.544260,0,1,1,0,0.899152,0.590865,0.721649,1.00,0.544260,68,6,0.4265
2,2,6,0,1,0.043215,0.547187,0,1,0,1,0.910960,0.591156,0.721649,1.00,0.547187,68,6,0.4265
2,2,7,10,1,0.990209,0.548823,1,1,1,1,0.917567,0.589537,0.721649,1.00,0.548823,68,6,0.4265
2,2,8,10,1,0.999951,0.548825,1,1,1,1,0.917572,0.588761,0.721649,1.00,0.548825,68,6,0.4265
2,2,9,10,1,0.997149,0.548825,1,1,1,1,0.917573,0.590885,0.721649,1.00,0.548825,68,6,0.4265
2,2,10,0,0,0.998680,0.547537,1,1,0,0,0.912373,0.589245,0.721649,1.00,0.547537,68,6,0.4265
2,2,11,0,0,0.209230,0.547538,0,1,1,0,0.912377,0.591783,0.721649,1.00,0.547538,68,6,0.4265
2,2,12,7,1,0.155312,0.550003,0,1,0,1,0.922333,0.591274,0.721649,1.00,0.550003,68,6,0.4265
2,2,13,7,1,0.997460,0.550005,1,1,1,1,0.922340,0.589961,0.721649,1.00,0.550005,68,6,0.4265
2,2,14,7,1,0.999817,0.550006,1,1,1,1,0.922343,0.589694,0.721649,1.00,0.550006,68,6,0.4265
2,2,15,7,1,0.998173,0.550006,1,1,1,1,0.922343,0.591079,0.721649,1.00,0.550006,68,6,0.4265
2,2,16,0,1,0.998575,0.547538,1,1,1,1,0.912379,0.590780,0.721649,1.00,0.547538,68,6,0.4265
2,2,17,0,1,0.999488,0.547538,1,1,1,1,0.912379,0.590062,0.721649,1.00,0.547538,68,6,0.4265
2,2,18,0,0,0.999359,0.547538,1,1,0,0,0.912379,0.590858,0.721649,1.00,0.547538,68,6,0.4265
2,2,19,45,0,0.551224,0.547645,1,1,0,0,0.912810,0.590243,0.721649,1.00,0.547645,68,6,0.4265
2,2,20,45,0,0.510913,0.547645,1,1,0,0,0.912810,0.590310,0.721649,1.00,0.547645,68,6,0.4265
2,2,21,45,0,0.936495,0.547645,1,1,0,0,0.912810,0.589641,0.721649,1.00,0.547645,68,6,0.4265
2,2,22,45,0,0.390430,0.547645,0,1,1,0,0.912810,0.591199,0.721649,1.00,0.547645,68,6,0.4265
2,2,23,34,1,0.001858,0.352670,0,0,0,0,0.114327,0.591955,0.721649,1.00,0.352670,68,6,0.4265
2,2,24,34,1,0.735748,0.353199,1,0,1,0,0.116640,0.590716,0.721649,1.00,0.353199,68,6,0.4265
2,2,25,45,1,0.950494,0.547645,1,1,1,1,0.912810,0.591744,0.721649,1.00,0.547645,68,6,0.4265
2,2,26,45,0,0.770808,0.547645,1,1,0,0,0.912810,0.590530,0.721649,1.00,0.547645,68,6,0.4265
2,2,27,45,0,0.084132,0.547645,0,1,1,0,0.912810,0.591098,0.721649,1.00,0.547645,68,6,0.4265
2,2,28,45,0,0.093718,0.547645,0,1,1,0,0.912810,0.591919,0.721649,1.00,0.547645,68,6,0.4265
2,2,29,45,1,0.399229,0.547645,0,1,0,1,0.912810,0.590849,0.721649,1.00,0.547645,68,6,0.4265
2,2,30,45,0,0.918196,0.547645,1,1,0,0,0.912810,0.592950,0.721649,1.00,0.547645,68,6,0.4265
2,2,31,45,0,0.222563,0.547645,0,1,1,0,0.912810,0.590865,0.721649,1.00,0.547645,68,6,0.4265
2,2,32,13,0,0.116603,0.548142,0,1,1,0,0.914815,0.589604,0.721649,1.00,0.548142,68,6,0.4265
2,2,33,13,0,0.070876,0.548142,0,1,1,0,0.914815,0.592127,0.721649,1.00,0.548142,68,6,0.4265
2,2,34,13,1,0.080882,0.548142,0,1,0,1,0.914815,0.591595,0.721649,1.00,0.548142,68,6,0.4265
2,2,35,13,0,0.992334,0.548142,1,1,0,0,0.914815,0.590500,0.721649,1.00,0.548142,68,6,0.4265
2,2,36,13,0,0.043893,0.548142,0,1,1,0,0.914815,0.588644,0.721649,1.00,0.548142,68,6,0.4265
2,2,37,13,1,0.042351,0.548142,0,1,0,1,0.914815,0.591181,0.721649,1.00,0.548142,68,6,0.4265
2,2,38,13,1,0.512546,0.548142,1,1,1,1,0.914815,0.592221,0.721649,1.00,0.548142,68,6,0.4265
2,2,39,13,1,0.949472,0.548142,1,1,1,1,0.914815,0.589212,0.721649,1.00,0.548142,68,6,0.4265
2,2,40,13,1,0.337650,0.548142,0,1,0,1,0.914815,0.591723,0.721649,1.00,0.548142,68,6,0.4265
2,2,41,34,0,0.014093,0.355291,0,0,1,1,0.125788,0.593227,0.721649,1.00,0.355291,68,6,0.4265
2,2,42,34,1,0.001574,0.355324,0,0,0,0,0.125931,0.590807,0.721649,1.00,0.355324,68,6,0.4265
2,2,43,34,0,0.100647,0.356939,0,0,1,1,0.132975,0.591077,0.721649,1.00,0.356939,68,6,0.4265
2,2,44,34,0,0.002074,0.356976,0,0,1,1,0.133133,0.592707,0.721649,1.00,0.356976,68,6,0.4265
2,2,45,34,0,0.001621,0.357012,0,0,1,1,0.133291,0.590787,0.721649,1.00,0.357012,68,6,0.4265
2,2,46,34,0,0.001807,0.357036,0,0,1,1,0.133397,0.591155,0.721649,1.00,0.357036,68,6,0.4265
2,2,47,34,0,0.001110,0.357068,0,0,1,1,0.133537,0.591442,0.721649,1.00,0.357068,68,6,0.4265
2,2,48,34,0,0.008913,0.357100,0,0,1,1,0.133676,0.591927,0.721649,1.00,0.357100,68,6,0.4265
2,2,49,45,1,0.165707,0.547645,0,1,0,1,0.912810,0.589419,0.721649,1.00,0.547645,68,6,0.4265
2,2,50,45,0,0.910939,0.547645,1,1,0,0,0.912810,0.590096,0.721649,1.00,0.547645,68,6,0.4265
2,2,51,45,1,0.161094,0.547645,0,1,0,1,0.912810,0.590128,0.721649,1.00,0.547645,68,6,0.4265
2,2,52,45,0,0.709785,0.547645,1,1,0,0,0.912810,0.591251,0.721649,1.00,0.547645,68,6,0.4265
2,2,53,45,1,0.031174,0.547645,0,1,0,1,0.912810,0.590064,0.721649,1.00,0.547645,68,6,0.4265
2,2,54,45,0,0.463046,0.547645,0,1,1,0,0.912810,0.590091,0.721649,1.00,0.547645,68,6,0.4265
2,2,55,45,0,0.086251,0.547645,0,1,1,0,0.912810,0.590314,0.721649,1.00,0.547645,68,6,0.4265
2,2,56,45,0,0.240907,0.547645,0,1,1,0,0.912810,0.589621,0.721649,1.00,0.547645,68,6,0.4265
2,2,57,45,1,0.007886,0.547645,0,1,0,1,0.912810,0.590661,0.721649,1.00,0.547645,68,6,0.4265
2,2,58,34,0,0.015836,0.361127,0,0,1,1,0.151174,0.590025,0.721649,1.00,0.361127,68,6,0.4265
2,2,59,34,0,0.000765,0.361164,0,0,1,1,0.151333,0.592000,0.721649,1.00,0.361164,68,6,0.4265
2,2,60,34,1,0.002478,0.361193,0,0,0,0,0.151457,0.592537,0.721649,1.00,0.361193,68,6,0.4265
2,2,61,34,0,0.006671,0.362854,0,0,1,1,0.158651,0.589937,0.721649,1.00,0.362854,68,6,0.4265
2,2,62,34,0,0.001408,0.362885,0,0,1,1,0.158784,0.591719,0.721649,1.00,0.362885,68,6,0.4265
2,2,63,34,0,0.001784,0.362909,0,0,1,1,0.158889,0.591637,0.721649,1.00,0.362909,68,6,0.4265
2,2,64,34,0,0.000917,0.362953,0,0,1,1,0.159077,0.592628,0.721649,1.00,0.362953,68,6,0.4265
2,2,65,34,1,0.000809,0.362981,0,0,0,0,0.159199,0.589570,0.721649,1.00,0.362981,68,6,0.4265
2,2,66,34,0,0.006190,0.364268,0,0,1,1,0.164762,0.591314,0.721649,1.00,0.364268,68,6,0.4265
2,2,67,34,0,0.013432,0.364314,0,0,1,1,0.164961,0.590909,0.721649,1.00,0.364314,68,6,0.4265
2,2,68,13,1,0.266461,0.548142,0,1,0,1,0.914815,0.590861,0.721649,1.00,0.548142,68,6,0.4265
3,3,1,81,1,0.999981,0.458568,1,0,1,0,0.555541,0.588840,0.721649,1.00,0.458568,123,22,0.7236
3,3,2,81,0,0.999923,0.532594,1,1,0,0,0.852211,0.592146,0.721649,1.00,0.532594,123,22,0.7236
3,3,3,81,1,0.999894,0.544003,1,1,1,1,0.898116,0.590048,0.721649,1.00,0.544003,123,22,0.7236
3,3,4,81,1,0.999371,0.545501,1,1,1,1,0.904157,0.588134,0.721649,1.00,0.545501,123,22,0.7236
3,3,5,81,1,0.800360,0.545661,1,1,1,1,0.904804,0.588837,0.721649,1.00,0.545661,123,22,0.7236
3,3,6,81,1,0.852183,0.545678,1,1,1,1,0.904873,0.589426,0.721649,1.00,0.545678,123,22,0.7236
3,3,7,32,0,0.993596,0.544039,1,1,0,0,0.898263,0.587720,0.721649,1.00,0.544039,123,22,0.7236
3,3,8,32,0,0.993890,0.544063,1,1,0,0,0.898359,0.589138,0.721649,1.00,0.544063,123,22,0.7236
3,3,9,32,1,0.992970,0.544068,1,1,1,1,0.898379,0.589152,0.721649,1.00,0.544068,123,22,0.7236
3,3,10,32,1,0.985434,0.544069,1,1,1,1,0.898383,0.587529,0.721649,1.00,0.544069,123,22,0.7236
3,3,11,32,0,0.997936,0.544069,1,1,0,0,0.898384,0.586735,0.721649,1.00,0.544069,123,22,0.7236
3,3,12,32,1,0.979804,0.544069,1,1,1,1,0.898385,0.587435,0.721649,1.00,0.544069,123,22,0.7236
3,3,13,32,0,0.996998,0.544069,1,1,0,0,0.898385,0.588570,0.721649,1.00,0.544069,123,22,0.7236
3,3,14,32,0,0.997438,0.544069,1,1,0,0,0.898385,0.588858,0.721649,1.00,0.544069,123,22,0.7236
3,3,15,32,1,0.981355,0.544069,1,1,1,1,0.898385,0.587663,0.721649,1.00,0.544069,123,22,0.7236
3,3,16,32,1,0.983846,0.544069,1,1,1,1,0.898385,0.587863,0.721649,1.00,0.544069,123,22,0.7236
3,3,17,32,1,0.997992,0.544069,1,1,1,1,0.898385,0.589732,0.721649,1.00,0.544069,123,22,0.7236
3,3,18,32,1,0.998620,0.544069,1,1,1,1,0.898385,0.588343,0.721649,1.00,0.544069,123,22,0.7236
3,3,19,74,0,0.999044,0.542855,1,1,0,0,0.893489,0.586659,0.721649,1.00,0.542855,123,22,0.7236
3,3,20,74,1,0.801559,0.542855,1,1,1,1,0.893489,0.586563,0.721649,1.00,0.542855,123,22,0.7236
3,3,21,74,1,0.999114,0.542855,1,1,1,1,0.893489,0.588080,0.721649,1.00,0.542855,123,22,0.7236
3,3,22,74,0,0.996241,0.542855,1,1,0,0,0.893489,0.590081,0.721649,1.00,0.542855,123,22,0.7236
3,3,23,74,1,0.547945,0.542855,1,1,1,1,0.893489,0.588849,0.721649,1.00,0.542855,123,22,0.7236
3,3,24,74,1,0.989051,0.542855,1,1,1,1,0.893489,0.588503,0.721649,1.00,0.542855,123,22,0.7236
3,3,25,74,1,0.987949,0.542855,1,1,1,1,0.893489,0.589023,0.721649,1.00,0.542855,123,22,0.7236
3,3,26,74,0,0.985779,0.542855,1,1,0,0,0.893489,0.590455,0.721649,1.00,0.542855,123,22,0.7236
3,3,27,76,0,0.166114,0.544133,0,1,1,0,0.898641,0.589838,0.721649,1.00,0.544133,123,22,0.7236
3,3,28,76,1,0.069598,0.544133,0,1,0,1,0.898641,0.589975,0.721649,1.00,0.544133,123,22,0.7236
3,3,29,76,1,0.990701,0.544133,1,1,1,1,0.898641,0.589895,0.721649,1.00,0.544133,123,22,0.7236
3,3,30,76,0,0.996821,0.544133,1,1,0,0,0.898641,0.588012,0.721649,1.00,0.544133,123,22,0.7236
3,3,31,76,1,0.079048,0.544133,0,1,0,1,0.898641,0.589500,0.721649,1.00,0.544133,123,22,0.7236
3,3,32,76,1,0.997394,0.544133,1,1,1,1,0.898641,0.586413,0.721649,1.00,0.544133,123,22,0.7236
