student_idx,global_idx,step,skill_id,actual_response,encoder1_pred,encoder2_pred,encoder1_binary,encoder2_binary,encoder1_match,encoder2_match,mastery,expected_gain,theta_global,threshold_temp,encoder2_pred_expected,total_steps,unique_skills,accuracy
1,1,1,14,1,0.851381,0.428091,1,0,1,0,0.495001,0.592178,0.784644,1.00,0.428091,11,3,0.8182
1,1,2,14,1,0.888778,0.480335,1,0,1,0,0.705943,0.591066,0.784644,1.00,0.480335,11,3,0.8182
1,1,3,14,0,0.820931,0.490813,1,0,0,1,0.747890,0.592347,0.784644,1.00,0.490812,11,3,0.8182
1,1,4,92,0,0.803751,0.349336,1,0,0,1,0.162683,0.590270,0.784644,1.00,0.349335,11,3,0.8182
1,1,5,92,1,0.770494,0.355109,1,0,1,0,0.187988,0.590103,0.784644,1.00,0.355109,11,3,0.8182
1,1,6,92,1,0.874603,0.440262,1,0,1,0,0.544544,0.592036,0.784644,1.00,0.440262,11,3,0.8182
1,1,7,92,1,0.874093,0.480839,1,0,1,0,0.707962,0.592315,0.784644,1.00,0.480839,11,3,0.8182
1,1,8,92,1,0.867939,0.487282,1,0,1,0,0.733761,0.590640,0.784644,1.00,0.487282,11,3,0.8182
1,1,9,1,1,0.856072,0.437431,1,0,1,0,0.533051,0.593628,0.784644,1.00,0.437431,11,3,0.8182
1,1,10,1,1,0.867552,0.485602,1,0,1,0,0.727034,0.591846,0.784644,1.00,0.485602,11,3,0.8182
1,1,11,1,1,0.846743,0.492092,1,0,1,0,0.753009,0.590449,0.784644,1.00,0.492092,11,3,0.8182
2,2,1,10,1,0.495008,0.348188,0,0,0,0,0.157629,0.592456,0.784644,1.00,0.348188,68,6,0.4265
2,2,2,0,0,0.766662,0.432842,1,0,0,1,0.514380,0.593197,0.784644,1.00,0.432842,68,6,0.4265
2,2,3,7,1,0.643615,0.348108,1,0,1,0,0.157277,0.592493,0.784644,1.00,0.348108,68,6,0.4265
2,2,4,7,0,0.758649,0.413441,1,0,0,1,0.434884,0.592664,0.784644,1.00,0.413441,68,6,0.4265
2,2,5,7,0,0.568384,0.417319,1,0,0,1,0.450853,0.588718,0.784644,1.00,0.417319,68,6,0.4265
2,2,6,0,1,0.513779,0.435850,1,0,1,0,0.526624,0.590272,0.784644,1.00,0.435850,68,6,0.4265
2,2,7,10,1,0.674113,0.461338,1,0,1,0,0.629687,0.589629,0.784644,1.00,0.461338,68,6,0.4265
2,2,8,10,1,0.698491,0.492105,1,0,1,0,0.753061,0.589986,0.784644,1.00,0.492105,68,6,0.4265
2,2,9,10,1,0.555647,0.494145,1,0,1,0,0.761224,0.590460,0.784644,1.00,0.494145,68,6,0.4265
2,2,10,0,0,0.688721,0.485331,1,0,0,1,0.725950,0.589980,0.784644,1.00,0.485331,68,6,0.4265
2,2,11,0,0,0.582248,0.485886,1,0,0,1,0.728172,0.590153,0.784644,1.00,0.485886,68,6,0.4265
2,2,12,7,1,0.548365,0.423210,1,0,1,0,0.475036,0.590608,0.784644,1.00,0.423210,68,6,0.4265
2,2,13,7,1,0.633305,0.474570,1,0,1,0,0.682835,0.587351,0.784644,1.00,0.474570,68,6,0.4265
2,2,14,7,1,0.685527,0.490403,1,0,1,0,0.746252,0.589744,0.784644,1.00,0.490403,68,6,0.4265
