student_num,global_idx,step,skill_id,true_answer,prediction,correct,gain,mastery,total_steps,unique_skills
1,6,1,24,1,0.837462,1,0.588477,0.072998,10,3
1,6,2,24,1,0.901387,1,0.588546,0.114522,10,3
1,6,3,24,0,0.534546,0,0.587464,0.174199,10,3
1,6,4,27,0,0.705791,0,0.584409,0.072201,10,3
1,6,5,27,1,0.698729,1,0.589451,0.112539,10,3
1,6,6,27,1,0.747998,1,0.585711,0.170012,10,3
1,6,7,27,1,0.724518,1,0.586667,0.247078,10,3
1,6,8,27,1,0.644214,1,0.586628,0.341393,10,3
1,6,9,41,1,0.775022,1,0.585738,0.065284,10,3
1,6,10,41,1,0.791029,1,0.585681,0.098855,10,3
2,311,1,89,0,0.675709,0,0.585681,0.056920,13,3
2,311,2,90,1,0.698536,1,0.587371,0.055963,13,3
2,311,3,90,1,0.764196,1,0.587909,0.083624,13,3
2,311,4,90,1,0.813591,1,0.589041,0.122379,13,3
2,311,5,90,0,0.617829,0,0.585144,0.173504,13,3
2,311,6,89,0,0.552756,0,0.586088,0.085089,13,3
2,311,7,89,1,0.531423,1,0.585191,0.124409,13,3
2,311,8,89,1,0.733095,1,0.587527,0.176869,13,3
2,311,9,89,1,0.796726,1,0.589229,0.242267,13,3
2,311,10,89,0,0.774235,0,0.586242,0.316651,13,3
2,311,11,95,1,0.733672,1,0.587189,0.056613,13,3
2,311,12,95,1,0.826902,1,0.587789,0.084607,13,3
2,311,13,95,1,0.858101,1,0.584532,0.123494,13,3
3,415,1,20,1,0.837163,1,0.588272,0.076781,16,5
3,415,2,20,1,0.879289,1,0.586849,0.122004,16,5
3,415,3,20,1,0.782516,1,0.587301,0.187657,16,5
3,415,4,22,1,0.872909,1,0.587352,0.071723,16,5
3,415,5,22,1,0.890259,1,0.589793,0.111125,16,5
3,415,6,22,1,0.927912,1,0.585545,0.167000,16,5
3,415,7,67,1,0.949705,1,0.587973,0.069651,16,5
3,415,8,67,1,0.933236,1,0.588899,0.107413,16,5
3,415,9,67,1,0.906561,1,0.586877,0.161044,16,5
3,415,10,57,1,0.919040,1,0.588860,0.068999,16,5
3,415,11,57,1,0.908368,1,0.584822,0.105107,16,5
3,415,12,57,1,0.855083,1,0.587223,0.156436,16,5
3,415,13,33,0,0.854792,0,0.586181,0.078387,16,5
3,415,14,33,1,0.867370,1,0.587704,0.125588,16,5
3,415,15,33,1,0.889932,1,0.584446,0.193929,16,5
3,415,16,33,1,0.841091,1,0.587316,0.286011,16,5
4,278,1,79,0,0.880810,0,0.587604,0.066327,22,6
4,278,2,7,0,0.528794,0,0.587435,0.081075,22,6
4,278,3,2,1,0.478300,0,0.586300,0.082462,22,6
4,278,4,2,1,0.590684,1,0.583919,0.134512,22,6
4,278,5,2,0,0.647595,0,0.589188,0.211856,22,6
4,278,6,2,1,0.449208,0,0.586585,0.315079,22,6
4,278,7,2,0,0.578607,0,0.584061,0.436590,22,6
4,278,8,78,1,0.738480,1,0.585945,0.064629,22,6
4,278,9,12,0,0.761406,0,0.586134,0.077480,22,6
4,278,10,12,1,0.865852,1,0.586994,0.123644,22,6
4,278,11,7,1,0.918626,1,0.583729,0.131276,22,6
4,278,12,7,1,0.924880,1,0.585318,0.205039,22,6
