student_num,global_idx,step,skill_id,true_answer,prediction,correct,gain,mastery,total_steps,unique_skills
1,9,1,3,1,0.758879,1,1.742570,0.164142,5,2
1,9,2,3,1,0.824991,1,2.194713,0.551158,5,2
1,9,3,3,1,0.837784,1,2.255503,0.795324,5,2
1,9,4,3,0,0.475472,1,2.490794,0.842095,5,2
1,9,5,50,0,0.584704,0,2.239593,0.214566,5,2
2,444,1,7,1,0.889876,1,5.796768,0.800430,7,2
2,444,2,7,1,0.910567,1,4.991233,0.862869,7,2
2,444,3,7,1,0.797964,1,4.334048,0.863410,7,2
2,444,4,0,0,0.853072,0,0.000000,0.035030,7,2
2,444,5,0,1,0.725078,1,0.000000,0.035030,7,2
2,444,6,0,1,0.773768,1,0.000000,0.035030,7,2
2,444,7,0,1,0.795690,1,0.000000,0.035030,7,2
3,307,1,4,0,0.684346,0,1.457094,0.116720,11,3
3,307,2,4,1,0.654060,1,1.986183,0.397512,11,3
3,307,3,12,0,0.728932,0,2.066955,0.209845,11,3
3,307,4,12,1,0.656936,1,2.278409,0.625146,11,3
3,307,5,12,0,0.747172,0,1.959895,0.806138,11,3
3,307,6,12,0,0.668713,0,2.396143,0.847998,11,3
3,307,7,12,1,0.713649,1,2.632523,0.852831,11,3
3,307,8,53,0,0.818820,0,1.398586,0.112339,11,3
3,307,9,53,1,0.754633,1,1.405969,0.291754,11,3
3,307,10,53,1,0.861335,1,1.477844,0.543329,11,3
3,307,11,53,1,0.877319,1,1.885976,0.728385,11,3
4,475,1,2,1,0.501963,1,1.835696,0.184499,15,6
4,475,2,2,1,0.622404,1,2.398327,0.628243,15,6
4,475,3,79,1,0.805929,1,2.238724,0.220995,15,6
4,475,4,79,1,0.844445,1,1.999056,0.573454,15,6
4,475,5,79,1,0.613221,1,2.292186,0.784971,15,6
4,475,6,78,1,0.863895,1,0.000000,0.033164,15,6
4,475,7,78,1,0.858865,1,0.000000,0.033164,15,6
4,475,8,78,1,0.849777,1,0.000000,0.033164,15,6
4,475,9,62,1,0.868483,1,2.168447,0.233272,15,6
4,475,10,62,1,0.875345,1,2.447144,0.680325,15,6
4,475,11,62,1,0.850488,1,2.154443,0.828741,15,6
4,475,12,63,1,0.879086,1,1.891563,0.175229,15,6
4,475,13,63,1,0.882785,1,2.241398,0.561100,15,6
4,475,14,63,0,0.670422,0,2.085796,0.775043,15,6
4,475,15,61,0,0.542716,0,2.156529,0.218151,15,6
5,476,1,52,1,0.707341,1,0.000000,0.033209,21,7
5,476,2,52,0,0.780815,0,0.000000,0.033209,21,7
5,476,3,15,0,0.752857,0,1.120246,0.087496,21,7
5,476,4,15,0,0.858151,0,0.963114,0.178353,21,7
5,476,5,83,0,0.853871,0,0.000000,0.033188,21,7
5,476,6,83,1,0.835678,1,0.000000,0.033188,21,7
5,476,7,83,1,0.869364,1,0.000000,0.033188,21,7
5,476,8,83,0,0.854938,0,0.000000,0.033188,21,7
5,476,9,83,1,0.829906,1,0.397529,0.046070,21,7
5,476,10,83,1,0.866349,1,0.000000,0.046070,21,7
5,476,11,83,1,0.865589,1,0.000000,0.046070,21,7
5,476,12,83,0,0.672182,0,0.000000,0.046070,21,7
5,476,13,76,0,0.584698,0,1.864766,0.180495,21,7
5,476,14,37,1,0.627723,1,2.017183,0.213932,21,7
5,476,15,37,1,0.808411,1,2.148528,0.622001,21,7
5,476,16,37,1,0.830622,1,2.605314,0.828732,21,7
5,476,17,37,0,0.637141,0,2.894548,0.851835,21,7
5,476,18,81,0,0.746323,0,1.757083,0.156515,21,7
5,476,19,94,1,0.742283,1,0.751417,0.074835,21,7
5,476,20,94,1,0.804635,1,1.947962,0.320340,21,7
5,476,21,94,0,0.835710,0,1.948714,0.675028,21,7
6,148,1,53,1,0.878034,1,2.388975,0.227036,29,8
6,148,2,53,1,0.900292,1,1.655241,0.505781,29,8
6,148,3,53,1,0.891722,1,1.679706,0.701966,29,8
6,148,4,53,1,0.845441,1,2.152210,0.775023,29,8
6,148,5,54,1,0.886933,1,0.000000,0.033133,29,8
6,148,6,54,1,0.883680,1,0.000000,0.033133,29,8
6,148,7,54,1,0.826594,1,0.000000,0.033133,29,8
6,148,8,61,1,0.850397,1,2.271904,0.235847,29,8
6,148,9,61,1,0.856025,1,2.131919,0.622549,29,8
6,148,10,61,1,0.877665,1,1.334110,0.767425,29,8
6,148,11,62,1,0.891126,1,2.274394,0.250819,29,8
6,148,12,62,1,0.901094,1,2.158911,0.654776,29,8
6,148,13,62,0,0.824062,0,2.241574,0.826226,29,8
6,148,14,73,1,0.786498,1,0.487356,0.049635,29,8
6,148,15,73,1,0.838209,1,0.378084,0.067239,29,8
6,148,16,73,1,0.823540,1,0.000000,0.067239,29,8
6,148,17,73,1,0.760909,1,0.000000,0.067239,29,8
6,148,18,4,0,0.786622,0,1.107311,0.089109,29,8
6,148,19,4,1,0.718209,1,1.399503,0.241421,29,8
6,148,20,4,1,0.795540,1,0.641718,0.345878,29,8
6,148,21,4,1,0.812344,1,1.304993,0.564590,29,8
6,148,22,4,1,0.781895,1,0.867926,0.668820,29,8
6,148,23,4,0,0.639085,0,0.822051,0.728980,29,8
6,148,24,64,1,0.592459,1,1.313265,0.113556,29,8
6,148,25,64,1,0.769410,1,1.715630,0.359695,29,8
6,148,26,64,1,0.748989,1,1.437363,0.616605,29,8
6,148,27,64,1,0.683065,1,1.392682,0.760094,29,8
6,148,28,82,1,0.725160,1,1.582783,0.124009,29,8
6,148,29,82,1,0.739526,1,1.494223,0.321617,29,8
7,425,1,34,1,0.772047,1,1.825917,0.159443,39,12
7,425,2,34,1,0.844961,1,2.612267,0.582682,39,12
7,425,3,34,1,0.770174,1,2.353775,0.767279,39,12
7,425,4,13,1,0.829767,1,2.856944,0.363278,39,12
7,425,5,13,1,0.847859,1,2.537688,0.769132,39,12
7,425,6,13,1,0.887470,1,2.863031,0.855596,39,12
7,425,7,45,1,0.888419,1,2.447494,0.277900,39,12
7,425,8,45,1,0.896227,1,2.332301,0.695439,39,12
7,425,9,45,0,0.279614,1,2.626173,0.836545,39,12
7,425,10,25,1,0.543972,1,0.964233,0.082274,39,12
7,425,11,25,1,0.713885,1,1.116804,0.190178,39,12
7,425,12,25,1,0.740070,1,1.356375,0.412292,39,12
7,425,13,25,1,0.850923,1,1.245225,0.617923,39,12
7,425,14,36,1,0.892212,1,2.233228,0.242650,39,12
7,425,15,36,1,0.909090,1,2.760787,0.724352,39,12
7,425,16,36,1,0.630987,1,1.925892,0.833071,39,12
7,425,17,6,1,0.714681,1,0.993128,0.080362,39,12
7,425,18,6,1,0.710678,1,0.533051,0.121146,39,12
7,425,19,6,1,0.767368,1,0.935809,0.230910,39,12
7,425,20,21,1,0.844775,1,1.955490,0.191989,39,12
7,425,21,21,1,0.832019,1,2.032326,0.559682,39,12
7,425,22,21,1,0.702462,1,1.704598,0.764011,39,12
7,425,23,22,1,0.764634,1,1.620170,0.142836,39,12
7,425,24,22,1,0.766385,1,1.401230,0.354351,39,12
7,425,25,22,1,0.789130,1,1.717332,0.650413,39,12
7,425,26,20,1,0.823930,1,1.827436,0.171373,39,12
7,425,27,20,1,0.847172,1,2.139438,0.545707,39,12
7,425,28,20,1,0.795889,1,1.402226,0.733068,39,12
7,425,29,67,0,0.840573,0,1.658505,0.150625,39,12
7,425,30,67,0,0.800527,0,1.684046,0.426633,39,12
7,425,31,67,1,0.797776,1,1.405927,0.664944,39,12
7,425,32,67,1,0.868446,1,1.604114,0.794254,39,12
7,425,33,67,1,0.855034,1,2.874973,0.839151,39,12
7,425,34,67,1,0.746587,1,1.503503,0.841874,39,12
7,425,35,66,1,0.833892,1,1.676363,0.153504,39,12
7,425,36,66,1,0.851797,1,2.178944,0.526990,39,12
7,425,37,66,1,0.744670,1,0.871952,0.664885,39,12
7,425,38,64,1,0.822425,1,1.704531,0.153463,39,12
7,425,39,64,1,0.827907,1,2.111015,0.508224,39,12
8,277,1,74,1,0.774224,1,2.564601,0.277520,57,11
8,277,2,74,1,0.828999,1,2.507177,0.696871,57,11
8,277,3,74,1,0.801546,1,2.526839,0.822475,57,11
8,277,4,43,1,0.860639,1,0.742363,0.061489,57,11
8,277,5,43,1,0.863773,1,0.475935,0.089367,57,11
8,277,6,43,1,0.869897,1,0.385772,0.119412,57,11
8,277,7,43,1,0.875555,1,0.665984,0.189557,57,11
8,277,8,43,1,0.859509,1,1.138724,0.357008,57,11
8,277,9,10,1,0.864203,1,3.107256,0.436558,57,11
8,277,10,10,1,0.890135,1,2.986557,0.827621,57,11
8,277,11,10,1,0.888438,1,2.940242,0.868787,57,11
8,277,12,10,0,0.889552,0,3.365358,0.871241,57,11
8,277,13,8,1,0.868706,1,1.919659,0.203423,57,11
8,277,14,8,1,0.910365,1,2.389508,0.657117,57,11
8,277,15,8,1,0.914758,1,3.198642,0.853042,57,11
8,277,16,8,1,0.861618,1,2.409224,0.863811,57,11
8,277,17,77,0,0.888151,0,2.671189,0.338077,57,11
8,277,18,77,1,0.829489,1,1.472002,0.630943,57,11
8,277,19,77,1,0.896418,1,2.488326,0.836686,57,11
8,277,20,77,1,0.898581,1,3.099762,0.862490,57,11
8,277,21,77,0,0.766814,0,3.265959,0.863789,57,11
8,277,22,39,1,0.754779,1,0.000000,0.033140,57,11
8,277,23,39,1,0.830690,1,0.000000,0.033140,57,11
8,277,24,39,1,0.839425,1,0.000000,0.033140,57,11
8,277,25,39,1,0.841472,1,0.000000,0.033140,57,11
8,277,26,39,1,0.818895,1,0.000000,0.033140,57,11
8,277,27,39,1,0.847304,1,0.000000,0.033140,57,11
8,277,28,39,1,0.836742,1,0.000000,0.033140,57,11
8,277,29,39,1,0.864593,1,0.000000,0.033140,57,11
8,277,30,83,1,0.877432,1,0.000000,0.033188,57,11
8,277,31,83,1,0.878005,1,0.000000,0.033188,57,11
8,277,32,83,1,0.881524,1,0.000000,0.033188,57,11
8,277,33,83,1,0.879259,1,0.000000,0.033188,57,11
8,277,34,83,0,0.683348,0,0.000000,0.033188,57,11
8,277,35,38,1,0.596362,1,0.000000,0.033143,57,11
8,277,36,38,0,0.727979,0,0.000000,0.033143,57,11
8,277,37,38,1,0.581223,1,0.000000,0.033143,57,11
8,277,38,38,1,0.696893,1,0.000000,0.033143,57,11
8,277,39,38,1,0.700187,1,0.065783,0.035006,57,11
8,277,40,38,0,0.759070,0,0.000000,0.035006,57,11
8,277,41,93,1,0.724397,1,0.794377,0.067515,57,11
8,277,42,93,1,0.809764,1,0.632958,0.110817,57,11
8,277,43,93,1,0.829982,1,0.799546,0.195755,57,11
8,277,44,93,1,0.853110,1,0.102156,0.209242,57,11
8,277,45,35,1,0.850149,1,0.912229,0.075834,57,11
8,277,46,35,1,0.851294,1,0.140086,0.084747,57,11
8,277,47,35,1,0.835562,1,1.253292,0.210618,57,11
8,277,48,10,1,0.877324,1,3.223459,0.871330,57,11
8,277,49,10,1,0.874401,1,2.992838,0.871334,57,11
8,277,50,10,1,0.884540,1,3.259082,0.871334,57,11
8,277,51,77,1,0.894809,1,2.706424,0.863841,57,11
8,277,52,77,1,0.895004,1,2.820292,0.863845,57,11
8,277,53,77,1,0.712756,1,2.617005,0.863845,57,11
8,277,54,73,0,0.806884,0,0.000000,0.033233,57,11
8,277,55,73,1,0.765898,1,0.000000,0.033233,57,11
8,277,56,73,1,0.811266,1,0.073400,0.035323,57,11
8,277,57,73,1,0.804145,1,0.000000,0.035323,57,11
9,255,1,50,0,0.472112,1,1.582872,0.134789,82,17
9,255,2,50,0,0.469611,1,1.756098,0.399912,82,17
9,255,3,50,1,0.519342,1,2.104128,0.711044,82,17
9,255,4,50,0,0.699951,0,1.073199,0.778143,82,17
9,255,5,50,0,0.608608,0,2.274016,0.819870,82,17
9,255,6,50,1,0.594117,1,1.802074,0.825200,82,17
9,255,7,50,1,0.742656,1,1.052824,0.826016,82,17
9,255,8,50,1,0.764880,1,1.445811,0.826396,82,17
9,255,9,50,0,0.698391,0,1.199584,0.826490,82,17
9,255,10,65,1,0.680086,1,0.000000,0.033301,82,17
9,255,11,65,1,0.750952,1,0.000000,0.033301,82,17
9,255,12,65,1,0.770720,1,0.000000,0.033301,82,17
9,255,13,65,1,0.546372,1,0.000000,0.033301,82,17
9,255,14,18,1,0.696696,1,1.317177,0.107819,82,17
9,255,15,18,1,0.705079,1,0.833351,0.197783,82,17
9,255,16,18,0,0.844416,0,1.448536,0.438189,82,17
9,255,17,53,0,0.838661,0,1.540161,0.125153,82,17
9,255,18,53,1,0.846135,1,1.541345,0.338759,82,17
9,255,19,53,1,0.885371,1,1.447346,0.579120,82,17
