student_num,global_idx,step,skill_id,true_answer,prediction,correct,gain,mastery,total_steps,unique_skills
1,6,1,24,1,0.797783,1,5.397265,0.761763,10,3
1,6,2,24,1,0.862502,1,3.758503,0.892154,10,3
1,6,3,24,0,0.509411,0,4.831077,0.897618,10,3
1,6,4,27,0,0.667992,0,2.327368,0.197051,10,3
1,6,5,27,1,0.666108,1,1.640599,0.454857,10,3
1,6,6,27,1,0.717949,1,1.876039,0.721421,10,3
1,6,7,27,1,0.697707,1,2.152916,0.835019,10,3
1,6,8,27,1,0.605883,1,2.168627,0.858845,10,3
1,6,9,41,1,0.726697,1,1.191478,0.083639,10,3
1,6,10,41,1,0.742595,1,1.431089,0.210478,10,3
2,311,1,89,0,0.633106,0,1.913988,0.118460,13,3
2,311,2,90,1,0.657041,1,0.000000,0.028981,13,3
2,311,3,90,1,0.713544,1,0.000000,0.028981,13,3
2,311,4,90,1,0.761860,1,0.000000,0.028981,13,3
2,311,5,90,0,0.584656,0,0.000000,0.028981,13,3
2,311,6,89,0,0.530585,0,1.440387,0.269386,13,3
2,311,7,89,1,0.522302,1,1.662731,0.491386,13,3
2,311,8,89,1,0.700912,1,1.228292,0.609347,13,3
2,311,9,89,1,0.759959,1,1.200421,0.670925,13,3
2,311,10,89,0,0.724413,0,1.210801,0.699052,13,3
2,311,11,95,1,0.692689,1,1.058045,0.067255,13,3
2,311,12,95,1,0.775673,1,1.671958,0.196325,13,3
2,311,13,95,1,0.809194,1,1.548865,0.399688,13,3
3,415,1,20,1,0.793332,1,3.903540,0.508282,16,5
3,415,2,20,1,0.839074,1,3.482630,0.862553,16,5
3,415,3,20,1,0.738665,1,3.515587,0.893318,16,5
3,415,4,22,1,0.822801,1,1.927703,0.160186,16,5
3,415,5,22,1,0.842152,1,2.030608,0.479722,16,5
3,415,6,22,1,0.865767,1,3.459669,0.835669,16,5
3,415,7,67,1,0.887190,1,2.442521,0.237941,16,5
3,415,8,67,1,0.881302,1,2.295222,0.642823,16,5
3,415,9,67,1,0.844141,1,2.728614,0.857317,16,5
3,415,10,57,1,0.859786,1,1.708871,0.129728,16,5
3,415,11,57,1,0.852709,1,1.325811,0.293086,16,5
3,415,12,57,1,0.795560,1,0.869835,0.438332,16,5
3,415,13,33,0,0.805985,0,2.808052,0.315817,16,5
3,415,14,33,1,0.823850,1,2.666510,0.768581,16,5
3,415,15,33,1,0.850183,1,2.154524,0.881892,16,5
3,415,16,33,1,0.805529,1,1.977409,0.901193,16,5
4,278,1,79,0,0.822204,0,2.852710,0.286895,22,6
4,278,2,7,0,0.499512,1,2.088682,0.221958,22,6
4,278,3,2,1,0.456271,0,2.287174,0.244898,22,6
4,278,4,2,1,0.586132,1,2.284957,0.685910,22,6
4,278,5,2,0,0.629725,0,2.944552,0.903006,22,6
4,278,6,2,1,0.452751,0,2.655843,0.922671,22,6
4,278,7,2,0,0.545010,0,2.117069,0.924362,22,6
4,278,8,78,1,0.691613,1,0.000000,0.029011,22,6
4,278,9,12,0,0.723036,0,2.672766,0.290970,22,6
4,278,10,12,1,0.814174,1,2.529150,0.737573,22,6
4,278,11,7,1,0.872142,1,2.886333,0.763965,22,6
4,278,12,7,1,0.882689,1,2.715573,0.916222,22,6
4,278,13,7,1,0.788883,1,2.533596,0.930962,22,6
4,278,14,63,1,0.858455,1,2.291366,0.210295,22,6
4,278,15,63,1,0.866285,1,2.205537,0.588666,22,6
4,278,16,63,1,0.883063,1,2.472615,0.821150,22,6
4,278,17,63,0,0.698194,0,2.453054,0.862197,22,6
4,278,18,79,0,0.718889,0,1.958685,0.622907,22,6
4,278,19,79,1,0.520158,1,1.952598,0.803878,22,6
4,278,20,78,1,0.870239,1,0.000000,0.029011,22,6
4,278,21,78,1,0.865250,1,0.000000,0.029011,22,6
4,278,22,78,0,0.701406,0,0.000000,0.029011,22,6
5,372,1,47,1,0.709971,1,3.918715,0.444802,28,7
5,372,2,47,1,0.769742,1,3.822349,0.827178,28,7
5,372,3,47,1,0.826036,1,3.274066,0.860133,28,7
5,372,4,37,1,0.896997,1,2.567816,0.300013,28,7
5,372,5,37,1,0.912101,1,3.484853,0.842260,28,7
5,372,6,37,1,0.856484,1,3.315397,0.905566,28,7
5,372,7,46,1,0.865172,1,0.000000,0.028858,28,7
5,372,8,46,1,0.843880,1,0.000000,0.028858,28,7
5,372,9,46,1,0.857514,1,0.000000,0.028858,28,7
5,372,10,46,1,0.836360,1,0.000000,0.028858,28,7
5,372,11,39,1,0.866429,1,0.000000,0.028950,28,7
5,372,12,39,1,0.856115,1,0.000000,0.028950,28,7
5,372,13,39,1,0.791323,1,0.000000,0.028950,28,7
5,372,14,59,1,0.836245,1,0.000000,0.029023,28,7
5,372,15,59,1,0.842721,1,0.000000,0.029023,28,7
5,372,16,59,1,0.798359,1,0.000000,0.029023,28,7
5,372,17,23,1,0.822216,1,0.050929,0.030056,28,7
5,372,18,23,1,0.831377,1,0.000000,0.030056,28,7
5,372,19,23,1,0.667664,1,0.000000,0.030056,28,7
5,372,20,49,1,0.690434,1,0.426148,0.044452,28,7
5,372,21,49,1,0.742872,1,1.329613,0.112116,28,7
5,372,22,49,1,0.689992,1,0.470113,0.151280,28,7
5,372,23,49,1,0.723574,1,1.461730,0.329197,28,7
5,372,24,49,1,0.781632,1,0.884747,0.456382,28,7
5,372,25,23,1,0.856968,1,0.000000,0.030056,28,7
5,372,26,23,1,0.820473,1,0.000000,0.030056,28,7
5,372,27,23,1,0.843342,1,0.000000,0.030056,28,7
5,372,28,23,1,0.796835,1,0.000000,0.030056,28,7
6,203,1,1,1,0.665004,1,2.059052,0.193554,37,9
6,203,2,1,1,0.851715,1,3.695459,0.790596,37,9
6,203,3,1,1,0.843025,1,4.158113,0.903334,37,9
6,203,4,1,1,0.456728,0,3.454239,0.906702,37,9
6,203,5,14,0,0.721702,0,3.652327,0.468207,37,9
6,203,6,14,1,0.583113,1,3.104577,0.851004,37,9
6,203,7,14,1,0.666581,1,3.735197,0.902404,37,9
6,203,8,14,1,0.765461,1,3.098395,0.904476,37,9
6,203,9,14,1,0.550280,1,3.070531,0.904617,37,9
6,203,10,76,1,0.866003,1,2.364595,0.237811,37,9
6,203,11,7,0,0.887636,0,3.387284,0.475547,37,9
6,203,12,7,0,0.704882,0,2.692885,0.864074,37,9
6,203,13,7,1,0.653836,1,2.135665,0.922445,37,9
6,203,14,7,1,0.810615,1,2.567516,0.931602,37,9
6,203,15,7,1,0.793410,1,2.897750,0.932482,37,9
6,203,16,7,1,0.576453,1,3.182529,0.932544,37,9
