student_num,global_idx,step,skill_id,true_answer,prediction,correct,gain,mastery,total_steps,unique_skills
1,6,1,24,1,0.831140,1,0.000000,0.581013,10,3
1,6,2,24,1,0.886689,1,0.000000,0.616840,10,3
1,6,3,24,0,0.603888,0,0.000000,0.616840,10,3
1,6,4,27,0,0.645090,0,0.000000,1.082319,10,3
1,6,5,27,1,0.673959,1,0.000000,1.082319,10,3
1,6,6,27,1,0.721162,1,0.000000,1.084742,10,3
1,6,7,27,1,0.724212,1,0.000000,1.164135,10,3
1,6,8,27,1,0.779751,1,0.000000,1.239888,10,3
1,6,9,41,1,0.753553,1,0.000000,0.480165,10,3
1,6,10,41,1,0.756182,1,0.000000,0.480165,10,3
2,311,1,89,0,0.633068,0,0.000000,0.620602,13,3
2,311,2,90,1,0.661465,1,0.000000,0.554547,13,3
2,311,3,90,1,0.722940,1,0.000000,0.554547,13,3
2,311,4,90,1,0.738178,1,0.000000,0.554547,13,3
2,311,5,90,0,0.775588,0,0.000000,0.554547,13,3
2,311,6,89,0,0.707224,0,0.000000,0.620602,13,3
2,311,7,89,1,0.637420,1,0.000000,0.620602,13,3
2,311,8,89,1,0.724573,1,0.000000,0.620602,13,3
2,311,9,89,1,0.761151,1,0.000000,0.620602,13,3
2,311,10,89,0,0.783509,0,0.000000,0.620602,13,3
2,311,11,95,1,0.716247,1,0.000000,1.343866,13,3
2,311,12,95,1,0.828521,1,0.000000,1.343866,13,3
2,311,13,95,1,0.819996,1,0.000000,1.431427,13,3
3,415,1,20,1,0.800294,1,0.000000,0.311059,16,5
3,415,2,20,1,0.861061,1,0.000000,0.311059,16,5
3,415,3,20,1,0.809876,1,0.000000,0.320208,16,5
3,415,4,22,1,0.871581,1,0.000000,0.688759,16,5
3,415,5,22,1,0.896557,1,0.000000,0.704379,16,5
3,415,6,22,1,0.931163,1,0.000000,0.816520,16,5
3,415,7,67,1,0.956607,1,0.000000,0.670478,16,5
3,415,8,67,1,0.964415,1,0.000000,0.752130,16,5
3,415,9,67,1,0.941110,1,0.000000,0.873193,16,5
3,415,10,57,1,0.940783,1,0.000000,1.290076,16,5
3,415,11,57,1,0.932518,1,0.000000,1.296699,16,5
3,415,12,57,1,0.904209,1,0.000000,1.296699,16,5
3,415,13,33,0,0.842591,0,0.000000,1.415887,16,5
3,415,14,33,1,0.833600,1,0.000000,1.415887,16,5
3,415,15,33,1,0.867377,1,0.000000,1.415887,16,5
3,415,16,33,1,0.855904,1,0.000000,1.439604,16,5
4,278,1,79,0,0.904550,0,0.000000,0.238351,22,6
4,278,2,7,0,0.441312,1,0.000000,1.560345,22,6
4,278,3,2,1,0.487857,0,0.000000,0.575763,22,6
4,278,4,2,1,0.590767,1,0.000000,0.575763,22,6
4,278,5,2,0,0.574771,0,0.000000,0.575763,22,6
4,278,6,2,1,0.506752,1,0.000000,0.575763,22,6
4,278,7,2,0,0.616814,0,0.000000,0.575763,22,6
4,278,8,78,1,0.710160,1,0.000000,1.229059,22,6
4,278,9,12,0,0.640407,0,0.000000,0.715416,22,6
4,278,10,12,1,0.755215,1,0.000000,0.715416,22,6
4,278,11,7,1,0.871128,1,0.000000,1.560345,22,6
4,278,12,7,1,0.907779,1,0.000000,1.560345,22,6
4,278,13,7,1,0.847533,1,0.000000,1.753557,22,6
4,278,14,63,1,0.891572,1,0.000000,0.720042,22,6
