epoch,phase,lambda_bce,epsilon,val_bce_auc,val_bce_acc,val_total_loss,val_bce_loss,val_rasch_loss,train_total_loss,train_bce_loss,train_rasch_loss
1,2,0.5,0.1,0.6791775200978716,0.7423527236274805,0.04568543011436657,0.09137086022873314,0.0,0.07225241164623765,0.11207587984173409,0.03242894316415023
2,2,0.5,0.1,0.7005563762638942,0.7465960739277268,0.04456212645282551,0.08912425290565101,0.0,0.04721810210283865,0.09443126985600575,4.934244437590395e-06
3,2,0.5,0.1,0.7098800259432602,0.7486009596200449,0.04404009992674905,0.0880801998534981,0.0,0.046348122773701664,0.09269105330341221,5.192349341708848e-06
4,2,0.5,0.1,0.7153330460349225,0.749603402466204,0.04372800848617846,0.08745601697235691,0.0,0.04581695182219997,0.0916285614622998,5.342212079288218e-06
5,2,0.5,0.1,0.7185164909470041,0.7510632706887659,0.04352737309373155,0.0870547461874631,4.526928491929761e-11,0.04545187506187765,0.09089758953591084,6.160422404775251e-06
6,2,0.5,0.1,0.7207676780824904,0.7517348100711443,0.04338728324795256,0.08677456163021983,5.141050856427802e-09,0.0451708626619738,0.09033461055993416,7.114925081180403e-06
7,2,0.5,0.1,0.7223354987412874,0.7520365161704736,0.04328444007099891,0.08656884304114751,3.7012496209633005e-08,0.04496036574167291,0.089912918719603,7.812546315871603e-06
8,2,0.5,0.1,0.7230651493653462,0.7527469853721204,0.043236084282398224,0.0864721342008941,3.4952136796489186e-08,0.04474879625624943,0.08948910566423224,8.487025909089236e-06
9,2,0.5,0.1,0.7230961838695247,0.7529319020136449,0.04322986418799478,0.08645964870039298,7.972290217423799e-08,0.04457220756521188,0.08913608277554338,8.331972530326443e-06
10,2,0.5,0.1,0.7235773387573138,0.753184945838889,0.043192115821400465,0.08638415911367961,7.225814791160305e-08,0.04440566857823127,0.0888030766630111,8.260323181553485e-06
11,2,0.5,0.1,0.7235256241074233,0.7531168186551694,0.04320725859427939,0.08641440831885046,1.0889521497245651e-07,0.044231615034100925,0.08845580282374985,7.427278288852216e-06
12,2,0.5,0.1,0.7232971668958991,0.7527956476462058,0.04322398796069379,0.08644787358994387,1.0281861443260002e-07,0.044058699614411806,0.08810989956318406,7.49971553924707e-06
13,2,0.5,0.1,0.7229489620299352,0.7527761827365717,0.04326332945908819,0.08652651614072371,1.4326525868526608e-07,0.04389848047626142,0.08778985213353226,7.1090990613434305e-06
14,2,0.5,0.1,0.7228173585500768,0.7522700950860836,0.04327635946018355,0.0865526021439202,1.1695981171449418e-07,0.04377051989108787,0.08753431621224769,6.723483548442869e-06
