epoch,train_loss,valid_auc,valid_acc,l_sup,l_ref,l_initmastery,l_rate
1,0.5522430214171925,0.7122220730114808,0.7497980515625456,0.5365247064223074,0.0162429448622496,0.0050361415428450415,0.01117218392574905
2,0.5222500627507108,0.7205991379244734,0.7542360509591334,0.5208784857018972,0.017678309873788777,0.000510061322986925,0.0007972634636571853
3,0.5174970631210467,0.7250222208980939,0.7556764542720611,0.516560331468789,0.019581342569595792,0.00035001807634100346,0.0005403057373671655
4,0.5151497311581692,0.7273789131803877,0.7559003007328539,0.5144054393508118,0.020439334754190297,0.0002780877037217617,0.0004293658236810148
5,0.513121357360545,0.7288456062468631,0.7570487304012691,0.512487052118523,0.021019886609726618,0.000237588215161931,0.000364421490909284
6,0.5118401457326112,0.7299996294115523,0.7575061557776718,0.5112783618554585,0.02136552391737854,0.00021044024844110498,0.00032271631550639983
7,0.5106642642967467,0.7300805588743738,0.7578370592414525,0.5101567563298844,0.021677492331192285,0.00019040686040885132,0.0002907879729974315
8,0.5098193858439549,0.7311343783316723,0.7577494671480988,0.5093536901540412,0.02190382942711751,0.00017447351095179899,0.00026745007066702244
9,0.5089136916876092,0.7315718625999512,0.7579927785185258,0.5084798054114662,0.022175640543353373,0.00016220965457576432,0.00025005328116542295
10,0.5082326239275776,0.7321861027302605,0.7579246513348061,0.5078260942282921,0.0222730026749286,0.00015227989320518238,0.0002335388315760933
