epoch,train_loss,valid_auc,valid_acc,train_l_sup,train_l_ref,train_l_init,train_l_rate,train_l_rasch,train_l_gap,train_l_student
1,29376.597014602896,0.5619586944771946,0.649862754377662,0.6407342583504201,0.03156629173705975,8.155002179155697e-11,1.8102191310402128e-11,5.087078674155994e-06,1.3735236790527832e-09,1.3746496764962164e-09
2,8354.098881370839,0.5653127290262019,0.649862754377662,0.6371203148485792,0.0305297455828016,1.6732859301989763e-11,5.586207533478277e-12,6.137980674244166e-06,2.2499547801165438e-05,2.247768304641795e-05
3,6256.786236514591,0.5689340747306165,0.649862754377662,0.6364816046567608,0.03017744068832447,1.5151514286519905e-11,4.005704696199912e-12,5.970194247121678e-06,3.9736625922159874e-05,4.79736349727015e-05
4,6242.090647806025,0.5734572658337332,0.649862754377662,0.63634092456847,0.02998526025718699,1.3941482077806083e-11,4.076074505651861e-12,5.901330910755102e-06,6.118285476001499e-05,5.945747564813549e-05
5,8708.135108073757,0.5784117316071706,0.649862754377662,0.6355777770619896,0.029704520866895717,1.6893626377082178e-11,5.86021824621576e-12,5.664277357671684e-06,8.169137715678214e-05,8.352676959096546e-05
6,9942.456419808595,0.5847032484728731,0.649862754377662,0.6351441093112862,0.029513617783474427,1.7232927603136057e-11,6.830555678757956e-12,5.519564538758459e-06,8.99447789114068e-05,0.00010021692065720345
7,11626.360491580368,0.5916392846328944,0.649862754377662,0.6346856621925537,0.02938208084863921,2.706163835720832e-11,7.51811038288197e-12,5.442785269593742e-06,0.0001134991475737479,0.00011350895473090834
8,9571.833806338995,0.597264393838484,0.649862754377662,0.6342655948478618,0.029160888399928808,1.4980552124697763e-11,6.685280722916816e-12,5.24497943980388e-06,0.00012877409915290627,0.00012863035298475248
9,9978.9039760198,0.6019808169404625,0.649862754377662,0.6335176329871048,0.02897670022988071,1.1420722197133116e-11,7.254709235922319e-12,5.055096846007245e-06,0.00013706938239010924,0.00014804047041631443
10,6742.015562644457,0.6065821843783958,0.649862754377662,0.6331075961269336,0.02882010885514319,7.150344638369684e-12,4.939736027293146e-12,4.864513956685339e-06,0.00013944841443465825,0.0001521870525872752
11,8744.895676974134,0.6117857834746032,0.649862754377662,0.6327242122945366,0.02863759221509099,1.3670226294109785e-11,6.108769742495876e-12,4.756254123587193e-06,0.0001388788116400974,0.0001539081348482796
12,7114.012266955701,0.6166158093684548,0.649862754377662,0.6320212772925241,0.02849965220472465,6.776842070443867e-12,5.264492999972489e-12,4.607418568743545e-06,0.00014797453811373393,0.00016182052896359286
13,6689.182846304597,0.6223626448506467,0.649862754377662,0.6315971140093949,0.028285958881800372,2.4559565911025192e-11,3.71462307015518e-12,4.391879770082596e-06,0.00013831902667031196,0.00016691109707759702
14,7576.021374498384,0.6274270398936366,0.649862754377662,0.630890243849517,0.02808058455896874,1.6692733448041946e-11,4.962741851861549e-12,4.130194099616347e-06,0.00014342182972389614,0.00016930085284153998
15,8720.176448824166,0.6324373337567751,0.649862754377662,0.6300017887592902,0.027898118055115145,1.3572608225213885e-11,6.095509733492393e-12,3.941083793534972e-06,0.00017370858741590686,0.00017490596474090125
