epoch,train_loss,valid_auc,valid_acc,train_l_sup,train_l_ref,train_l_init,train_l_rate,train_l_rasch,train_l_gap,train_l_student
1,0.6277810648711776,0.7576906414293463,0.7385139611926171,0.597767669883512,0.025509479533260066,3.0917535314152565e-07,9.143295625814128e-08,0.0013260892992548179,1.3744050064712354e-09,1.349471090428267e-09
2,0.5675800810439785,0.7844534469076505,0.7557027922385234,0.5413074926702403,0.022343142695414524,1.646567652827149e-07,3.147041497374085e-08,0.006052563675135995,2.267062032501599e-05,2.176148764002998e-05
3,0.5523471452176507,0.7992089915025389,0.7614197823000474,0.5228803454672369,0.025068076172222693,1.0240619135132563e-07,1.7225719990737637e-08,0.015837739473984886,3.2629845681716084e-05,2.958437841016348e-05
4,0.5435877823303631,0.8081328387060343,0.7665120681495504,0.5106577238113067,0.0280182323185727,7.362241335468597e-08,1.2948578453404466e-08,0.03262520896775337,4.263740243004577e-05,3.950927926628841e-05
5,0.5368946844148658,0.8135104911009697,0.7696734500709891,0.5008161515521715,0.030699242760116856,5.6475178653078825e-08,1.0832677049337222e-08,0.057326515782430455,4.039602040014264e-05,4.669849996237948e-05
6,0.5322826086223659,0.8167362760166963,0.7714718409843824,0.49398005701907644,0.03259276303773125,4.58794351969516e-08,9.739442267010592e-09,0.08978911196269716,4.010938274253325e-05,6.351322648849116e-05
7,0.5283751077348088,0.8184274641102618,0.7711121628017037,0.48836819201297765,0.03404366093066832,3.8329135167161236e-08,9.007978830371801e-09,0.130287347662185,3.4636522769915246e-05,8.266271909936525e-05
8,0.5254935665051105,0.8209771059411268,0.7726833885470894,0.48384424681729343,0.035441508633084595,3.3215900202540724e-08,8.75192725026315e-09,0.17898616582776108,3.373995614689799e-05,0.0001180238815360705
9,0.5237363928134675,0.8226230801802243,0.7731566493137719,0.4811979307727128,0.03619809448719025,2.9120950743905998e-08,8.668578683555273e-09,0.237077110078341,2.9141667601114325e-05,0.00015922883752258107
10,0.5215161139144306,0.8238342408831256,0.7739138665404638,0.4782203226904152,0.03684227001698067,2.6393445000196224e-08,8.847948402105186e-09,0.3056051001767628,3.0399437709623573e-05,0.00021778591106643339
11,0.5206756592696253,0.8245383554977528,0.7748225272124941,0.4770831436786382,0.03709426758966098,2.3972324244806215e-08,9.434855344808438e-09,0.3869216740131378,2.7470581675477963e-05,0.00028406309195361246
12,0.518900579205939,0.825331101614582,0.7751064836725036,0.47484176132666384,0.03749046823941171,2.1670392964507828e-08,9.865436923464975e-09,0.4826281043545653,2.8440912792859763e-05,0.0003744474588529556
13,0.5178021565209282,0.8260893536324319,0.7757501183151917,0.47323108283157383,0.03792560011303673,1.950444438793955e-08,1.0777391926455334e-08,0.5932509509536127,2.682440867118885e-05,0.0004767088786744959
14,0.5170325364077841,0.8267388323787499,0.7753147184098438,0.4724740519979537,0.03791387317081293,1.7645846773489115e-08,1.1677387700301726e-08,0.7216816125437617,2.7497428054819768e-05,0.0006029598231786318
15,0.5156543822641871,0.8275899713574559,0.7761476573592049,0.47084642830601137,0.038124949128056564,1.6286900657722827e-08,1.2981101123525028e-08,0.8678719849946598,2.6997948218365764e-05,0.0007457508466662451
16,0.5147469362763494,0.8285739808116676,0.7766398485565547,0.4696504932262959,0.03836903492143998,1.4855836394131058e-08,1.4688664345680337e-08,1.0340753212415923,2.8950063802805442e-05,0.0009164189458109225
17,0.5137882110252673,0.8295718740540976,0.7765641268338854,0.468692639944805,0.03836650987310956,1.4423440558087231e-08,1.7277780074188655e-08,1.221812312801679,3.357383918848692e-05,0.0010989956849698501
18,0.5130325151863674,0.8295903416737047,0.7766777094178893,0.4676357424799877,0.038620922792082034,1.3922374390817743e-08,1.9518853618798385e-08,1.4311318549637992,4.1451579212055854e-05,0.0013068536985277508
