epoch,train_loss,valid_auc,valid_acc,train_l_sup,train_l_ref,train_l_init,train_l_rate,train_l_rasch,train_l_gap,train_l_student
1,0.6233037891766006,0.7597053191897637,0.7413913866540464,0.5909584944926927,0.024417416541837156,3.0681709283696647e-07,8.98797462129914e-08,0.0013198021432193248,1.374417454846899e-09,1.359462269608554e-09
2,0.5697581430271479,0.7841593721931611,0.7581637482252721,0.5407617363726707,0.021901586597474914,1.6071787832048673e-07,3.257132171805994e-08,0.004942817282426404,2.2677187464144783e-05,2.1812848975362915e-05
3,0.5550252835546231,0.7997810278310398,0.7641079034548036,0.5227426876212324,0.024391135821739834,9.802842238742677e-08,1.835549483143717e-08,0.0115888198876443,3.2804066715167814e-05,2.965807904805236e-05
4,0.5462320294179888,0.8089783669995236,0.7683483199242783,0.5100043661574897,0.02737530254914115,6.967295078252805e-08,1.4008317110487152e-08,0.023312044254756376,4.214529006200488e-05,3.9472977770553065e-05
5,0.5403113306493664,0.8139564291494545,0.7699574065309985,0.5009552464470101,0.0297411602223292,5.2765638000911276e-08,1.1802664024802483e-08,0.04030358370800968,3.979257626459306e-05,4.513270217406292e-05
6,0.5353907132620198,0.8174209371060472,0.7714529105537151,0.4937825755203699,0.0314440579386428,4.199623406664565e-08,1.0604318784211532e-08,0.062362301716348156,4.024673323025733e-05,6.007282900100108e-05
7,0.532082296073649,0.8192024127398516,0.7723426407950781,0.48904522046072696,0.03252450566894064,3.438483749870696e-08,9.802524857525688e-09,0.09101418120553717,3.536665941320886e-05,7.909643600593579e-05
8,0.5298726581371656,0.820299578493513,0.7726455276857549,0.4853747333796034,0.03362877666950226,2.9538922887642717e-08,9.385636890417198e-09,0.12729019613470882,3.5018695702622914e-05,0.00010926623951945658
9,0.5280648801304683,0.821986581212773,0.7733838144817795,0.4831839393884903,0.033918220278186105,2.5902290316407118e-08,9.287002646661392e-09,0.17118436938229328,3.1805492416954927e-05,0.00014751479936118508
10,0.526622308448039,0.8229334144636054,0.7737056318031236,0.48121678670744744,0.034314500323186316,2.3302776831871668e-08,9.512301692525101e-09,0.22286350505116084,3.211425039258605e-05,0.00020188870886765167
11,0.5253862393384194,0.8238973167969297,0.7739138665404638,0.47966201977598494,0.03455506063376864,2.128724181752091e-08,9.605293429890436e-09,0.2843582287508373,3.05488745624416e-05,0.00026406672986922786
12,0.5246689743683971,0.8242175991204991,0.7743114055844771,0.4788301880684822,0.03464118973352015,1.946525694798192e-08,1.0313876517348273e-08,0.35672338064371917,3.207965501180373e-05,0.00034480833058599575
13,0.5239632501990655,0.8249321515782907,0.7746710837671557,0.47779087571514745,0.03489281403987358,1.734133290532021e-08,1.091351916390442e-08,0.4393788007243226,3.3280344889400716e-05,0.0004287784660543063
14,0.5227306560020054,0.8246827410679844,0.7746332229058212,0.47639061088328644,0.035018842473315694,1.5750090252590202e-08,1.2177545434705895e-08,0.5353241474367678,3.605615937847991e-05,0.0005255783242622177
15,0.5219107350272022,0.8253210614410366,0.7748982489351632,0.475354778691097,0.03518125182017684,1.4552913624742936e-08,1.272566532292139e-08,0.6451612779249748,3.968557714510249e-05,0.0006364278645681528
16,0.5215734838897527,0.8261533965527548,0.7751064836725036,0.47498333648661345,0.03520606415501485,1.3426614118862376e-08,1.4831024869989203e-08,0.7715771886675308,4.6672466154973336e-05,0.0007650111157696907
