epoch,train_loss,valid_auc,valid_acc,train_l_sup,train_l_ref,train_l_init,train_l_rate,train_l_rasch,train_l_gap,train_l_student
1,0.5912109416409662,0.7621302951387052,0.7407098911500236,0.5885105182945728,0.027003545275268454,4.0807220230216457e-07,1.4665205783979196e-07,0.0013285297118272865,1.2874357043409408e-09,1.2778804727349897e-09
2,0.5390584694432008,0.7888555448556966,0.7614955040227165,0.5359884495592628,0.030699134804308414,4.0975990952201706e-07,1.4619687749295332e-07,0.0050419725557731,1.8538801024684897e-05,1.5421018133565667e-05
3,0.5152321999030596,0.8077404947102034,0.7681211547562707,0.5116142369668476,0.03617784637026489,4.1330005317572393e-07,1.443313715764192e-07,0.012147191157661533,5.2804411078947545e-05,4.565403628475906e-05
4,0.4975903880117543,0.8150896292828371,0.7709228584950307,0.49330765594109455,0.04282417427748442,4.1812878028541635e-07,1.435181414233576e-07,0.025577378100327525,0.00013563971333496738,0.00012578280673854655
5,0.48939089645350875,0.8183831621397909,0.7733080927591103,0.48476163321548066,0.046287473291158676,4.1980802210323767e-07,1.4353580946894086e-07,0.04534950969779553,0.00030575355541865673,0.0002940418154745809
6,0.4828507981551971,0.820068413537799,0.7737245622337908,0.4780668955750862,0.04783143211777011,4.206689671752131e-07,1.4397921758395287e-07,0.06913362574899413,0.0005843146218467155,0.00056465226043656
7,0.47900084991380515,0.821984106211561,0.7741410317084714,0.4741249978269162,0.04874798019106189,4.202934810899558e-07,1.4417436501081214e-07,0.09782690223073587,0.000988526320422049,0.0009390096171652355
8,0.47664218575018164,0.8232590011486651,0.7738570752484619,0.47168263522785003,0.04958134897363683,4.190116457136258e-07,1.444665109920169e-07,0.13294725546923777,0.001523666842331295,0.0014428262469058002
9,0.4738397416790195,0.824433440802721,0.77450070989115,0.4688501373490502,0.04987758429100116,4.192456896696525e-07,1.4481383786575543e-07,0.17468512954656035,0.0021845284069665163,0.0020711070246761665
10,0.47229267099432687,0.8253996346580075,0.7743114055844771,0.4672409329542082,0.05049400574838122,4.1910973993563445e-07,1.4466892804415004e-07,0.22229517876015356,0.0029860065442335326,0.0028188294563733507
11,0.47094171061416396,0.826265816572811,0.7748414576431614,0.4658502876003436,0.0508851173799485,4.185041154255457e-07,1.447928763118971e-07,0.2778828138834797,0.003905485937745349,0.0036975900887531075
12,0.4696348567600958,0.826971212392329,0.7755986748698533,0.46451652860222165,0.051147513867666326,4.188698242879496e-07,1.445682175988411e-07,0.34242819831706583,0.0049238381507166196,0.004680418670128954
13,0.4680914586711247,0.8279316002711801,0.7766966398485565,0.46291837352062304,0.051687613517666854,4.1881576667336905e-07,1.445149498541475e-07,0.41484203554379445,0.006094354598947878,0.005797765622749769
14,0.4666535400065139,0.8284667021479313,0.7774727875059158,0.4614445330895307,0.05203820175180832,4.17963801625632e-07,1.4452561868089807e-07,0.498651144017155,0.007368510348896962,0.0070191665084469905
15,0.4653427220131372,0.8290323576508447,0.7771888310459063,0.4600959211469206,0.052405982821558915,4.179716635725539e-07,1.4464189387519755e-07,0.5974619089004894,0.008778745715972036,0.008380573621252552
16,0.4643578805010276,0.829654752339992,0.778248935163275,0.45909010333543465,0.05260399954083065,4.184206673295527e-07,1.4464929875713994e-07,0.7118692172225565,0.010315726346258694,0.009897189568922235
17,0.4636599388341181,0.8302267666194844,0.7780217699952674,0.4583553199238697,0.05295920007241269,4.182144892169815e-07,1.445908955161641e-07,0.8407718512850503,0.011979552640696056,0.011502719101069184
18,0.4625785937979237,0.830835197199025,0.7782678655939422,0.4572581173280385,0.05310298968106508,4.1861415172848374e-07,1.44123823436252e-07,0.9851591909925143,0.013761391654649438,0.013194103701001344
19,0.46118051409977756,0.8313342284726836,0.7788925698059631,0.4558069453590643,0.05361731878171364,4.19189366993047e-07,1.4408593970910388e-07,1.147364527375127,0.015668031063493498,0.015009914452093653
20,0.4597291319162648,0.8316012159801437,0.7790818741126361,0.4543208386795688,0.053945807507261634,4.1978258277352527e-07,1.4390405588356233e-07,1.331033466849476,0.017665002820043203,0.016903208753016468
21,0.45890200986255336,0.8319999817497207,0.7794794131566493,0.45345984746885465,0.054263300728052855,4.1949430269297554e-07,1.4383439871457735e-07,1.5389198577031493,0.019780081803522382,0.018886096115844946
22,0.45777997175412466,0.8326746892866312,0.7803880738286796,0.45229321978887677,0.05468575190752745,4.1926449638385623e-07,1.437042929008817e-07,1.7690313138688605,0.022011157518136315,0.0209960305558828
23,0.4567283899214953,0.8335602388930702,0.7804637955513488,0.4512171265491978,0.05490522847200433,4.179898273636009e-07,1.434862873876851e-07,2.0207656659185886,0.0243701442280629,0.023293839893691864
24,0.455367480412282,0.833976413929843,0.7815049692380501,0.44980601808959014,0.0553793137272199,4.1695959793833385e-07,1.4360848784419273e-07,2.294903148586551,0.026849832516745664,0.025724950683070347
25,0.45382474797821076,0.8345383132266535,0.7810695693327023,0.44822736668592794,0.055708128260448575,4.16162815753939e-07,1.4373244741216908e-07,2.5936263212934136,0.029445681953802705,0.02816468122182414
26,0.452186451463944,0.8361898343663356,0.7812588736393753,0.44651990780080203,0.05636723851785064,4.1513029878670563e-07,1.4367312553567655e-07,2.9136409293860197,0.03211616043214841,0.0306277540512383
27,0.45021505225062036,0.8366045297571403,0.7811642214860388,0.44449712562257554,0.0568456786374251,4.141572186869276e-07,1.432302408971296e-07,3.262069445413848,0.03499334336568912,0.03323073030333035
28,0.44865157596418287,0.8373149574754002,0.7822432560340747,0.4428780519231121,0.057364549643049635,4.131919288190062e-07,1.4292282922191205e-07,3.627237676332394,0.03802495152922347,0.036074485251447186
29,0.4449527466566399,0.8390491623972227,0.7830004732607667,0.4390587799597532,0.05853078436727325,4.1180510844713744e-07,1.4298972342874077e-07,4.003174219901363,0.04117413534549996,0.03891836930900657
30,0.44195602056299416,0.8395828161265894,0.7804448651206815,0.435945322720995,0.05965944565832615,4.092479176369432e-07,1.4348340187667554e-07,4.383440562834342,0.044382817267129816,0.041964622195033975
31,0.4410699151722473,0.8408820539566202,0.780861334595362,0.4350039317174039,0.06017527193762362,4.0819707228543436e-07,1.4331286351413504e-07,4.747345509007573,0.04765798890730366,0.04509793575077007
32,0.4372899034562781,0.8406239333004638,0.7797444391859915,0.4311104785145943,0.06127435675201317,4.091493354681766e-07,1.429510539485271e-07,5.094490534315507,0.05086188655695878,0.04804071104930093
33,0.4351134680884959,0.8419941516138716,0.7829436819687647,0.4288160349758237,0.06242081243544817,4.095873973298802e-07,1.4293625998494584e-07,5.424268036459883,0.05424981723384311,0.05113353562774137
34,0.4310926287496745,0.8422271741985576,0.7832276384287743,0.42467955600789514,0.06354580361706515,4.090104012886165e-07,1.4277217185285989e-07,5.731660418212414,0.057795954072692744,0.054256151003452636
35,0.4285692780612869,0.8420222515003657,0.7834737340274491,0.42204937408563875,0.06458522464769582,4.075002581442952e-07,1.428594267026977e-07,6.013889081776142,0.06135166803142056,0.057399498453984656
36,0.42543249411437145,0.8405873665946785,0.7832087079981069,0.4187912770124384,0.06577168436100085,4.069178355983346e-07,1.4272570632233995e-07,6.2737235731134815,0.06495189785103624,0.06068516394589096
37,0.42316323634488123,0.842001514407805,0.7816753431140558,0.41643890059057975,0.06657819023045401,4.0578234781425104e-07,1.4295580786839185e-07,6.513513058423996,0.0686174204844671,0.06404495113141213
38,0.4211256618945181,0.8408974047913731,0.7801230477993374,0.41432950304951427,0.06727442106542487,4.050451711013392e-07,1.4319484936425965e-07,6.726891630018751,0.07210617478510055,0.06718216516310349
39,0.4185481843742698,0.8391357189302255,0.7721154756270705,0.411647160046058,0.06830232970726986,4.030969856741425e-07,1.4310817386015955e-07,6.927634111295144,0.07563088869210333,0.070399740516829
