epoch,train_loss,valid_auc,valid_acc,train_l_sup,train_l_ref,train_l_init,train_l_rate,train_l_rasch,train_l_gap,train_l_student
1,0.9430390415890331,0.5289035631640181,0.6814814814814815,0.7255086036477497,0.11924738436937332,0.11508440873537978,0.15313199124008597,0.0,0.0,0.0
2,0.8808792012517903,0.5542976590766713,0.7735449735449735,0.6782652832583861,0.09490089118480682,0.115074850556905,0.15310448177363048,0.00011369075946277007,5.695459321941598e-07,5.696376206287823e-07
3,0.8370518039450787,0.5722796834447754,0.7735449735449735,0.6462692247087317,0.07559728622436523,0.11506483742988725,0.1530764220649258,0.0003903383039869368,2.09664972317114e-06,2.2177396203915123e-06
4,0.7993306355798553,0.5780105347942263,0.7735449735449735,0.618133734888472,0.05996447056531906,0.11505446662650318,0.15304781919645669,0.0006458773277699947,4.6516142901964486e-06,4.903355147689581e-06
5,0.7757357607050425,0.5870718641727501,0.7735449735449735,0.6015907238127819,0.0484733060002327,0.11504372856521017,0.1530187570010704,0.000651913636829704,8.159951903508045e-06,8.676071956870146e-06
6,0.7557322297291736,0.6095605814592736,0.7735449735449735,0.5867052232984625,0.04014308750629425,0.11503270997760827,0.15298935313952683,0.0006639421917498112,1.2624137525563128e-05,1.353054540231824e-05
7,0.7410507239273894,0.624621246020686,0.7735449735449735,0.5761440896288261,0.03344379737973213,0.11502142542284459,0.1529596654406478,0.0007389337988570333,1.8045539036393166e-05,1.9417742805671878e-05
8,0.7344025680770496,0.6343665699272537,0.7735449735449735,0.5715553122052478,0.030113136395812035,0.1150098836841026,0.15292976926216573,0.0008349791751243174,2.4300123186549172e-05,2.6394480300950818e-05
9,0.7333756353840635,0.6439265121393047,0.7735449735449735,0.5717809225242038,0.02810143306851387,0.11499810995704939,0.15289969833779576,0.0009242056403309107,3.134455255349167e-05,3.4485165087971836e-05
10,0.7333686972992602,0.6566667092831482,0.7735449735449735,0.5722188456804306,0.027409961447119713,0.1149861661862363,0.15286950530468965,0.0010359775042161345,3.915845081792213e-05,4.368352529127151e-05
11,0.7341797169272886,0.6700109950522265,0.7735449735449735,0.5731354124616086,0.02727322466671467,0.11497409340413231,0.15283921409334564,0.001191725954413414,4.764870027429424e-05,5.3988300351193175e-05
12,0.7363828373915879,0.6821694772236215,0.7735449735449735,0.5755709722180101,0.02692926861345768,0.11496192442821178,0.1528088494895438,0.001408419106155634,5.6757831771392375e-05,6.540733011206612e-05
13,0.7315758760409368,0.6926179730749069,0.7735449735449735,0.5707756753721526,0.026946237310767174,0.11494968229018569,0.1527784266476808,0.0016214681090787053,6.646005203947425e-05,7.796499994583428e-05
14,0.7287932076172968,0.7015962003145096,0.7735449735449735,0.5681576596127396,0.0267132967710495,0.1149373586391482,0.15274796232645652,0.0018522233003750443,7.679851114517078e-05,9.1668771347031e-05
15,0.7235003681392036,0.708937954664587,0.7735449735449735,0.5631554180306865,0.026274612173438072,0.11492497044207102,0.15271747560496435,0.002101739402860403,8.769780106376857e-05,0.00010648890747688711
16,0.7219035682429966,0.7123451423603565,0.7735449735449735,0.5615405785509717,0.0263404231518507,0.1149125023420901,0.1526869626312249,0.002364487387239933,9.929336374625564e-05,0.00012241819058544934
17,0.7173171164031498,0.7167527519592928,0.7735449735449735,0.5569230493557376,0.026427626609802246,0.11489996184391435,0.1526564370910976,0.0026622016448527575,0.00011154638195876032,0.0001394794089719653
18,0.7126778689419171,0.7183572624876944,0.7735449735449735,0.5517794297765226,0.027288388460874557,0.11488737158491785,0.15262588763135143,0.0029638931155204773,0.00012455219984985888,0.0001576873182784766
19,0.7120699637824894,0.7199521843077592,0.7735449735449735,0.5510639686726498,0.027500735595822334,0.11487470705800917,0.15259532212113458,0.003272831905633211,0.00013832238619215786,0.00017705658683553338
20,0.7116942478648551,0.721511947530588,0.7735449735449735,0.5497290309589776,0.029104992747306824,0.11486199376372536,0.15256473718608618,0.0035779806785285473,0.0001527152198832482,0.00019757133850362152
21,0.711894416098376,0.7233721569479781,0.7756613756613756,0.5492927212088552,0.030181879177689552,0.11484922662248317,0.15253412566419966,0.00390553823672235,0.00016768321802373976,0.0002192322863265872
22,0.7097794180734076,0.7251173018653234,0.7777777777777778,0.5468888983366569,0.030690643936395645,0.11483642871123093,0.15250350798076304,0.0042463019490242004,0.00018332028412260115,0.00024201816995628178
23,0.7090921513849198,0.7269519413938146,0.7735449735449735,0.5460778866483201,0.03092968463897705,0.11482358163398394,0.1524728783571897,0.004591897130012512,0.00019969517597928643,0.0002659665187820792
24,0.7052530395526384,0.7280003068386668,0.7724867724867724,0.5425001804793876,0.030539296567440033,0.11481071865063529,0.15244225782848744,0.004911607131361961,0.0002167312486562878,0.00029108853777870536
25,0.7039711291393486,0.7285884142833399,0.7735449735449735,0.5415336491282557,0.03006073459982872,0.11479782180972864,0.15241163981984332,0.005235115997493267,0.0002344235690543428,0.0003173715667799115
26,0.7023575305949064,0.7298733012005063,0.7735449735449735,0.540584313970829,0.02901201695203781,0.11478489981974382,0.15238103527457852,0.005598347168415785,0.00025268367608077824,0.0003448384231887758
27,0.6987784530303738,0.7319828170346601,0.7746031746031746,0.5372631758820526,0.028627371415495872,0.11477193621740643,0.15235044795408842,0.005988648161292076,0.0002716414164751768,0.0003734623023774475
28,0.6969725073844704,0.7345078435634196,0.7724867724867724,0.5361085631875195,0.027599841356277466,0.11475893160093578,0.15231988093076235,0.006409117020666599,0.0002913429052568972,0.00040323977009393275
29,0.6970048615235593,0.7371159722311007,0.7693121693121693,0.5363057010274039,0.027367468923330307,0.11474588591374177,0.1522893605059045,0.006861391477286816,0.00031160603975877166,0.00043417687993496656
30,0.6935222302206199,0.7403537594129153,0.7746031746031746,0.5329862090344739,0.027137774974107742,0.1147328055026862,0.15225889597979753,0.007380676455795765,0.0003324816352687776,0.00046617246698588133
31,0.6909861223219311,0.7438472454837183,0.7756613756613756,0.5305280232972461,0.02704734355211258,0.11471967203463242,0.15222850487148445,0.007878273725509644,0.00035417426261119545,0.0004992327885702252
32,0.6874576321106561,0.7468197450682076,0.7767195767195767,0.5269041750578007,0.02724010869860649,0.11470647575416884,0.15219818505239496,0.008412887342274189,0.00037647102726623416,0.0005333679728209972
