epoch,train_loss,valid_auc,valid_acc,train_l_sup,train_l_ref,train_l_init,train_l_rate,train_l_rasch,train_l_gap,train_l_student
1,0.5388849068386604,0.7071867021833178,0.7472363122940961,0.5388849068386604,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5231287956574333,0.7129645227131504,0.7512942529937772,0.5231287944204104,0.0,0.0,0.0,0.0,6.23106637129623e-05,6.13916824525069e-05
3,0.5193842905569399,0.7166647909202651,0.7538566124562046,0.5193842864422519,0.0,0.0,0.0,0.0,0.00017499356394852695,0.00023647524707676463
4,0.5170979917886807,0.7194808219101608,0.754975683731632,0.5170979820701787,0.0,0.0,0.0,0.0,0.0003575063628838842,0.0006143438789302691
5,0.5152678368381218,0.7206217672754682,0.756722271610103,0.5152678172698539,0.0,0.0,0.0,0.0,0.0006367720767900066,0.0013200547741641794
6,0.5136689537919693,0.7223219341373106,0.7572765779427914,0.5136689187462729,0.0,0.0,0.0,0.0,0.001084092546271246,0.0024204772055351274
7,0.5120954216521894,0.7230941123979194,0.7571196987920306,0.5120953636509975,0.0,0.0,0.0,0.0,0.0018258565449382571,0.00397426274970425
8,0.5108208637848394,0.7246443526706697,0.7571092401819798,0.5108207748726776,0.0,0.0,0.0,0.0,0.002915842897154538,0.005975373499754105
9,0.5087699575696464,0.724386009542774,0.7570569471317262,0.5087698289909007,0.0,0.0,0.0,0.0,0.004434955949545838,0.008422918915273744
10,0.5061710496784028,0.7238311604935515,0.7571719918422841,0.5061708719673317,0.0,0.0,0.0,0.0,0.0063929260895268895,0.011378181410193639
11,0.5026007064712037,0.7137837638288702,0.7551116456622915,0.5026004706657412,0.0,0.0,0.0,0.0,0.008701229683356359,0.014879317137743592
12,0.4994431312611615,0.70422303832841,0.7539821157768133,0.49944283582168675,0.0,0.0,0.0,0.0,0.011112779302914676,0.018431168955009382
13,0.4974799738863078,0.7079527682361013,0.7527479997908278,0.49747962420446806,0.0,0.0,0.0,0.0,0.0134467517652267,0.021521433057281873
14,0.4993818404211422,0.6877574444043166,0.7507399466610888,0.49938144035950505,0.0,0.0,0.0,0.0,0.015763259029297746,0.02424290574838922
15,0.4971991277372836,0.6894275695499826,0.7511269152329655,0.4971986788653653,0.0,0.0,0.0,0.0,0.018228574129630273,0.02665861889985727
16,0.49522504257184496,0.6794067428101757,0.7481985044187628,0.49522454630112117,0.0,0.0,0.0,0.0,0.020674085308564828,0.02895298837622824
17,0.49226624457007667,0.6762492933385953,0.7454269727553208,0.4922657024834158,0.0,0.0,0.0,0.0,0.02313206550928666,0.031076601812214662
18,0.49006006037274746,0.6693839429866996,0.7403650054907702,0.4900594741531714,0.0,0.0,0.0,0.0,0.02557275872156759,0.033049200579874816
