epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7277,0.7242,0.727675919207635,0.7277,1
2,0.7651,0.7438,0.6626350456737239,0.7651,2
3,0.7869,0.7601,0.6346815769294353,0.7869,3
4,0.7987,0.7672,0.610837758033677,0.7987,4
5,0.8046,0.7696,0.5941074226406695,0.8046,5
6,0.808,0.7712,0.5828217955493328,0.808,6
7,0.8106,0.7726,0.5731338072552604,0.8106,7
8,0.8128,0.7735,0.5635192988581657,0.8128,8
9,0.8144,0.7739,0.5564632204265111,0.8144,9
10,0.8157,0.7747,0.5516093367568532,0.8157,10
11,0.817,0.7756,0.5481777773495663,0.817,11
12,0.817,0.7756,0.5451673729195537,0.817,11
13,0.819,0.7763,0.5436424720342709,0.819,13
14,0.819,0.7763,0.5412623978622427,0.819,13
15,0.8207,0.7771,0.539774172741318,0.8207,15
16,0.8207,0.7771,0.5377463059803521,0.8207,15
17,0.8223,0.7782,0.5357580571138798,0.8223,17
18,0.8223,0.7782,0.5338283692564492,0.8223,17
19,0.8242,0.7789,0.5320148779151487,0.8242,19
20,0.8242,0.7789,0.5305856681938987,0.8242,19
21,0.8261,0.7803,0.5288012507045083,0.8261,21
22,0.8271,0.7807,0.5270641853413836,0.8271,22
23,0.8284,0.782,0.5257505690770345,0.8284,23
24,0.8298,0.783,0.5230678451915832,0.8298,24
25,0.8312,0.7835,0.5211917481477385,0.8312,25
26,0.8327,0.7848,0.5183004099581436,0.8327,26
27,0.8338,0.785,0.5154844742910535,0.8338,27
28,0.8354,0.7858,0.5130181215627598,0.8354,28
29,0.8354,0.7858,0.5106486607063376,0.8354,28
30,0.8374,0.7868,0.5078539344973875,0.8374,30
31,0.8388,0.7877,0.50533211276092,0.8388,31
32,0.8388,0.7877,0.5031619272046922,0.8388,31
33,0.8405,0.7884,0.5007346393589389,0.8405,33
34,0.8405,0.7884,0.49844653666541344,0.8405,33
35,0.8418,0.7899,0.49552360105192755,0.8418,35
36,0.8418,0.7899,0.4940012727555771,0.8418,35
37,0.8431,0.7911,0.4917651370731758,0.8431,37
38,0.8431,0.7911,0.48961060665728967,0.8431,37
39,0.8431,0.7911,0.48750944239666233,0.8431,37
40,0.8444,0.791,0.48526189549782534,0.8444,40
41,0.8444,0.791,0.4836165942398175,0.8444,40
42,0.8444,0.791,0.4815459483851522,0.8444,40
43,0.8444,0.791,0.4802091455328043,0.8444,40
44,0.8444,0.791,0.47758196340108494,0.8444,40
45,0.8444,0.791,0.476416805341116,0.8444,40
46,0.8444,0.791,0.4753206249564727,0.8444,40
47,0.8444,0.791,0.4738106520010591,0.8444,40
48,0.8444,0.791,0.47220973490619045,0.8444,40
49,0.8444,0.791,0.4700760524298771,0.8444,40
50,0.8444,0.791,0.469869180083963,0.8444,40
