epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7196,0.7093,1.0289924235661474,0.7196,1
2,0.7421,0.721,0.9706812277631368,0.7421,2
3,0.774,0.7425,0.9432038147446767,0.774,3
4,0.7913,0.7537,0.9158353210809947,0.7913,4
5,0.8016,0.7609,0.8943823418249863,0.8016,5
6,0.8079,0.7649,0.8772302515478767,0.8079,6
7,0.8118,0.7663,0.8633753092014252,0.8118,7
8,0.8144,0.7682,0.8512734467345714,0.8144,8
9,0.8165,0.769,0.8406075409162019,0.8165,9
10,0.8181,0.7698,0.8320179435791258,0.8181,10
11,0.8195,0.7705,0.825087490423515,0.8195,11
12,0.8208,0.7717,0.8203585239517753,0.8208,12
13,0.8221,0.7727,0.8172123671311682,0.8221,13
14,0.8221,0.7727,0.8136272980750764,0.8221,13
15,0.824,0.7738,0.8105787644156068,0.824,15
16,0.824,0.7738,0.8078365532296868,0.824,15
17,0.8257,0.7743,0.8050979964329587,0.8257,17
18,0.8257,0.7743,0.8040667540161265,0.8257,17
19,0.8273,0.7754,0.8014178176907917,0.8273,19
20,0.8273,0.7754,0.7989903736857075,0.8273,19
21,0.8288,0.7762,0.7976203155013315,0.8288,21
22,0.8299,0.7769,0.7950665527721297,0.8299,22
23,0.8299,0.7769,0.7921923939326372,0.8299,22
24,0.832,0.7779,0.790230486851324,0.832,24
25,0.8333,0.7781,0.7884218784068574,0.8333,25
26,0.8346,0.7796,0.7864998199909262,0.8346,26
27,0.8359,0.78,0.7841828571099851,0.8359,27
28,0.8373,0.7812,0.7817446668818931,0.8373,28
29,0.8388,0.7825,0.7792271886921899,0.8388,29
30,0.84,0.7829,0.7770395902512665,0.84,30
31,0.8411,0.7832,0.7744902036453921,0.8411,31
32,0.8423,0.784,0.7725577468496665,0.8423,32
33,0.8433,0.7842,0.7699938593722644,0.8433,33
34,0.8433,0.7842,0.7683164119849524,0.8433,33
35,0.8448,0.785,0.7659077187913614,0.8448,35
36,0.8448,0.785,0.7641357798077205,0.8448,35
37,0.8463,0.7861,0.7623443408814906,0.8463,37
38,0.8463,0.7861,0.7605831874287335,0.8463,37
39,0.8475,0.7869,0.758413522664473,0.8475,39
40,0.8475,0.7869,0.757202068083684,0.8475,39
41,0.8488,0.7874,0.7555400025628858,0.8488,41
42,0.8488,0.7874,0.7532821036654186,0.8488,41
43,0.8488,0.7874,0.7514291896613928,0.8488,41
44,0.8501,0.7882,0.7501811227583048,0.8501,44
45,0.8501,0.7882,0.7480949535813427,0.8501,44
46,0.8501,0.7882,0.7466182926693309,0.8501,44
47,0.8514,0.7886,0.7447186776071534,0.8514,47
48,0.8514,0.7886,0.7425209743680011,0.8514,47
49,0.8514,0.7886,0.741092156241797,0.8514,47
50,0.8525,0.79,0.7393655376919829,0.8525,50
51,0.8525,0.79,0.7372784669939492,0.8525,50
