epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7381,0.7339,0.6020929942978694,0.7381,1
2,0.7686,0.7464,0.5498975105018802,0.7686,2
3,0.7888,0.7608,0.5297564141601612,0.7888,3
4,0.8002,0.7669,0.5124963754004885,0.8002,4
5,0.8055,0.77,0.49969182354656905,0.8055,5
6,0.8096,0.7721,0.49092736570814527,0.8096,6
7,0.812,0.7733,0.4845432146677401,0.812,7
8,0.8137,0.7742,0.480694068132506,0.8137,8
9,0.8153,0.7745,0.4775421041429199,0.8153,9
10,0.8169,0.7754,0.4745508869741274,0.8169,10
11,0.818,0.7756,0.472646725409058,0.818,11
12,0.819,0.7761,0.4706641135638059,0.819,12
13,0.8202,0.7766,0.46866073143233683,0.8202,13
14,0.8202,0.7766,0.4679193620067859,0.8202,13
15,0.8217,0.7776,0.4661085106218942,0.8217,15
16,0.8229,0.7785,0.4647505556909922,0.8229,16
17,0.8239,0.7789,0.4631212406968048,0.8239,17
18,0.8239,0.7789,0.46173934953727197,0.8239,17
19,0.826,0.7802,0.46052573701254473,0.826,19
20,0.8271,0.7802,0.4587589385150913,0.8271,20
21,0.8286,0.7807,0.4575820529853188,0.8286,21
22,0.8298,0.7814,0.4558580710995034,0.8298,22
23,0.8316,0.7828,0.4538797392125182,0.8316,23
24,0.8334,0.783,0.45158855357036304,0.8334,24
25,0.8347,0.7835,0.4496071226601808,0.8347,25
26,0.8361,0.7844,0.44749492534899815,0.8361,26
27,0.8374,0.785,0.44490472787578617,0.8374,27
28,0.8384,0.7862,0.44306211428649744,0.8384,28
29,0.8384,0.7862,0.441149127465867,0.8384,28
30,0.8407,0.7864,0.4393187593958615,0.8407,30
31,0.8407,0.7864,0.4375293153783579,0.8407,30
32,0.8423,0.7877,0.4353245762787477,0.8423,32
33,0.8423,0.7877,0.4331838785908675,0.8423,32
34,0.8439,0.7893,0.4317218595260965,0.8439,34
35,0.8439,0.7893,0.43011829374843824,0.8439,34
36,0.8456,0.7903,0.427980773229984,0.8456,36
37,0.8456,0.7903,0.4258452111094059,0.8456,36
38,0.847,0.7919,0.4235574640747832,0.847,38
39,0.847,0.7919,0.42154480488173846,0.847,38
40,0.8481,0.7923,0.41942649270478916,0.8481,40
41,0.8481,0.7923,0.4171756685340195,0.8481,40
42,0.8491,0.7931,0.41571110281975454,0.8491,42
43,0.8491,0.7931,0.4133280363658588,0.8491,42
44,0.8491,0.7931,0.4109751492454905,0.8491,42
45,0.8491,0.7931,0.40936620905701665,0.8491,42
46,0.8503,0.7929,0.4075319144618764,0.8503,46
47,0.8503,0.7929,0.4061511256267671,0.8503,46
48,0.8503,0.7929,0.4047723936845081,0.8503,46
49,0.8503,0.7929,0.4031805298528974,0.8503,46
50,0.8503,0.7929,0.40094709446279136,0.8503,46
51,0.8503,0.7929,0.40015783189339815,0.8503,46
52,0.8503,0.7929,0.39884006355073837,0.8503,46
53,0.8503,0.7929,0.3967787378530694,0.8503,46
54,0.8503,0.7929,0.3959230047803973,0.8503,46
55,0.8503,0.7929,0.39518920460941986,0.8503,46
56,0.8503,0.7929,0.3935087796613175,0.8503,46
