epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7155,0.7062,0.6181578849027626,0.7155,1
2,0.7531,0.7244,0.565510996633957,0.7531,2
3,0.7756,0.7414,0.5399042870359694,0.7756,3
4,0.7892,0.7523,0.5233633907240566,0.7892,4
5,0.7975,0.7555,0.5086676321317298,0.7975,5
6,0.803,0.7583,0.4975499978372379,0.803,6
7,0.8067,0.7598,0.49019906376926287,0.8067,7
8,0.8093,0.7611,0.48450476055287317,0.8093,8
9,0.8116,0.7623,0.4806098689613391,0.8116,9
10,0.8135,0.7633,0.47724396988349777,0.8135,10
11,0.8146,0.7637,0.4746785096877841,0.8146,11
12,0.8162,0.7644,0.4720326900187562,0.8162,12
13,0.8175,0.7651,0.4701180204079976,0.8175,13
14,0.8187,0.7656,0.46840375173980986,0.8187,14
15,0.8201,0.7658,0.4664355007237034,0.8201,15
16,0.8214,0.7669,0.4649283992946988,0.8214,16
17,0.8226,0.7677,0.4630141539344121,0.8226,17
18,0.8239,0.7687,0.4612302784415383,0.8239,18
19,0.8252,0.7688,0.45962721695399383,0.8252,19
20,0.8266,0.7691,0.4570578488253205,0.8266,20
21,0.828,0.77,0.4549454510462452,0.828,21
22,0.8293,0.7708,0.4530243222931028,0.8293,22
23,0.8306,0.7717,0.4505213937547008,0.8306,23
24,0.8319,0.7729,0.44863086431822946,0.8319,24
25,0.833,0.774,0.4466397751212628,0.833,25
26,0.833,0.774,0.44461418372885436,0.833,25
27,0.8348,0.7753,0.44238247638639283,0.8348,27
28,0.8348,0.7753,0.44048496826170663,0.8348,27
29,0.8364,0.776,0.4380310956802285,0.8364,29
30,0.8364,0.776,0.43641024668499767,0.8364,29
31,0.838,0.7771,0.43512215744544486,0.838,31
32,0.838,0.7771,0.4325055983242692,0.838,31
33,0.8397,0.7783,0.43157692472253517,0.8397,33
34,0.8397,0.7783,0.42976733082976787,0.8397,33
35,0.841,0.7789,0.428118542062412,0.841,35
36,0.841,0.7789,0.4263658071678611,0.841,35
37,0.8422,0.78,0.42453349439359345,0.8422,37
38,0.8422,0.78,0.42284926114223986,0.8422,37
39,0.8433,0.781,0.4207307435785009,0.8433,39
40,0.8433,0.781,0.4194056773164361,0.8433,39
41,0.8446,0.7817,0.4175806591642575,0.8446,41
42,0.8446,0.7817,0.4155202173363704,0.8446,41
43,0.8457,0.7822,0.41391627817148974,0.8457,43
44,0.8457,0.7822,0.4121852598728233,0.8457,43
45,0.8457,0.7822,0.41067694558224116,0.8457,43
46,0.8468,0.7836,0.4092205196658429,0.8468,46
47,0.8468,0.7836,0.40629863214848466,0.8468,46
48,0.8468,0.7836,0.40509072437126714,0.8468,46
49,0.8478,0.7842,0.40413113387382377,0.8478,49
50,0.8478,0.7842,0.402249518348434,0.8478,49
51,0.8478,0.7842,0.40122465215641895,0.8478,49
52,0.8478,0.7842,0.39901353928024125,0.8478,49
53,0.8478,0.7842,0.39747769526572435,0.8478,49
54,0.8478,0.7842,0.3967749045314257,0.8478,49
55,0.8478,0.7842,0.3948866365330743,0.8478,49
56,0.8478,0.7842,0.3936547081465913,0.8478,49
57,0.8478,0.7842,0.39294911153472034,0.8478,49
58,0.8478,0.7842,0.3918375453922549,0.8478,49
59,0.8478,0.7842,0.3906160370541934,0.8478,49
