epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7049,0.7045,1.0633565573371935,0.7049,1
2,0.7368,0.7222,0.9753378516820228,0.7368,2
3,0.7567,0.7349,0.9426632554720173,0.7567,3
4,0.7712,0.7463,0.9133591493421026,0.7712,4
5,0.7795,0.7492,0.8976644565199866,0.7795,5
6,0.7862,0.7528,0.8794745777648861,0.7862,6
7,0.7895,0.7535,0.865462806813044,0.7895,7
8,0.7928,0.7556,0.8545379859542765,0.7928,8
9,0.794,0.7562,0.842547864124762,0.794,9
10,0.7958,0.7578,0.8340174713387821,0.7958,10
11,0.7978,0.7585,0.8288664890114793,0.7978,11
12,0.7992,0.7603,0.8211296921706054,0.7992,12
13,0.7992,0.7603,0.8196047339001441,0.7992,12
14,0.8006,0.7614,0.8157375312724247,0.8006,14
15,0.8019,0.7613,0.8131137329305277,0.8019,15
16,0.8019,0.7613,0.812031772104703,0.8019,15
17,0.8036,0.7616,0.8108025198308498,0.8036,17
18,0.8036,0.7616,0.8077277063604581,0.8036,17
19,0.8051,0.7638,0.8020429295070839,0.8051,19
20,0.8051,0.7638,0.7998876969185625,0.8051,19
21,0.8067,0.7635,0.8007451384508956,0.8067,21
22,0.8079,0.7641,0.795841459883419,0.8079,22
23,0.8079,0.7641,0.7968376028483637,0.8079,22
24,0.8097,0.7658,0.7958408437156593,0.8097,24
25,0.8108,0.7649,0.7891098492080446,0.8108,25
26,0.812,0.7666,0.7903443433969796,0.812,26
27,0.8132,0.768,0.7879220176750081,0.8132,27
28,0.8132,0.768,0.7858258264197672,0.8132,27
29,0.8154,0.7685,0.7833280253965375,0.8154,29
30,0.8154,0.7685,0.7802726471665115,0.8154,29
31,0.8187,0.7713,0.7782677036611951,0.8187,31
32,0.8187,0.7713,0.7742380267054622,0.8187,31
33,0.8207,0.7716,0.7715417553837732,0.8207,33
34,0.8219,0.772,0.7685085773477364,0.8219,34
35,0.8219,0.772,0.7664930872366016,0.8219,34
36,0.8239,0.7726,0.7624122299206332,0.8239,36
37,0.8239,0.7726,0.762596758580863,0.8239,36
38,0.8239,0.7726,0.763245878924256,0.8239,36
39,0.8255,0.7741,0.7574061707545744,0.8255,39
40,0.8255,0.7741,0.7569175770361888,0.8255,39
41,0.8265,0.7743,0.7562350587537657,0.8265,41
42,0.8265,0.7743,0.7522770436133657,0.8265,41
43,0.8265,0.7743,0.7540468216636699,0.8265,41
