epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7186,0.7032,1.0631314967665624,0.7186,1
2,0.7491,0.723,0.9782629013501594,0.7491,2
3,0.7706,0.7404,0.9442438265208556,0.7706,3
4,0.7863,0.7524,0.9172916763896399,0.7863,4
5,0.7976,0.759,0.9011588956292961,0.7976,5
6,0.8041,0.7625,0.8841536506213897,0.8041,6
7,0.8083,0.7621,0.8720561607650524,0.8083,7
8,0.811,0.7654,0.8603707576491123,0.811,8
9,0.8131,0.768,0.849877786200457,0.8131,9
10,0.8151,0.7692,0.8421381432658902,0.8151,10
11,0.8162,0.7671,0.831815764063959,0.8162,11
12,0.8176,0.7714,0.8275262633905762,0.8176,12
13,0.819,0.7719,0.8263684083430834,0.819,13
14,0.819,0.7719,0.8213617068547027,0.819,13
15,0.8209,0.7724,0.8190293624852779,0.8209,15
16,0.8209,0.7724,0.8181506575676037,0.8209,15
17,0.8225,0.7737,0.8145432491781333,0.8225,17
18,0.8225,0.7737,0.8152917843543747,0.8225,17
19,0.8241,0.7739,0.8101476628883556,0.8241,19
20,0.8241,0.7739,0.8074554243195623,0.8241,19
21,0.826,0.7745,0.8063665409431294,0.826,21
22,0.826,0.7745,0.8018108826735508,0.826,21
23,0.8275,0.7753,0.8035100410679002,0.8275,23
24,0.829,0.7766,0.8028511401988004,0.829,24
25,0.8301,0.7763,0.7941280995675827,0.8301,25
26,0.8311,0.7782,0.7968300490484692,0.8311,26
27,0.8323,0.7784,0.790306385381248,0.8323,27
28,0.8323,0.7784,0.7938840635421713,0.8323,27
29,0.8345,0.7791,0.7907936594299588,0.8345,29
30,0.8365,0.7804,0.7873734732297698,0.8365,30
31,0.8378,0.7807,0.7855856324681266,0.8378,31
32,0.8388,0.7818,0.7807702925725998,0.8388,32
33,0.8403,0.7825,0.7802022066142661,0.8403,33
34,0.842,0.7831,0.7762188891856816,0.842,34
35,0.842,0.7831,0.7742132149925638,0.842,34
36,0.8436,0.7832,0.7708383912704494,0.8436,36
37,0.8451,0.7849,0.769774073104002,0.8451,37
38,0.8451,0.7849,0.7691115036928791,0.8451,37
39,0.8465,0.7852,0.7650463700697219,0.8465,39
