epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.5116,0.6642,0.8156812146227337,0.5116,1
2,0.5116,0.6642,0.7752625583292014,0.5116,1
3,0.5116,0.6642,0.7574669372073618,0.5116,1
4,0.5116,0.6642,0.7412280826921779,0.5116,1
5,0.5116,0.6642,0.7331368837991602,0.5116,1
6,0.5116,0.6642,0.7235129818391745,0.5116,1
7,0.5116,0.6642,0.7165374087310604,0.5116,1
8,0.5116,0.6642,0.7084668545248166,0.5116,1
9,0.5116,0.6642,0.7008054652960227,0.5116,1
10,0.5116,0.6642,0.6952557533873924,0.5116,1
11,0.5116,0.6642,0.6904008396631779,0.5116,1
