epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7113,0.7083,1.1007892335329807,0.7113,1
2,0.7442,0.7303,1.0015349349123455,0.7442,2
3,0.7661,0.7432,0.969935442441486,0.7661,3
4,0.783,0.7541,0.941395047365875,0.783,4
5,0.7932,0.76,0.9195209398401671,0.7932,5
6,0.7992,0.7621,0.9010236256461533,0.7992,6
7,0.8036,0.7684,0.885674825004756,0.8036,7
8,0.8057,0.7703,0.8725818733226636,0.8057,8
9,0.808,0.7708,0.86132192980364,0.808,9
10,0.8095,0.7709,0.8508542895711562,0.8095,10
11,0.8114,0.7719,0.8442144432386335,0.8114,11
12,0.8129,0.7731,0.8387552024668767,0.8129,12
13,0.8143,0.7725,0.833364182751805,0.8143,13
14,0.8153,0.7739,0.8303294093217861,0.8153,14
15,0.8164,0.774,0.8272239625361413,0.8164,15
16,0.8164,0.774,0.8232863846100698,0.8164,15
17,0.8175,0.775,0.82047725651097,0.8175,17
18,0.8189,0.7759,0.8172755751169669,0.8189,18
19,0.8189,0.7759,0.8157824876958409,0.8189,18
20,0.8206,0.777,0.811846458219759,0.8206,20
21,0.8206,0.777,0.8098490236123493,0.8206,20
22,0.8228,0.7786,0.8078865991227163,0.8228,22
23,0.8228,0.7786,0.8049382492920208,0.8228,22
24,0.8245,0.7785,0.8018523123722747,0.8245,24
25,0.826,0.7797,0.7995976487263714,0.826,25
26,0.8272,0.7793,0.7956086113058597,0.8272,26
27,0.8285,0.7807,0.7946061438447379,0.8285,27
28,0.8302,0.782,0.7908862453753117,0.8302,28
29,0.8319,0.7821,0.7881410758083238,0.8319,29
30,0.8319,0.7821,0.7861336674022211,0.8319,29
31,0.8349,0.7838,0.7830374120511326,0.8349,31
32,0.8349,0.7838,0.7800649353150988,0.8349,31
33,0.8364,0.7827,0.7775405528347661,0.8364,33
34,0.8364,0.7827,0.7756699538964238,0.8364,33
35,0.8385,0.7854,0.7730275616829849,0.8385,35
36,0.8385,0.7854,0.7709674749190499,0.8385,35
37,0.8385,0.7854,0.7695844763053243,0.8385,35
38,0.8399,0.7868,0.767751357185658,0.8399,38
39,0.8409,0.7864,0.7641652917837045,0.8409,39
40,0.8409,0.7864,0.7626047296909132,0.8409,39
41,0.8409,0.7864,0.7612508699713186,0.8409,39
42,0.8424,0.7866,0.7592068751881329,0.8424,42
43,0.8424,0.7866,0.7565987967490256,0.8424,42
44,0.8424,0.7866,0.7561502663986811,0.8424,42
45,0.8434,0.7893,0.7523245820448642,0.8434,45
46,0.8434,0.7893,0.7518328128150642,0.8434,45
47,0.8434,0.7893,0.7483746365172177,0.8434,45
48,0.8434,0.7893,0.7471999921924387,0.8434,45
49,0.8434,0.7893,0.7451773797901634,0.8434,45
50,0.8434,0.7893,0.7429621819434195,0.8434,45
51,0.8449,0.79,0.7423843899858378,0.8449,51
52,0.8449,0.79,0.7405550179894204,0.8449,51
53,0.8449,0.79,0.7382120764096729,0.8449,51
54,0.8449,0.79,0.7378853534514521,0.8449,51
55,0.8449,0.79,0.7352943854058455,0.8449,51
56,0.8449,0.79,0.7335348451256682,0.8449,51
57,0.8449,0.79,0.7324870584933885,0.8449,51
58,0.8449,0.79,0.7312995299343857,0.8449,51
59,0.8461,0.7903,0.7293322650780741,0.8461,59
60,0.8461,0.7903,0.7293393495648802,0.8461,59
61,0.8461,0.7903,0.7265929779157465,0.8461,59
62,0.8461,0.7903,0.7263609616465981,0.8461,59
63,0.8461,0.7903,0.7259941052198938,0.8461,59
64,0.8461,0.7903,0.7236553743024384,0.8461,59
65,0.8461,0.7903,0.7230789217249546,0.8461,59
66,0.8461,0.7903,0.7217169040814235,0.8461,59
67,0.8461,0.7903,0.7190467780593127,0.8461,59
68,0.8461,0.7903,0.7168631520340721,0.8461,59
69,0.8461,0.7903,0.717607001512792,0.8461,59
