epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.6529,0.6656,1.1235831725766932,0.6529,1
2,0.7138,0.7101,1.035744373133658,0.7138,2
3,0.7378,0.7245,0.9850201500254053,0.7378,3
4,0.7556,0.7344,0.9584237174244828,0.7556,4
5,0.7691,0.7408,0.9333797695884439,0.7691,5
6,0.7778,0.7481,0.9135702986678762,0.7778,6
7,0.783,0.7511,0.8994778682200387,0.783,7
8,0.7877,0.7543,0.8853200526660795,0.7877,8
9,0.7914,0.7561,0.8653957988698,0.7914,9
10,0.7949,0.7577,0.8600784250770889,0.7949,10
11,0.7972,0.7596,0.850907156094587,0.7972,11
12,0.7983,0.7595,0.8428294713435621,0.7983,12
13,0.7999,0.7606,0.8374699518090752,0.7999,13
14,0.8012,0.7612,0.8339020823727261,0.8012,14
15,0.8012,0.7612,0.8253452773448511,0.8012,14
16,0.8034,0.7624,0.8268964927791349,0.8034,16
17,0.8047,0.7633,0.823137348787633,0.8047,17
18,0.8047,0.7633,0.8164203843743856,0.8047,17
19,0.8057,0.7635,0.815483876213102,0.8057,19
20,0.8069,0.7635,0.8132966831914906,0.8069,20
21,0.8082,0.7653,0.81067538575852,0.8082,21
22,0.8082,0.7653,0.80717233159301,0.8082,21
23,0.8105,0.7655,0.8063532476341669,0.8105,23
24,0.8105,0.7655,0.8023860531115964,0.8105,23
25,0.8126,0.7672,0.8003986681604233,0.8126,25
26,0.8142,0.7678,0.795517525804608,0.8142,26
27,0.8142,0.7678,0.7952523199184429,0.8142,26
28,0.8162,0.7689,0.7872964074540191,0.8162,28
29,0.8162,0.7689,0.7884114634361299,0.8162,28
30,0.8181,0.7701,0.7875939666802942,0.8181,30
31,0.8196,0.7712,0.7829144443897827,0.8196,31
32,0.8196,0.7712,0.7816319533774557,0.8196,31
33,0.8211,0.7718,0.7792255636773572,0.8211,33
34,0.8211,0.7718,0.7707250634062145,0.8211,33
35,0.8229,0.7724,0.7752441473374816,0.8229,35
36,0.8229,0.7724,0.7715312939760001,0.8229,35
37,0.824,0.7732,0.7709279922833292,0.824,37
38,0.824,0.7732,0.7694573925971596,0.824,37
39,0.824,0.7732,0.7669053395628151,0.824,37
40,0.824,0.7732,0.7670370447921186,0.824,37
41,0.824,0.7732,0.7677501863893688,0.824,37
42,0.8258,0.7746,0.7607735544686632,0.8258,42
43,0.827,0.7741,0.7582916397062255,0.827,43
44,0.827,0.7741,0.7589352926949013,0.827,43
45,0.827,0.7741,0.7547451954187077,0.827,43
46,0.827,0.7741,0.754384031577186,0.827,43
47,0.827,0.7741,0.7525417517509082,0.827,43
48,0.828,0.7756,0.7503727104002311,0.828,48
49,0.828,0.7756,0.7533044805077411,0.828,48
50,0.828,0.7756,0.749939575426413,0.828,48
51,0.828,0.7756,0.7475095067352027,0.828,48
52,0.828,0.7756,0.7476369842337602,0.828,48
53,0.828,0.7756,0.7445513135046095,0.828,48
54,0.8292,0.7765,0.7461494540987008,0.8292,54
55,0.8292,0.7765,0.7432586834493753,0.8292,54
56,0.8292,0.7765,0.7399782871394831,0.8292,54
57,0.8292,0.7765,0.7366103633460049,0.8292,54
58,0.8292,0.7765,0.7394765053634423,0.8292,54
59,0.8292,0.7765,0.7355141000525709,0.8292,54
60,0.8292,0.7765,0.7344624177897529,0.8292,54
61,0.8292,0.7765,0.7324369021639473,0.8292,54
62,0.8292,0.7765,0.7334095772650775,0.8292,54
63,0.8304,0.7769,0.7328011391303911,0.8304,63
64,0.8304,0.7769,0.7313181749724071,0.8304,63
65,0.8304,0.7769,0.7280976121408155,0.8304,63
66,0.8304,0.7769,0.7299315560512056,0.8304,63
67,0.8304,0.7769,0.7274167544361211,0.8304,63
68,0.8304,0.7769,0.7248395408153582,0.8304,63
69,0.8304,0.7769,0.7236519362657522,0.8304,63
70,0.8304,0.7769,0.7224688331221986,0.8304,63
71,0.8304,0.7769,0.7238846794357473,0.8304,63
72,0.8304,0.7769,0.7207503442521707,0.8304,63
73,0.8304,0.7769,0.7200267615761925,0.8304,63
