epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7116,0.7088,1.058896780498172,0.7116,1
2,0.7445,0.7305,0.9645965357368703,0.7445,2
3,0.7664,0.7434,0.9387082583880834,0.7664,3
4,0.7832,0.7543,0.9138832745201046,0.7832,4
5,0.7934,0.7602,0.8930144829461648,0.7934,5
6,0.7993,0.7619,0.8766343449183492,0.7993,6
7,0.8037,0.768,0.8645021407820099,0.8037,7
8,0.8059,0.7701,0.855213891196246,0.8059,8
9,0.8082,0.7706,0.8480900779417675,0.8082,9
10,0.8099,0.7708,0.8416836048509245,0.8099,10
11,0.8116,0.7718,0.8371843430846886,0.8116,11
12,0.8132,0.7726,0.8322083035568615,0.8132,12
13,0.8146,0.7728,0.827048646411007,0.8146,13
14,0.8157,0.7736,0.8241753669175329,0.8157,14
15,0.8168,0.7741,0.8215395090289586,0.8168,15
16,0.8168,0.7741,0.8178186605085425,0.8168,15
17,0.8181,0.7747,0.8147975760304956,0.8181,17
18,0.8196,0.7763,0.8119260600160154,0.8196,18
19,0.8196,0.7763,0.8103476348482376,0.8196,18
20,0.8215,0.777,0.8063322738874316,0.8215,20
21,0.8215,0.777,0.8044196778473718,0.8215,20
22,0.824,0.7786,0.802201324296309,0.824,22
23,0.824,0.7786,0.7991593861114021,0.824,22
24,0.826,0.7794,0.7959139451202533,0.826,24
25,0.8277,0.7805,0.7943427618872881,0.8277,25
26,0.8291,0.7801,0.7903807743210688,0.8291,26
27,0.8304,0.781,0.7889134747889288,0.8304,27
28,0.8323,0.7824,0.784756346839712,0.8323,28
29,0.834,0.7822,0.7817047694220691,0.834,29
30,0.834,0.7822,0.7793703793879735,0.834,29
31,0.8366,0.7843,0.7758226266278001,0.8366,31
32,0.8366,0.7843,0.772568719255863,0.8366,31
33,0.8378,0.7832,0.7697147821972015,0.8378,33
34,0.8378,0.7832,0.7675025933433571,0.8378,33
35,0.84,0.7857,0.7647654167496779,0.84,35
36,0.84,0.7857,0.7623534968468674,0.84,35
37,0.84,0.7857,0.7604044572812508,0.84,35
38,0.8412,0.7876,0.7582662499116429,0.8412,38
39,0.8425,0.7875,0.7543336417153871,0.8425,39
40,0.8425,0.7875,0.7525194568037026,0.8425,39
41,0.8425,0.7875,0.7508324586998326,0.8425,39
42,0.8438,0.7877,0.7481581914192043,0.8438,42
43,0.8438,0.7877,0.7453637200519068,0.8438,42
44,0.8438,0.7877,0.7436137944825992,0.8438,42
45,0.8438,0.7877,0.7395473603666418,0.8438,42
46,0.8438,0.7877,0.738234699854154,0.8438,42
47,0.8451,0.7894,0.734151944435829,0.8451,47
48,0.8451,0.7894,0.7323530008754877,0.8451,47
49,0.8451,0.7894,0.7300777653929845,0.8451,47
50,0.8451,0.7894,0.7279541559975481,0.8451,47
51,0.8451,0.7894,0.7270312687956253,0.8451,47
52,0.8451,0.7894,0.7243967572646421,0.8451,47
53,0.8451,0.7894,0.7221189076168611,0.8451,47
54,0.8451,0.7894,0.7217226278047503,0.8451,47
55,0.8451,0.7894,0.7188644055189344,0.8451,47
56,0.8451,0.7894,0.7167454713491195,0.8451,47
57,0.8451,0.7894,0.7150044524816571,0.8451,47
