epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7111,0.7086,1.0288572149947393,0.7111,1
2,0.7441,0.73,0.9369984061009572,0.7441,2
3,0.766,0.7431,0.9129071867266982,0.766,3
4,0.7829,0.7544,0.8916531785902937,0.7829,4
5,0.7933,0.76,0.8745929079480799,0.7933,5
6,0.7993,0.762,0.8612593473395328,0.7993,6
7,0.8038,0.7683,0.8510449524519388,0.8038,7
8,0.806,0.7699,0.8434128924339974,0.806,8
9,0.8085,0.771,0.8378699592491575,0.8085,9
10,0.8101,0.7711,0.8330476989076123,0.8101,10
11,0.8121,0.7721,0.8296361216567352,0.8121,11
12,0.8139,0.7733,0.8260003865634459,0.8139,12
13,0.8152,0.7734,0.8217479876962076,0.8152,13
14,0.8165,0.7743,0.8199260564976427,0.8165,14
15,0.8178,0.7749,0.8182890875165737,0.8178,15
16,0.8178,0.7749,0.8154201050507185,0.8178,15
17,0.8195,0.7752,0.8133125005875239,0.8195,17
18,0.8214,0.7769,0.8107065392788746,0.8214,18
19,0.8228,0.777,0.8098243378775117,0.8228,19
20,0.8241,0.7778,0.8063227964597834,0.8241,20
21,0.8256,0.7795,0.804406303844343,0.8256,21
22,0.8276,0.7797,0.8023515423120444,0.8276,22
23,0.8287,0.7804,0.7993885565094282,0.8287,23
24,0.8304,0.7811,0.7964115325617531,0.8304,24
25,0.8322,0.7826,0.7948487120026327,0.8322,25
26,0.8322,0.7826,0.7909392345295007,0.8322,25
27,0.8349,0.7834,0.7897515179849539,0.8349,27
28,0.836,0.7841,0.7860317921283072,0.836,28
29,0.8375,0.7843,0.7836420404734693,0.8375,29
30,0.8375,0.7843,0.7817950778902054,0.8375,29
31,0.8396,0.7861,0.7788391261937527,0.8396,31
32,0.8396,0.7861,0.7760542616844374,0.8396,31
33,0.8409,0.7851,0.7740173655389877,0.8409,33
34,0.8409,0.7851,0.7719855460533798,0.8409,33
35,0.8427,0.7873,0.7694153489450655,0.8427,35
36,0.8427,0.7873,0.7678044021823386,0.8427,35
37,0.8427,0.7873,0.7664354268307336,0.8427,35
38,0.8438,0.7875,0.7645537215303739,0.8438,38
39,0.845,0.7872,0.7607997363992253,0.845,39
40,0.845,0.7872,0.7592448616685297,0.845,39
41,0.845,0.7872,0.7578120996395868,0.845,39
42,0.845,0.7872,0.7564998148870002,0.845,39
43,0.845,0.7872,0.7533340732799726,0.845,39
44,0.8462,0.79,0.7531700704900444,0.8462,44
45,0.8462,0.79,0.7500128079241163,0.8462,44
46,0.8462,0.79,0.7494017087019114,0.8462,44
47,0.8462,0.79,0.746089901579608,0.8462,44
48,0.8462,0.79,0.7453639766344273,0.8462,44
49,0.8462,0.79,0.7438407466750147,0.8462,44
50,0.8462,0.79,0.7415707686345937,0.8462,44
51,0.8462,0.79,0.7416235103371931,0.8462,44
52,0.8462,0.79,0.7403728246465344,0.8462,44
53,0.8462,0.79,0.738007695285453,0.8462,44
54,0.8462,0.79,0.738367249913552,0.8462,44
