epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7054,0.7011,1.0234020711460123,0.7054,1
2,0.7381,0.723,0.9346976191499164,0.7381,2
3,0.7578,0.736,0.9086365072734933,0.7578,3
4,0.7721,0.7458,0.8857147771443277,0.7721,4
5,0.7804,0.7493,0.8740987754782806,0.7804,5
6,0.7869,0.753,0.8581438920304376,0.7869,6
7,0.7901,0.753,0.848289040558286,0.7901,7
8,0.7934,0.7541,0.8412238496055835,0.7934,8
9,0.7945,0.7558,0.8339038987705981,0.7945,9
10,0.7963,0.7576,0.8285920258467069,0.7963,10
11,0.7985,0.7588,0.8254338149987319,0.7985,11
12,0.8001,0.76,0.8190635936893674,0.8001,12
13,0.8001,0.76,0.8186768493579136,0.8001,12
14,0.8016,0.7615,0.8152209654640657,0.8016,14
15,0.8034,0.7627,0.8128187268762342,0.8034,15
16,0.8034,0.7627,0.8125556440487327,0.8034,15
17,0.8058,0.7626,0.8128636088025559,0.8058,17
18,0.8058,0.7626,0.8084636768202009,0.8058,17
19,0.8083,0.7644,0.8034676230281005,0.8083,19
20,0.8083,0.7644,0.8008134139133235,0.8083,19
21,0.8106,0.7657,0.8018720513557955,0.8106,21
22,0.8128,0.7673,0.7967143171486395,0.8128,22
23,0.8144,0.7686,0.7976404019990343,0.8144,23
24,0.8159,0.7692,0.7962028457122473,0.8159,24
25,0.8171,0.7679,0.7889722791908954,0.8171,25
26,0.819,0.7709,0.7893211430211551,0.819,26
27,0.819,0.7709,0.7866587000974659,0.819,26
28,0.8204,0.7684,0.7850337429404851,0.8204,28
29,0.8217,0.7714,0.7822455380536756,0.8217,29
30,0.823,0.771,0.7790780683427644,0.823,30
31,0.823,0.771,0.7770239531312284,0.823,30
32,0.825,0.7736,0.7744377248808556,0.825,32
33,0.825,0.7736,0.7713474943529882,0.825,32
34,0.8266,0.7743,0.7682984147629682,0.8266,34
35,0.8266,0.7743,0.766536718378844,0.8266,34
36,0.8282,0.7743,0.7625978926224554,0.8282,36
37,0.8282,0.7743,0.7628437041078101,0.8282,36
38,0.8293,0.7757,0.763046341123952,0.8293,38
39,0.8293,0.7757,0.757402975346908,0.8293,38
40,0.8306,0.7779,0.7573981587722911,0.8306,40
41,0.8306,0.7779,0.7562833303045394,0.8306,40
42,0.8306,0.7779,0.7525327044063873,0.8306,40
43,0.8306,0.7779,0.754560132102363,0.8306,40
44,0.8306,0.7779,0.7497679631500106,0.8306,40
45,0.8323,0.7761,0.7490695532773565,0.8323,45
46,0.8323,0.7761,0.7442726800075473,0.8323,45
47,0.8323,0.7761,0.7432132834563494,0.8323,45
48,0.8323,0.7761,0.7429918162359814,0.8323,45
49,0.8335,0.7759,0.7451189427487847,0.8335,49
50,0.8335,0.7759,0.7399658246742461,0.8335,49
51,0.8335,0.7759,0.7363076132194474,0.8335,49
52,0.8335,0.7759,0.736590523057365,0.8335,49
53,0.8335,0.7759,0.734783079940915,0.8335,49
54,0.8335,0.7759,0.7350388060148192,0.8335,49
55,0.8346,0.7784,0.7345601174107372,0.8346,55
56,0.8346,0.7784,0.7310158659099919,0.8346,55
57,0.8346,0.7784,0.7292342139000444,0.8346,55
58,0.8346,0.7784,0.7300064089083803,0.8346,55
59,0.8346,0.7784,0.7282951259285065,0.8346,55
60,0.8346,0.7784,0.7294455708521879,0.8346,55
61,0.8346,0.7784,0.7270083935507721,0.8346,55
62,0.8346,0.7784,0.7257340165713804,0.8346,55
63,0.8346,0.7784,0.7209513528859026,0.8346,55
64,0.8346,0.7784,0.7219275934588083,0.8346,55
65,0.8346,0.7784,0.7211262409418944,0.8346,55
