epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.6626,0.6698,1.021051822693611,0.6626,1
2,0.7103,0.7073,0.9483910771456528,0.7103,2
3,0.7281,0.7158,0.9195762913010537,0.7281,3
4,0.7476,0.7269,0.9047454680998507,0.7476,4
5,0.7622,0.7382,0.8889793704482426,0.7622,5
6,0.7732,0.7457,0.873974537537136,0.7732,6
7,0.7818,0.7508,0.8596826505924899,0.7818,7
8,0.7879,0.7546,0.8486138869552807,0.7879,8
9,0.7921,0.7571,0.8406779306525158,0.7921,9
10,0.795,0.7584,0.8337815711728321,0.795,10
11,0.7973,0.7594,0.8294573717879988,0.7973,11
12,0.7989,0.7604,0.825799612264455,0.7989,12
13,0.8006,0.7611,0.8218385713538288,0.8006,13
14,0.8019,0.7621,0.8188452835866052,0.8019,14
15,0.8035,0.7621,0.8158813769141405,0.8035,15
16,0.8048,0.7631,0.8138546182399852,0.8048,16
17,0.8062,0.764,0.8112877394842323,0.8062,17
18,0.8075,0.7644,0.8099288360898792,0.8075,18
19,0.8089,0.7653,0.8073984149290917,0.8089,19
20,0.8103,0.7657,0.8052977006754118,0.8103,20
21,0.8117,0.7663,0.803493868924777,0.8117,21
22,0.8131,0.7675,0.8008222039929319,0.8131,22
23,0.8147,0.7684,0.7987403138626114,0.8147,23
24,0.8162,0.7697,0.7957032824816531,0.8162,24
25,0.8174,0.7703,0.7936318613221179,0.8174,25
26,0.819,0.7707,0.7909294245476938,0.819,26
27,0.8202,0.772,0.7883442245162852,0.8202,27
28,0.8214,0.7728,0.7853798622508763,0.8214,28
29,0.8225,0.7735,0.7833637960807852,0.8225,29
30,0.8225,0.7735,0.7805802818444435,0.8225,29
31,0.824,0.7745,0.7785735130328814,0.824,31
32,0.824,0.7745,0.7767464268545169,0.824,31
33,0.8256,0.775,0.774520650245293,0.8256,33
34,0.8256,0.775,0.7726775886142782,0.8256,33
35,0.827,0.776,0.7706730506627782,0.827,35
36,0.827,0.776,0.7691861913270448,0.827,35
37,0.827,0.776,0.7671694743357126,0.827,35
38,0.8285,0.776,0.7645331093699271,0.8285,38
39,0.8285,0.776,0.7620441012063858,0.8285,38
40,0.8285,0.776,0.7611135514112798,0.8285,38
41,0.8295,0.7777,0.7591582363188413,0.8295,41
42,0.8295,0.7777,0.7573399764035257,0.8295,41
43,0.8295,0.7777,0.7557461812768268,0.8295,41
44,0.8295,0.7777,0.7538776632937934,0.8295,41
45,0.8295,0.7777,0.7524697146286162,0.8295,41
46,0.8307,0.7786,0.7511625282722934,0.8307,46
47,0.8307,0.7786,0.7493945217284237,0.8307,46
48,0.8307,0.7786,0.7475121549783202,0.8307,46
49,0.8307,0.7786,0.7463387786139224,0.8307,46
50,0.8307,0.7786,0.7450798504725719,0.8307,46
51,0.8307,0.7786,0.7440460849808707,0.8307,46
52,0.8307,0.7786,0.7424634105482116,0.8307,46
53,0.8307,0.7786,0.7412793864579785,0.8307,46
54,0.8307,0.7786,0.7397006334031889,0.8307,46
55,0.8307,0.7786,0.7387578607202072,0.8307,46
56,0.8307,0.7786,0.7378112823957007,0.8307,46
