epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.6739,0.6692,1.0217489036245284,0.6739,1
2,0.7167,0.7155,0.950320908066686,0.7167,2
3,0.7352,0.7247,0.922257032606444,0.7352,3
4,0.7564,0.7347,0.9075659824544544,0.7564,4
5,0.7726,0.7463,0.8923072280496464,0.7726,5
6,0.7842,0.7536,0.8786230755905641,0.7842,6
7,0.7932,0.7616,0.8652840687443253,0.7932,7
8,0.7993,0.7654,0.8534569383142044,0.7993,8
9,0.8037,0.7687,0.8450449251582187,0.8037,9
10,0.8072,0.7705,0.8389220405714235,0.8072,10
11,0.8096,0.7718,0.833609746866626,0.8096,11
12,0.8115,0.7726,0.8288983648437618,0.8115,12
13,0.8131,0.7734,0.8257521336006765,0.8131,13
14,0.8145,0.7732,0.823318399312216,0.8145,14
15,0.8159,0.7738,0.8201226398628082,0.8159,15
16,0.8172,0.7741,0.8181706818847615,0.8172,16
17,0.8185,0.7747,0.8156044708869535,0.8185,17
18,0.82,0.7759,0.813460344707916,0.82,18
19,0.8214,0.7763,0.8111814025761565,0.8214,19
20,0.8229,0.7773,0.8090285251034427,0.8229,20
21,0.8243,0.7781,0.807472258279887,0.8243,21
22,0.8259,0.7787,0.8051438154867068,0.8259,22
23,0.8274,0.7792,0.8031585881995615,0.8274,23
24,0.829,0.78,0.8005150657767773,0.829,24
25,0.8308,0.7806,0.7978372494452675,0.8308,25
26,0.8321,0.781,0.7956997420792696,0.8321,26
27,0.8339,0.7818,0.7931488742577982,0.8339,27
28,0.8339,0.7818,0.7907189148245811,0.8339,27
29,0.8358,0.7832,0.7878628904470049,0.8358,29
30,0.8372,0.7845,0.7859413770211666,0.8372,30
31,0.8372,0.7845,0.7838160047404849,0.8372,30
32,0.8387,0.7853,0.7810763084172587,0.8387,32
33,0.8387,0.7853,0.7796107440439701,0.8387,32
34,0.8401,0.7864,0.7779422821376996,0.8401,34
35,0.8401,0.7864,0.7750664120179772,0.8401,34
36,0.8412,0.7869,0.7740841225857571,0.8412,36
37,0.8412,0.7869,0.7718462535545731,0.8412,36
38,0.8412,0.7869,0.7697670446685987,0.8412,36
39,0.8426,0.7883,0.7679034422232525,0.8426,39
40,0.8426,0.7883,0.7656858358287065,0.8426,39
41,0.8426,0.7883,0.7639945716810074,0.8426,39
42,0.8426,0.7883,0.7617932280239421,0.8426,39
43,0.8426,0.7883,0.7602662096897976,0.8426,39
44,0.8436,0.7903,0.7582451017455458,0.8436,44
45,0.8436,0.7903,0.7568864589605907,0.8436,44
46,0.8436,0.7903,0.755068726176058,0.8436,44
47,0.8436,0.7903,0.7532130330877321,0.8436,44
48,0.8436,0.7903,0.7523399447100058,0.8436,44
49,0.8436,0.7903,0.7510680294435096,0.8436,44
50,0.8436,0.7903,0.7499597989771775,0.8436,44
51,0.8436,0.7903,0.7485544740530039,0.8436,44
52,0.8436,0.7903,0.7464600294874485,0.8436,44
53,0.8436,0.7903,0.7456926879395491,0.8436,44
54,0.8436,0.7903,0.744397815414901,0.8436,44
