epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.6813,0.646,0.9920695403034884,0.6813,1
2,0.7187,0.7055,0.9316396495673437,0.7187,2
3,0.7335,0.7128,0.9065869846716282,0.7335,3
4,0.7523,0.7243,0.8940513530360276,0.7523,4
5,0.7716,0.7373,0.879702756530273,0.7716,5
6,0.785,0.7483,0.864174224324148,0.785,6
7,0.7938,0.7535,0.8504195839362243,0.7938,7
8,0.7998,0.756,0.8400461642905649,0.7998,8
9,0.804,0.7584,0.8319272844964964,0.804,9
10,0.807,0.7598,0.8260779289585534,0.807,10
11,0.8092,0.7603,0.820951713760361,0.8092,11
12,0.8113,0.7617,0.8172667344023093,0.8113,12
13,0.8128,0.7626,0.8142361581710488,0.8128,13
14,0.814,0.7627,0.8110583686450102,0.814,14
15,0.8154,0.7636,0.8088795908161349,0.8154,15
16,0.8167,0.7639,0.8063838925373689,0.8167,16
17,0.818,0.7645,0.8046164980516274,0.818,17
18,0.8193,0.7653,0.8027009944920155,0.8193,18
19,0.8205,0.7661,0.8004849351516489,0.8205,19
20,0.8217,0.7663,0.7979754894974342,0.8217,20
21,0.8231,0.7674,0.7967102256907358,0.8231,21
22,0.8244,0.7677,0.7946176513753725,0.8244,22
23,0.8258,0.7685,0.7919678609145043,0.8258,23
24,0.8271,0.7689,0.7903593306191495,0.8271,24
25,0.8283,0.7692,0.7873193752969071,0.8283,25
26,0.8297,0.7708,0.785114372860165,0.8297,26
27,0.8309,0.7713,0.7826970767546517,0.8309,27
28,0.8319,0.7715,0.7799258818802297,0.8319,28
29,0.8331,0.7731,0.7782343338178445,0.8331,29
30,0.8331,0.7731,0.7758511062445083,0.8331,29
31,0.8347,0.7741,0.7730045263213018,0.8347,31
32,0.8347,0.7741,0.7717206180420831,0.8347,31
33,0.8363,0.7743,0.7692682728729974,0.8363,33
34,0.8363,0.7743,0.7670968077541002,0.8363,33
35,0.8376,0.7754,0.7651427005945154,0.8376,35
36,0.8376,0.7754,0.7632725249228466,0.8376,35
37,0.8388,0.7759,0.7609071604425163,0.8388,37
38,0.8388,0.7759,0.7591212342007152,0.8388,37
39,0.8388,0.7759,0.7570548976132816,0.8388,37
40,0.84,0.7773,0.754954445831356,0.84,40
41,0.84,0.7773,0.7536472060240983,0.84,40
42,0.84,0.7773,0.7520866670725517,0.84,40
43,0.84,0.7773,0.7492044948368725,0.84,40
44,0.84,0.7773,0.7479690448821645,0.84,40
45,0.84,0.7773,0.7465155377169997,0.84,40
46,0.8414,0.7792,0.7448926935594556,0.8414,46
47,0.8414,0.7792,0.7432181173338813,0.8414,46
48,0.8414,0.7792,0.7424621845319476,0.8414,46
49,0.8414,0.7792,0.7399309281091431,0.8414,46
50,0.8414,0.7792,0.7388332664046238,0.8414,46
51,0.8414,0.7792,0.7374402689072445,0.8414,46
52,0.8414,0.7792,0.7358501763735252,0.8414,46
53,0.8414,0.7792,0.7350111070618252,0.8414,46
54,0.8414,0.7792,0.7339060334554635,0.8414,46
55,0.8414,0.7792,0.7327768297051523,0.8414,46
56,0.8414,0.7792,0.7326808537863286,0.8414,46
