epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.6684,0.6685,1.2075969032029314,0.6684,1
2,0.6959,0.7033,0.9837837283896196,0.6959,2
3,0.7092,0.7069,0.9494122795999423,0.7092,3
4,0.7152,0.7094,0.9364869592929748,0.7152,4
5,0.7194,0.7125,0.9285931564045845,0.7194,5
6,0.7233,0.7154,0.9229109477688704,0.7233,6
7,0.7281,0.7175,0.9174448988965741,0.7281,7
8,0.7343,0.7206,0.9125240771628782,0.7343,8
9,0.7411,0.7245,0.9062547352476643,0.7411,9
10,0.747,0.7278,0.8997069734705815,0.747,10
11,0.7519,0.7309,0.894148694461112,0.7519,11
12,0.7562,0.7349,0.8886258891220099,0.7562,12
13,0.7605,0.737,0.8836381753239281,0.7605,13
14,0.7644,0.7384,0.8783150652675354,0.7644,14
15,0.7686,0.7405,0.8731797122525915,0.7686,15
16,0.7723,0.7426,0.8684677213589226,0.7723,16
17,0.7764,0.7451,0.8631044508191853,0.7764,17
18,0.7806,0.7482,0.8586965629881931,0.7806,18
19,0.7847,0.7509,0.8536885040627875,0.7847,19
20,0.7883,0.7535,0.8489003727373295,0.7883,20
21,0.7908,0.7554,0.8452034753491482,0.7908,21
22,0.7926,0.7567,0.841290703579549,0.7926,22
23,0.7941,0.7576,0.8378824962299752,0.7941,23
24,0.7954,0.758,0.8350463761488843,0.7954,24
25,0.7966,0.7583,0.8330640846503754,0.7966,25
26,0.7976,0.7589,0.830015298010304,0.7976,26
27,0.799,0.7597,0.8277398165872611,0.799,27
28,0.8,0.7597,0.8257307027372347,0.8,28
29,0.8,0.7597,0.8232185628752164,0.8,28
30,0.8022,0.7613,0.8210970273215564,0.8022,30
31,0.8036,0.762,0.8189766148962304,0.8036,31
32,0.8049,0.7632,0.817142898931153,0.8049,32
33,0.8063,0.7639,0.8152638989441309,0.8063,33
34,0.8077,0.7644,0.8126684595184802,0.8077,34
35,0.8093,0.7652,0.8104464531910444,0.8093,35
36,0.8111,0.7662,0.8079665086743675,0.8111,36
37,0.8126,0.7668,0.8045008694687347,0.8126,37
38,0.8145,0.768,0.8019679685828803,0.8145,38
39,0.8161,0.7693,0.8002019738039688,0.8161,39
40,0.8178,0.7694,0.7970577793446617,0.8178,40
41,0.8191,0.7708,0.7948144137193086,0.8191,41
42,0.8202,0.7707,0.791199128340463,0.8202,42
43,0.8216,0.7714,0.7880828224619368,0.8216,43
44,0.8226,0.7722,0.785615357502918,0.8226,44
45,0.8237,0.7728,0.7835605074486152,0.8237,45
46,0.8237,0.7728,0.779828293684281,0.8237,45
47,0.8253,0.7736,0.7783678057184592,0.8253,47
48,0.8253,0.7736,0.7758178356480309,0.8253,47
49,0.8265,0.7741,0.7733589446377049,0.8265,49
50,0.8265,0.7741,0.770839902907542,0.8265,49
51,0.8277,0.7745,0.768183495713409,0.8277,51
52,0.8277,0.7745,0.7664046329164204,0.8277,51
53,0.8277,0.7745,0.7643007333238314,0.8277,51
54,0.8277,0.7745,0.7619274660256353,0.8277,51
55,0.8292,0.7754,0.7593909708127784,0.8292,55
56,0.8292,0.7754,0.7588235388691592,0.8292,55
57,0.8292,0.7754,0.7564149993819432,0.8292,55
58,0.8292,0.7754,0.7543678486382744,0.8292,55
59,0.8292,0.7754,0.7525408789464408,0.8292,55
60,0.8292,0.7754,0.7508570549103414,0.8292,55
61,0.8292,0.7754,0.7491282866885923,0.8292,55
62,0.8292,0.7754,0.7481510775972441,0.8292,55
63,0.8292,0.7754,0.7462863124245741,0.8292,55
64,0.8305,0.7753,0.7451999750406918,0.8305,64
65,0.8305,0.7753,0.7432526041753055,0.8305,64
66,0.8305,0.7753,0.742070246067803,0.8305,64
67,0.8305,0.7753,0.7413148177281265,0.8305,64
68,0.8305,0.7753,0.7395418924762828,0.8305,64
69,0.8305,0.7753,0.7377838223357531,0.8305,64
70,0.8305,0.7753,0.7372649283332996,0.8305,64
71,0.8305,0.7753,0.7362404307324444,0.8305,64
72,0.8305,0.7753,0.735569222315251,0.8305,64
73,0.8305,0.7753,0.734546642218148,0.8305,64
74,0.8305,0.7753,0.7340040900475219,0.8305,64
