epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7371,0.7311,0.6024217561378926,0.7371,1
2,0.7648,0.7437,0.5496439542353891,0.7648,2
3,0.7839,0.7543,0.5294505622874959,0.7839,3
4,0.7945,0.7611,0.511709581449059,0.7945,4
5,0.7995,0.7634,0.49902018930847536,0.7995,5
6,0.8033,0.7652,0.49009662808011584,0.8033,6
7,0.8062,0.7675,0.4844854664676018,0.8062,7
8,0.8086,0.7688,0.4800095061572399,0.8086,8
9,0.8105,0.7693,0.47625454078329155,0.8105,9
10,0.8122,0.7705,0.4734436179876991,0.8122,10
11,0.8133,0.7704,0.47152419253013345,0.8133,11
12,0.8145,0.7707,0.4700189286566615,0.8145,12
13,0.8156,0.7712,0.4677439169760084,0.8156,13
14,0.8156,0.7712,0.4664684886289815,0.8156,13
15,0.8173,0.7723,0.4652887665682208,0.8173,15
16,0.8173,0.7723,0.4638809352136665,0.8173,15
17,0.8193,0.7733,0.46278921705671083,0.8193,17
18,0.8193,0.7733,0.46117696455237056,0.8193,17
19,0.8213,0.7739,0.46001434567343086,0.8213,19
20,0.8213,0.7739,0.45848450991379336,0.8213,19
21,0.8233,0.7753,0.45662499646343113,0.8233,21
22,0.8244,0.7759,0.4553951267259736,0.8244,22
23,0.8256,0.776,0.45393880365116135,0.8256,23
24,0.8268,0.7771,0.45228663785355233,0.8268,24
25,0.8282,0.7773,0.44997146380946335,0.8282,25
26,0.8298,0.7786,0.44818116321396345,0.8298,26
27,0.8298,0.7786,0.4457244885766836,0.8298,26
28,0.8319,0.7794,0.4440810811383112,0.8319,28
29,0.833,0.7802,0.4414725755739944,0.833,29
30,0.833,0.7802,0.4396532597652812,0.833,29
31,0.8343,0.7814,0.43754719873266706,0.8343,31
32,0.8355,0.7823,0.4352648494064053,0.8355,32
33,0.8365,0.7832,0.4346836281241881,0.8365,33
34,0.8365,0.7832,0.43196911510745106,0.8365,33
35,0.8377,0.7838,0.43017045532553866,0.8377,35
36,0.8388,0.7853,0.42779411537761736,0.8388,36
37,0.8388,0.7853,0.42623332541918546,0.8388,36
38,0.8388,0.7853,0.42381486011385566,0.8388,36
39,0.8408,0.7857,0.4222433032152475,0.8408,39
40,0.8408,0.7857,0.4196268294651356,0.8408,39
41,0.8419,0.7858,0.41736820725677737,0.8419,41
42,0.8419,0.7858,0.415792642846275,0.8419,41
43,0.8419,0.7858,0.4135454180200677,0.8419,41
44,0.8429,0.7871,0.41197894134244273,0.8429,44
45,0.8429,0.7871,0.4096789991724356,0.8429,44
46,0.8429,0.7871,0.4078490234743853,0.8429,44
47,0.8429,0.7871,0.405807768036775,0.8429,44
48,0.8429,0.7871,0.4046018781294423,0.8429,44
49,0.8429,0.7871,0.40259867545984024,0.8429,44
50,0.8429,0.7871,0.4007663583069956,0.8429,44
51,0.8429,0.7871,0.39955344470351173,0.8429,44
52,0.8429,0.7871,0.3978333618728273,0.8429,44
53,0.8429,0.7871,0.39706018240252894,0.8429,44
54,0.8429,0.7871,0.3956401703909933,0.8429,44
