epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7156,0.7142,1.020728431513114,0.7156,1
2,0.7546,0.7384,0.9292312015991742,0.7546,2
3,0.7763,0.7513,0.9015381246579057,0.7763,3
4,0.7919,0.7621,0.8781005439715949,0.7919,4
5,0.8001,0.7677,0.8630485943564068,0.8001,5
6,0.8052,0.7714,0.8498698149641457,0.8052,6
7,0.8084,0.7715,0.8427164099400245,0.8084,7
8,0.8109,0.7735,0.8361612209656709,0.8109,8
9,0.8124,0.7731,0.8305452183880072,0.8124,9
10,0.8149,0.7746,0.8257687389792168,0.8149,10
11,0.8149,0.7746,0.8230538354924519,0.8149,10
12,0.8169,0.7754,0.8204319985730008,0.8169,12
13,0.8185,0.7767,0.8156595551832808,0.8185,13
14,0.8185,0.7767,0.8132840774457145,0.8185,13
15,0.8207,0.7761,0.811789204954085,0.8207,15
16,0.8224,0.7786,0.8104074947782602,0.8224,16
17,0.8235,0.7779,0.8078501215515403,0.8235,17
18,0.8251,0.779,0.8066490138963628,0.8251,18
19,0.8267,0.7793,0.8031532097417783,0.8267,19
20,0.8267,0.7793,0.8006454972987187,0.8267,19
21,0.8298,0.7806,0.798350860411263,0.8298,21
22,0.8312,0.7817,0.7955578441822189,0.8312,22
23,0.8323,0.7823,0.7935761004038347,0.8323,23
24,0.8345,0.7825,0.7914351002908483,0.8345,24
25,0.8345,0.7825,0.788731727657209,0.8345,24
26,0.8366,0.7849,0.78548945415607,0.8366,26
27,0.8376,0.784,0.783280327220423,0.8376,27
28,0.8376,0.784,0.7835914216051687,0.8376,27
29,0.8397,0.7861,0.7789468695855868,0.8397,29
30,0.8397,0.7861,0.7765080059704128,0.8397,29
31,0.841,0.7868,0.7759667302830859,0.841,31
32,0.8424,0.7877,0.7736798347003087,0.8424,32
33,0.8424,0.7877,0.771610442147137,0.8424,32
34,0.8439,0.7877,0.7688982605888746,0.8439,34
35,0.8439,0.7877,0.7669539212742168,0.8439,34
36,0.8439,0.7877,0.7661785102356737,0.8439,34
37,0.845,0.7898,0.7625878605863268,0.845,37
38,0.845,0.7898,0.7626113159563328,0.845,37
39,0.8464,0.7894,0.7595730626770698,0.8464,39
40,0.8464,0.7894,0.7568223970208487,0.8464,39
41,0.8464,0.7894,0.7550044552176687,0.8464,39
42,0.8477,0.789,0.7533974571059134,0.8477,42
43,0.8477,0.789,0.7520231804082022,0.8477,42
44,0.8477,0.789,0.7495934104225871,0.8477,42
45,0.8477,0.789,0.7466983879552325,0.8477,42
46,0.8477,0.789,0.7451515934400711,0.8477,42
47,0.8477,0.789,0.7455755234015945,0.8477,42
48,0.8477,0.789,0.7429438383396725,0.8477,42
49,0.8491,0.7931,0.7415933736338186,0.8491,49
50,0.8491,0.7931,0.7405544130853685,0.8491,49
51,0.8491,0.7931,0.7382847477020658,0.8491,49
52,0.8491,0.7931,0.7359927541079295,0.8491,49
53,0.8491,0.7931,0.7349055277050733,0.8491,49
54,0.8491,0.7931,0.7346815879899294,0.8491,49
55,0.8491,0.7931,0.7325261671712353,0.8491,49
56,0.8491,0.7931,0.7306848708545345,0.8491,49
57,0.8491,0.7931,0.7301293549059936,0.8491,49
58,0.8491,0.7931,0.7309140761010303,0.8491,49
59,0.8491,0.7931,0.7278017937527553,0.8491,49
