epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7338,0.7187,0.9528889153366918,0.7338,1
2,0.7681,0.741,0.8916962863222965,0.7681,2
3,0.791,0.7591,0.870321596791734,0.791,3
4,0.8036,0.7656,0.8537579423347137,0.8036,4
5,0.809,0.7669,0.8384330725605591,0.809,5
6,0.813,0.7696,0.8318187909474957,0.813,6
7,0.816,0.7707,0.8265956710590753,0.816,7
8,0.8175,0.7717,0.817733624616848,0.8175,8
9,0.8191,0.7729,0.8138300996472476,0.8191,9
10,0.8207,0.7734,0.8137727268778594,0.8207,10
11,0.8224,0.7737,0.8113372013441777,0.8224,11
12,0.8235,0.7752,0.80973026537343,0.8235,12
13,0.8235,0.7752,0.8066508383143929,0.8235,12
14,0.8257,0.7761,0.804323111215087,0.8257,14
15,0.8268,0.776,0.8028596510462401,0.8268,15
16,0.8282,0.7775,0.7999856297021101,0.8282,16
17,0.8292,0.7777,0.8001762579834791,0.8292,17
18,0.8304,0.7781,0.7959830287641866,0.8304,18
19,0.8317,0.7791,0.7939854617510438,0.8317,19
20,0.8333,0.779,0.7951453833147434,0.8333,20
21,0.8346,0.7796,0.7892819749871524,0.8346,21
22,0.8346,0.7796,0.7909112420299663,0.8346,21
23,0.8379,0.7814,0.783781057486828,0.8379,23
24,0.8379,0.7814,0.7849400421407507,0.8379,23
25,0.8401,0.7826,0.7815346263204804,0.8401,25
26,0.8414,0.7832,0.7798866178547903,0.8414,26
27,0.8414,0.7832,0.7793080040462685,0.8414,26
28,0.8437,0.783,0.7741099357567323,0.8437,28
29,0.8449,0.7858,0.773043996409958,0.8449,29
30,0.846,0.7867,0.7721097148230988,0.846,30
31,0.847,0.7875,0.7711483881970222,0.847,31
32,0.847,0.7875,0.7697162622527834,0.847,31
33,0.8492,0.7876,0.7666485881600744,0.8492,33
34,0.8492,0.7876,0.7649837393686917,0.8492,33
35,0.8492,0.7876,0.7614639134513982,0.8492,33
36,0.8517,0.789,0.7581336747003022,0.8517,36
37,0.8517,0.789,0.7602819346345212,0.8517,36
38,0.853,0.7903,0.7573436492099505,0.853,38
39,0.853,0.7903,0.754088103349889,0.853,38
40,0.853,0.7903,0.75382779859653,0.853,38
41,0.853,0.7903,0.747690922704547,0.853,38
42,0.853,0.7903,0.7510014014957052,0.853,38
43,0.853,0.7903,0.7454831947485054,0.853,38
44,0.8543,0.7912,0.7473518629357919,0.8543,44
45,0.8543,0.7912,0.739930318878295,0.8543,44
46,0.8543,0.7912,0.7365326125569559,0.8543,44
47,0.8543,0.7912,0.7404550735138161,0.8543,44
48,0.8556,0.7918,0.7400801639152449,0.8556,48
49,0.8556,0.7918,0.7361520464528152,0.8556,48
50,0.8556,0.7918,0.7355182015689459,0.8556,48
51,0.8556,0.7918,0.7359635935949806,0.8556,48
52,0.8556,0.7918,0.7331223384543488,0.8556,48
53,0.8556,0.7918,0.7303175191773142,0.8556,48
54,0.8556,0.7918,0.7300207188098679,0.8556,48
55,0.8556,0.7918,0.728164584382479,0.8556,48
56,0.8556,0.7918,0.7238518853288239,0.8556,48
57,0.8556,0.7918,0.726936016009221,0.8556,48
58,0.8556,0.7918,0.7259381905029332,0.8556,48
