epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.694,0.7003,1.0105256927018598,0.694,1
2,0.8124,0.8013,0.8714901519876989,0.8124,2
3,0.861,0.8275,0.7759302416512099,0.861,3
4,0.8814,0.8413,0.726541650474077,0.8814,4
5,0.8882,0.8456,0.7000957451564066,0.8882,5
6,0.893,0.8487,0.6861139952533345,0.893,6
7,0.8969,0.8506,0.6752631528442398,0.8969,7
8,0.9001,0.8523,0.6675929605487768,0.9001,8
9,0.9026,0.8536,0.6608796262372726,0.9026,9
10,0.9045,0.8549,0.6558964498558529,0.9045,10
11,0.907,0.8561,0.651175129162725,0.907,11
12,0.9092,0.8573,0.6457168407226336,0.9092,12
13,0.9117,0.8583,0.6423696830978687,0.9117,13
14,0.9143,0.8594,0.6371229886245915,0.9143,14
15,0.917,0.8616,0.6324292023373891,0.917,15
16,0.9193,0.8633,0.6271435362039155,0.9193,16
17,0.9214,0.8654,0.6226452948422996,0.9214,17
18,0.9228,0.8666,0.6187509469060507,0.9228,18
19,0.9242,0.867,0.6131722414759474,0.9242,19
20,0.9242,0.867,0.6096665641732735,0.9242,19
21,0.926,0.8695,0.6057518906945041,0.926,21
22,0.9273,0.8699,0.6012318773207839,0.9273,22
23,0.9273,0.8699,0.5972360967142557,0.9273,22
24,0.9284,0.8719,0.5926907077401244,0.9284,24
25,0.9284,0.8719,0.5882639247186201,0.9284,24
26,0.9284,0.8719,0.5839156714408547,0.9284,24
27,0.9284,0.8719,0.5801483122316018,0.9284,24
28,0.9284,0.8719,0.5749568131635029,0.9284,24
29,0.9284,0.8719,0.5715692181791442,0.9284,24
30,0.9284,0.8719,0.5673312487134322,0.9284,24
31,0.9284,0.8719,0.5635642656625233,0.9284,24
32,0.9284,0.8719,0.5594800724963956,0.9284,24
33,0.9284,0.8719,0.5558303108455297,0.9284,24
34,0.9284,0.8719,0.5522405478808688,0.9284,24
