epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7057,0.8311,0.7273038163203327,0.7057,1
2,0.7473,0.8379,0.6604464127431052,0.7473,2
3,0.7593,0.8394,0.6452486562632946,0.7593,3
4,0.7664,0.8398,0.6387110758808008,0.7664,4
5,0.7717,0.8408,0.6341773761372097,0.7717,5
6,0.7757,0.8414,0.6304833767087296,0.7757,6
7,0.7806,0.842,0.6274041135551941,0.7806,7
8,0.7874,0.8435,0.6237024612196697,0.7874,8
9,0.792,0.8446,0.6192137812920364,0.792,9
10,0.7959,0.845,0.6160942820353089,0.7959,10
11,0.7992,0.8459,0.6125884309625124,0.7992,11
12,0.8027,0.8462,0.6093292713171068,0.8027,12
13,0.8038,0.8475,0.6063496221095082,0.8038,13
14,0.8053,0.8479,0.6041512590786791,0.8053,14
15,0.8081,0.8488,0.6014740810432715,0.8081,15
16,0.8081,0.8488,0.5993688735996502,0.8081,15
17,0.8094,0.8497,0.5978815814773047,0.8094,17
18,0.8107,0.8492,0.5957628578315861,0.8107,18
19,0.8107,0.8492,0.5941591704224265,0.8107,18
20,0.8123,0.8502,0.5922186053341741,0.8123,20
21,0.8123,0.8502,0.5904481972340161,0.8123,20
22,0.8135,0.8512,0.5884913483713361,0.8135,22
23,0.8135,0.8512,0.5871628241609544,0.8135,22
24,0.8135,0.8512,0.5851891764227815,0.8135,22
25,0.8148,0.8519,0.5834312230897132,0.8148,25
26,0.8148,0.8519,0.5821584059257783,0.8148,25
27,0.8148,0.8519,0.5803695698494258,0.8148,25
28,0.8148,0.8519,0.578752594214473,0.8148,25
29,0.8148,0.8519,0.5771686195032117,0.8148,25
30,0.8148,0.8519,0.5754351214776925,0.8148,25
31,0.8148,0.8519,0.5738045758144528,0.8148,25
32,0.8148,0.8519,0.5724781448448288,0.8148,25
33,0.8148,0.8519,0.5704652082581182,0.8148,25
34,0.8148,0.8519,0.5690783494124649,0.8148,25
35,0.8148,0.8519,0.5676111353858854,0.8148,25
