epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7959,0.8066,0.5674665880348104,0.7959,1
2,0.8621,0.8417,0.43998006840060844,0.8621,2
3,0.8838,0.8546,0.38374927224271826,0.8838,3
4,0.8913,0.8589,0.3593401408827293,0.8913,4
5,0.8959,0.8612,0.34592483976057914,0.8959,5
6,0.899,0.8632,0.3374467146944366,0.899,6
7,0.9015,0.8644,0.3308710033735276,0.9015,7
8,0.9035,0.8653,0.3266497266334059,0.9035,8
9,0.9049,0.8661,0.3227310987808517,0.9049,9
10,0.906,0.8666,0.319826711970973,0.906,10
11,0.9075,0.8677,0.31734388800853475,0.9075,11
12,0.9089,0.8679,0.315118735411028,0.9089,12
13,0.9102,0.8685,0.3129608297465174,0.9102,13
14,0.9119,0.8694,0.310919705625899,0.9119,14
15,0.9138,0.8701,0.30882258343229785,0.9138,15
16,0.9162,0.8707,0.30577754899238985,0.9162,16
17,0.919,0.8726,0.3028877592170221,0.919,17
18,0.9215,0.8746,0.29852590819524044,0.9215,18
19,0.9231,0.876,0.29498575278743694,0.9231,19
20,0.9242,0.8768,0.29169441234349935,0.9242,20
21,0.9242,0.8768,0.2893037433281896,0.9242,20
22,0.9261,0.8785,0.286540872664836,0.9261,22
23,0.9261,0.8785,0.28350248901439973,0.9261,22
24,0.9261,0.8785,0.2799568302994925,0.9261,22
25,0.9261,0.8785,0.27596521200129764,0.9261,22
26,0.9272,0.8798,0.2721678739889908,0.9272,26
27,0.9272,0.8798,0.26800601090300935,0.9272,26
