epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.698,0.7417,0.5449475186349885,0.698,1
2,0.71,0.7456,0.5240591500978721,0.71,2
3,0.7159,0.7474,0.5190669891635808,0.7159,3
4,0.719,0.7484,0.5161015642832925,0.719,4
5,0.7208,0.7497,0.5136114723237826,0.7208,5
6,0.7222,0.7496,0.5123726734165754,0.7222,6
7,0.7222,0.7496,0.511063937918535,0.7222,6
8,0.7241,0.7503,0.5102186979535438,0.7241,8
9,0.7241,0.7503,0.5094456268800907,0.7241,8
10,0.7252,0.7504,0.5084616442989499,0.7252,10
11,0.7252,0.7504,0.507949821066675,0.7252,10
12,0.7252,0.7504,0.5073879522202828,0.7252,10
13,0.7264,0.7509,0.5068412097727346,0.7264,13
14,0.7264,0.7509,0.5063434880967406,0.7264,13
15,0.7264,0.7509,0.505977970407254,0.7264,13
16,0.7264,0.7509,0.505205099665863,0.7264,13
17,0.7264,0.7509,0.5050302809326275,0.7264,13
18,0.7276,0.751,0.5045473305181801,0.7276,18
19,0.7276,0.751,0.5042300386679902,0.7276,18
20,0.7276,0.751,0.5039388605450321,0.7276,18
21,0.7276,0.751,0.5036180895012956,0.7276,18
22,0.7276,0.751,0.5032893848768714,0.7276,18
23,0.7276,0.751,0.5029836673362349,0.7276,18
24,0.7276,0.751,0.5026888550484748,0.7276,18
25,0.7276,0.751,0.5023549511311954,0.7276,18
26,0.7276,0.751,0.5019730942977814,0.7276,18
27,0.7288,0.7513,0.5016171090050066,0.7288,27
28,0.7288,0.7513,0.5013969364807919,0.7288,27
29,0.7288,0.7513,0.5011519051666903,0.7288,27
30,0.7288,0.7513,0.5009430425268638,0.7288,27
31,0.7288,0.7513,0.5003398812331974,0.7288,27
32,0.7288,0.7513,0.5003379088265484,0.7288,27
33,0.7288,0.7513,0.4996965119744908,0.7288,27
34,0.7288,0.7513,0.4997311165496795,0.7288,27
35,0.7288,0.7513,0.4994019672255976,0.7288,27
36,0.7288,0.7513,0.49901183661756227,0.7288,27
37,0.7288,0.7513,0.4986404872660841,0.7288,27
