epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7229,0.832,0.4632057641060623,0.7229,1
2,0.754,0.8382,0.4064105219007354,0.754,2
3,0.7647,0.8392,0.39697341364898203,0.7647,3
4,0.7712,0.8396,0.39223986671890404,0.7712,4
5,0.7763,0.8401,0.38871957241309174,0.7763,5
6,0.7811,0.8409,0.3856797872810565,0.7811,6
7,0.7882,0.8424,0.3820600056250925,0.7882,7
8,0.7931,0.8438,0.3781274518550802,0.7931,8
9,0.7983,0.8445,0.37452468950226925,0.7983,9
10,0.8007,0.845,0.3711783338328015,0.8007,10
11,0.8038,0.8459,0.3680036276080357,0.8038,11
12,0.8059,0.8471,0.36632572532913926,0.8059,12
13,0.8059,0.8471,0.3645454058661172,0.8059,12
14,0.8076,0.8466,0.36311702507660526,0.8076,14
15,0.8089,0.8474,0.3613836530348844,0.8089,15
16,0.8089,0.8474,0.3597208023869216,0.8089,15
17,0.811,0.8485,0.3581991971117388,0.811,17
18,0.811,0.8485,0.35680210959443975,0.811,17
19,0.8127,0.8489,0.3552814521121588,0.8127,19
20,0.8127,0.8489,0.3540128538286415,0.8127,19
21,0.8142,0.8498,0.3525120054913357,0.8142,21
22,0.8142,0.8498,0.351231401182275,0.8142,21
23,0.8153,0.8506,0.34948277822610313,0.8153,23
24,0.8153,0.8506,0.34847285156166935,0.8153,23
25,0.8166,0.8512,0.3469693568672713,0.8166,25
26,0.8166,0.8512,0.34549183137658424,0.8166,25
27,0.8166,0.8512,0.34401619667333044,0.8166,25
28,0.8176,0.8518,0.3426327416328701,0.8176,28
29,0.8176,0.8518,0.3411059151449372,0.8176,28
30,0.8176,0.8518,0.3395464797101366,0.8176,28
31,0.8176,0.8518,0.3380958696140505,0.8176,28
32,0.8176,0.8518,0.33664842252662225,0.8176,28
33,0.8176,0.8518,0.3352454575100213,0.8176,28
34,0.8176,0.8518,0.33371876730597394,0.8176,28
35,0.8176,0.8518,0.332126100054056,0.8176,28
36,0.8176,0.8518,0.3310656612964371,0.8176,28
37,0.8176,0.8518,0.32951438458765825,0.8176,28
38,0.8176,0.8518,0.3282573563707458,0.8176,28
