epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7293,0.671,0.6282397575645292,0.7293,1
2,0.7357,0.6758,0.6059078073271761,0.7357,2
3,0.7407,0.6797,0.6003151357692683,0.7407,3
4,0.7452,0.6829,0.596342127098005,0.7452,4
5,0.7511,0.6878,0.5915557140552228,0.7511,5
6,0.7595,0.6944,0.5855981673185872,0.7595,6
7,0.7672,0.7011,0.5784742857968789,0.7672,7
8,0.7728,0.7056,0.5723595463039609,0.7728,8
9,0.777,0.7092,0.567351418273474,0.777,9
10,0.7806,0.7123,0.56316967081729,0.7806,10
11,0.7832,0.7147,0.5597903198700664,0.7832,11
12,0.7851,0.7165,0.5573339247890808,0.7851,12
13,0.7867,0.7182,0.5553303208378664,0.7867,13
14,0.7867,0.7182,0.5533426520173309,0.7867,13
15,0.7887,0.72,0.5521793171552454,0.7887,15
16,0.7887,0.72,0.5510917185017433,0.7887,15
17,0.7898,0.721,0.5502329266119402,0.7898,17
18,0.7898,0.721,0.5492882282483036,0.7898,17
19,0.7898,0.721,0.5486966778013166,0.7898,17
20,0.7911,0.7218,0.5478749803673983,0.7911,20
21,0.7911,0.7218,0.5473275906849666,0.7911,20
22,0.7911,0.7218,0.546690884111155,0.7911,20
23,0.7911,0.7218,0.5465189604464239,0.7911,20
24,0.7923,0.7227,0.5457765857884659,0.7923,24
25,0.7923,0.7227,0.5453690893586659,0.7923,24
26,0.7923,0.7227,0.5447845166166511,0.7923,24
27,0.7923,0.7227,0.5444540513681001,0.7923,24
28,0.7933,0.724,0.5442629122401471,0.7933,28
29,0.7933,0.724,0.5436102115842762,0.7933,28
30,0.7933,0.724,0.543213776142131,0.7933,28
31,0.7933,0.724,0.5428273466966153,0.7933,28
32,0.7933,0.724,0.5428511446378076,0.7933,28
33,0.7933,0.724,0.5422651664827643,0.7933,28
34,0.7943,0.7249,0.5419893600967725,0.7943,34
35,0.7943,0.7249,0.5414311876535179,0.7943,34
36,0.7943,0.7249,0.5412404523813545,0.7943,34
37,0.7943,0.7249,0.5409653453488591,0.7943,34
38,0.7943,0.7249,0.5406100103954766,0.7943,34
39,0.7943,0.7249,0.5404849835283057,0.7943,34
40,0.7943,0.7249,0.5403092932436896,0.7943,34
41,0.7954,0.7259,0.539973184841155,0.7954,41
42,0.7954,0.7259,0.5397696407408161,0.7954,41
43,0.7954,0.7259,0.5392658500271859,0.7954,41
44,0.7954,0.7259,0.5392688446983916,0.7954,41
45,0.7954,0.7259,0.5391981743601392,0.7954,41
46,0.7954,0.7259,0.5389079020529401,0.7954,41
47,0.7954,0.7259,0.5385690199879638,0.7954,41
48,0.7954,0.7259,0.5384221350936085,0.7954,41
49,0.7954,0.7259,0.5383729295088427,0.7954,41
50,0.7954,0.7259,0.5379343018274096,0.7954,41
51,0.7954,0.7259,0.5379624895063,0.7954,41
