epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7063,0.74,0.5446839116761623,0.7063,1
2,0.7182,0.7437,0.5240512761377192,0.7182,2
3,0.7242,0.7464,0.5189252165361469,0.7242,3
4,0.727,0.7476,0.5160027051802114,0.727,4
5,0.7288,0.7481,0.5141677498997803,0.7288,5
6,0.73,0.7487,0.5124257982253658,0.73,6
7,0.73,0.7487,0.511437314621092,0.73,6
8,0.732,0.7491,0.5104944530314269,0.732,8
9,0.732,0.7491,0.5095237325222534,0.732,8
10,0.732,0.7491,0.5089809671165835,0.732,8
11,0.7331,0.7496,0.5081692359135953,0.7331,11
12,0.7331,0.7496,0.5077729393461515,0.7331,11
13,0.7331,0.7496,0.5070928115680013,0.7331,11
14,0.7343,0.75,0.5067451825554723,0.7343,14
15,0.7343,0.75,0.5062212194555611,0.7343,14
16,0.7343,0.75,0.5059609910681979,0.7343,14
17,0.7343,0.75,0.5055034564218919,0.7343,14
18,0.7343,0.75,0.5049067002778264,0.7343,14
19,0.7355,0.7502,0.5044928903782683,0.7355,19
20,0.7355,0.7502,0.5042056026647499,0.7355,19
21,0.7355,0.7502,0.5039380179070496,0.7355,19
22,0.7355,0.7502,0.5035266663166692,0.7355,19
23,0.7355,0.7502,0.5033470924930807,0.7355,19
24,0.7355,0.7502,0.5030145167027195,0.7355,19
25,0.7355,0.7502,0.5025578329311203,0.7355,19
26,0.7355,0.7502,0.5022650047159278,0.7355,19
27,0.7368,0.7507,0.5021596003257945,0.7368,27
28,0.7368,0.7507,0.5017818519593404,0.7368,27
29,0.7368,0.7507,0.5014694958480194,0.7368,27
30,0.7368,0.7507,0.5011482204766353,0.7368,27
31,0.7368,0.7507,0.5008714510448874,0.7368,27
32,0.7368,0.7507,0.5008376435007341,0.7368,27
33,0.7368,0.7507,0.5002658594215293,0.7368,27
34,0.7368,0.7507,0.500103045631149,0.7368,27
35,0.7368,0.7507,0.4996162489733847,0.7368,27
36,0.7368,0.7507,0.4996873149896764,0.7368,27
37,0.7368,0.7507,0.4993614628982332,0.7368,27
