epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.8107,0.8202,0.5554378637560099,0.8107,1
2,0.8686,0.8438,0.42840173844422613,0.8686,2
3,0.8843,0.8548,0.3817442303514704,0.8843,3
4,0.8915,0.8588,0.3600172425326746,0.8915,4
5,0.8965,0.862,0.3462407579400661,0.8965,5
6,0.8999,0.8637,0.3373101767190657,0.8999,6
7,0.9028,0.8646,0.33065634806068656,0.9028,7
8,0.9048,0.8656,0.32574820832800133,0.9048,8
9,0.9066,0.8667,0.32168840671882537,0.9066,9
10,0.9084,0.868,0.3181258953447715,0.9084,10
11,0.9098,0.8682,0.3154183703567801,0.9098,11
12,0.9115,0.8687,0.3129840501113646,0.9115,12
13,0.9135,0.8693,0.31001319729867627,0.9135,13
14,0.9161,0.8699,0.3071720473555231,0.9161,14
15,0.9192,0.8721,0.30371141826724746,0.9192,15
16,0.9216,0.8734,0.2997455730985958,0.9216,16
17,0.9228,0.8743,0.2962069692936096,0.9228,17
18,0.924,0.875,0.2934983514876483,0.924,18
19,0.9252,0.8759,0.2903092263954532,0.9252,19
20,0.9263,0.877,0.2870796563597325,0.9263,20
21,0.9263,0.877,0.28419572346546007,0.9263,20
22,0.9278,0.8782,0.2807942677796008,0.9278,22
23,0.9278,0.8782,0.2768724455004753,0.9278,22
24,0.9278,0.8782,0.27247202787909336,0.9278,22
25,0.9278,0.8782,0.26812172116589356,0.9278,22
26,0.9278,0.8782,0.263719042334585,0.9278,22
27,0.9278,0.8782,0.259381593073083,0.9278,22
28,0.9278,0.8782,0.25515323900355313,0.9278,22
29,0.9278,0.8782,0.2511188311350956,0.9278,22
30,0.9278,0.8782,0.24716197274538004,0.9278,22
31,0.9278,0.8782,0.24293782336122036,0.9278,22
32,0.9278,0.8782,0.23939641635188602,0.9278,22
