epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7128,0.8336,0.4633599503558649,0.7128,1
2,0.7428,0.8378,0.4061934257939662,0.7428,2
3,0.7539,0.8385,0.3974407353747425,0.7539,3
4,0.7607,0.8394,0.3925503374671223,0.7607,4
5,0.7658,0.84,0.3890736520730454,0.7658,5
6,0.7708,0.8407,0.38614177119786147,0.7708,6
7,0.7777,0.8416,0.38269311308842296,0.7777,7
8,0.7835,0.8424,0.3783803172921951,0.7835,8
9,0.7902,0.8436,0.3748880887031941,0.7902,9
10,0.7949,0.8441,0.3709942791819437,0.7949,10
11,0.7966,0.8446,0.3683329277075193,0.7966,11
12,0.7989,0.845,0.3664242186535779,0.7989,12
13,0.7989,0.845,0.36491229109668755,0.7989,12
14,0.8011,0.8452,0.3630939753254801,0.8011,14
15,0.8021,0.8451,0.3617940048642784,0.8021,15
16,0.8033,0.8455,0.36037248661952437,0.8033,16
17,0.8044,0.8458,0.3588470417477074,0.8044,17
18,0.8055,0.8464,0.3572312109746113,0.8055,18
19,0.8055,0.8464,0.3560558650954604,0.8055,18
20,0.8074,0.8469,0.3546847712422629,0.8074,20
21,0.8074,0.8469,0.3531616663066323,0.8074,20
22,0.8086,0.8473,0.35170993728096955,0.8086,22
23,0.8086,0.8473,0.3502323574282484,0.8086,22
24,0.8086,0.8473,0.3489886198641637,0.8086,22
25,0.81,0.8482,0.34750292156674145,0.81,25
26,0.81,0.8482,0.3461687733130671,0.81,25
27,0.8111,0.8489,0.34469787825666715,0.8111,27
28,0.8111,0.8489,0.3432061625377782,0.8111,27
29,0.8111,0.8489,0.34193689635911495,0.8111,27
30,0.8111,0.8489,0.3406291118112666,0.8111,27
31,0.8111,0.8489,0.33907824304286116,0.8111,27
32,0.8111,0.8489,0.33763682972615927,0.8111,27
33,0.8123,0.8496,0.3363366543943555,0.8123,33
34,0.8123,0.8496,0.3347771394507472,0.8123,33
35,0.8123,0.8496,0.3332375212224723,0.8123,33
36,0.8123,0.8496,0.33235511550964203,0.8123,33
37,0.8123,0.8496,0.33069127615094224,0.8123,33
38,0.8123,0.8496,0.3296388040831428,0.8123,33
39,0.8123,0.8496,0.32842780884848577,0.8123,33
40,0.8123,0.8496,0.32727661988175977,0.8123,33
41,0.8123,0.8496,0.32585144879586253,0.8123,33
42,0.8123,0.8496,0.32500974370829794,0.8123,33
43,0.8123,0.8496,0.32370206381730016,0.8123,33
