epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7272,0.6695,0.6287354278732104,0.7272,1
2,0.734,0.6742,0.6062959175820711,0.734,2
3,0.739,0.6783,0.6010228140666967,0.739,3
4,0.7435,0.6816,0.5970531163048184,0.7435,4
5,0.7492,0.6864,0.5928212513699985,0.7492,5
6,0.7567,0.6926,0.5874748425853294,0.7567,6
7,0.7644,0.7,0.5808044837996839,0.7644,7
8,0.77,0.7043,0.5741835566354393,0.77,8
9,0.774,0.7075,0.5694729373013434,0.774,9
10,0.7774,0.7105,0.5654308322989259,0.7774,10
11,0.7797,0.7137,0.562146112284137,0.7797,11
12,0.7818,0.7149,0.5593277587619747,0.7818,12
13,0.7836,0.7168,0.557338698957282,0.7836,13
14,0.7848,0.7176,0.5555416023274676,0.7848,14
15,0.7848,0.7176,0.5538177904629455,0.7848,14
16,0.7866,0.7194,0.5526416748786288,0.7866,16
17,0.7866,0.7194,0.5516732337737981,0.7866,16
18,0.7878,0.7204,0.550453291976791,0.7878,18
19,0.7878,0.7204,0.5495258340216248,0.7878,18
20,0.7878,0.7204,0.5487249114984367,0.7878,18
21,0.7893,0.7212,0.548096894611314,0.7893,21
22,0.7893,0.7212,0.5473565852014045,0.7893,21
23,0.7893,0.7212,0.5469369628087016,0.7893,21
24,0.7893,0.7212,0.5464228364768301,0.7893,21
25,0.7904,0.7226,0.5459711480575947,0.7904,25
26,0.7904,0.7226,0.5454125341448316,0.7904,25
27,0.7904,0.7226,0.5448155557419966,0.7904,25
28,0.7904,0.7226,0.5444488860908749,0.7904,25
29,0.7904,0.7226,0.5439786362827378,0.7904,25
30,0.7916,0.7235,0.5437392903365462,0.7916,30
31,0.7916,0.7235,0.5432580799142414,0.7916,30
32,0.7916,0.7235,0.5429062015108701,0.7916,30
33,0.7916,0.7235,0.5425540155618522,0.7916,30
34,0.7916,0.7235,0.5421024891420062,0.7916,30
35,0.7916,0.7235,0.54192692079676,0.7916,30
36,0.7926,0.7241,0.5417933258598119,0.7926,36
37,0.7926,0.7241,0.5413013217778186,0.7926,36
38,0.7926,0.7241,0.5408840206297443,0.7926,36
39,0.7926,0.7241,0.5405578851160998,0.7926,36
40,0.7926,0.7241,0.540511636998808,0.7926,36
41,0.7926,0.7241,0.5397423402087993,0.7926,36
42,0.7926,0.7241,0.5400163470714435,0.7926,36
43,0.7926,0.7241,0.5396386668775013,0.7926,36
44,0.7936,0.7241,0.5392108793917483,0.7936,44
45,0.7936,0.7241,0.5391609662418423,0.7936,44
46,0.7936,0.7241,0.5387591698241565,0.7936,44
47,0.7936,0.7241,0.5385157884727426,0.7936,44
48,0.7936,0.7241,0.5384320592530863,0.7936,44
49,0.7936,0.7241,0.5380648129036147,0.7936,44
50,0.7936,0.7241,0.5378207061323511,0.7936,44
51,0.7936,0.7241,0.5374858388356037,0.7936,44
52,0.7936,0.7241,0.5372320880488528,0.7936,44
53,0.7936,0.7241,0.5371884173108726,0.7936,44
54,0.7946,0.7254,0.5369811827037745,0.7946,54
55,0.7946,0.7254,0.5368409611853269,0.7946,54
56,0.7946,0.7254,0.5367763635663693,0.7946,54
57,0.7946,0.7254,0.5364685082238296,0.7946,54
58,0.7946,0.7254,0.536294043037681,0.7946,54
59,0.7946,0.7254,0.5358962458845288,0.7946,54
60,0.7946,0.7254,0.5358218221022977,0.7946,54
61,0.7946,0.7254,0.5355567999097441,0.7946,54
62,0.7946,0.7254,0.5354691824712663,0.7946,54
63,0.7946,0.7254,0.5352922043266974,0.7946,54
64,0.7946,0.7254,0.5352639549297887,0.7946,54
