epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7228,0.7118,0.6109854929873083,0.7228,1
2,0.7551,0.7354,0.5510114533783254,0.7551,2
3,0.7709,0.7487,0.5316765140452465,0.7709,3
4,0.7817,0.7537,0.5143004491404494,0.7817,4
5,0.7878,0.7561,0.501256581641049,0.7878,5
6,0.7917,0.7569,0.4922729056088175,0.7917,6
7,0.7949,0.759,0.48576275998628304,0.7949,7
8,0.7973,0.7591,0.48034533269041835,0.7973,8
9,0.7994,0.7602,0.47670712777976304,0.7994,9
10,0.8009,0.7604,0.47379985301722954,0.8009,10
11,0.8024,0.7612,0.4715611311134708,0.8024,11
12,0.8034,0.7622,0.46931694910917715,0.8034,12
13,0.805,0.7638,0.46770462187521206,0.805,13
14,0.805,0.7638,0.46468941326282076,0.805,13
15,0.807,0.7647,0.46338958151913684,0.807,15
16,0.807,0.7647,0.46232035767249685,0.807,15
17,0.8089,0.7658,0.4608600038521589,0.8089,17
18,0.8101,0.7663,0.45945263708809914,0.8101,18
19,0.8101,0.7663,0.4574520798911246,0.8101,18
20,0.812,0.7677,0.45619095246047975,0.812,20
21,0.8131,0.7681,0.4547057882015033,0.8131,21
22,0.8145,0.7687,0.4533153436526917,0.8145,22
23,0.8158,0.7698,0.4512595830260125,0.8158,23
24,0.8173,0.7704,0.44999947019790404,0.8173,24
25,0.8185,0.7713,0.4476701710014625,0.8185,25
26,0.82,0.7718,0.4455089624626305,0.82,26
27,0.8216,0.7716,0.4434684888718989,0.8216,27
28,0.8229,0.7725,0.44090573433868907,0.8229,28
29,0.8229,0.7725,0.438739988356091,0.8229,28
30,0.825,0.7741,0.43647770265271485,0.825,30
31,0.8263,0.7741,0.4331411927705742,0.8263,31
32,0.8263,0.7741,0.43139990292940505,0.8263,31
33,0.8274,0.7744,0.42873842987004623,0.8274,33
34,0.8274,0.7744,0.42708269912321,0.8274,33
35,0.8287,0.7756,0.4245105792002,0.8287,35
36,0.8287,0.7756,0.4224489966115917,0.8287,35
37,0.8287,0.7756,0.4202708325800681,0.8287,35
38,0.8299,0.7779,0.41820085336436,0.8299,38
39,0.8299,0.7779,0.4158294158220254,0.8299,38
40,0.8299,0.7779,0.4139837211885488,0.8299,38
41,0.8299,0.7779,0.41241304247067845,0.8299,38
42,0.8309,0.7788,0.4096510926588573,0.8309,42
43,0.8309,0.7788,0.4081313288916049,0.8309,42
44,0.8309,0.7788,0.40605003090530145,0.8309,42
45,0.8309,0.7788,0.40523495387762387,0.8309,42
46,0.8309,0.7788,0.4036414147105614,0.8309,42
47,0.8309,0.7788,0.40145867854281825,0.8309,42
48,0.8309,0.7788,0.40006415477990026,0.8309,42
49,0.8309,0.7788,0.3986477354409974,0.8309,42
50,0.8309,0.7788,0.3977769647250618,0.8309,42
51,0.8309,0.7788,0.3964651566055833,0.8309,42
52,0.8309,0.7788,0.39533655986296745,0.8309,42
