epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7315,0.7139,1.018860142725645,0.7315,1
2,0.7593,0.7308,0.92679197567921,0.7593,2
3,0.7773,0.7428,0.8984715840429894,0.7773,3
4,0.7905,0.7501,0.8773870053171763,0.7905,4
5,0.797,0.7522,0.8533206624564484,0.797,5
6,0.7999,0.7556,0.8435151648886934,0.7999,6
7,0.8037,0.7565,0.8384386489998356,0.8037,7
8,0.8068,0.7586,0.8369598847924435,0.8068,8
9,0.8086,0.7598,0.8303795362659154,0.8086,9
10,0.8105,0.7605,0.8208480284403367,0.8105,10
11,0.8124,0.7619,0.8247943199081246,0.8124,11
12,0.8138,0.7613,0.8197779568161555,0.8138,12
13,0.8153,0.764,0.8134284767755234,0.8153,13
14,0.8168,0.7656,0.8072727881165137,0.8168,14
15,0.8168,0.7656,0.8074977182595244,0.8168,14
16,0.8186,0.7652,0.8118859346308475,0.8186,16
17,0.8186,0.7652,0.7950655980033591,0.8186,16
18,0.8204,0.7674,0.8017724609028182,0.8204,18
19,0.8215,0.768,0.8037779239412929,0.8215,19
20,0.8215,0.768,0.8044701319764287,0.8215,19
21,0.8234,0.7694,0.7895964207488094,0.8234,21
22,0.8234,0.7694,0.8037634534857688,0.8234,21
23,0.8256,0.7714,0.8001170954665012,0.8256,23
24,0.8256,0.7714,0.7953758688677138,0.8256,23
25,0.8275,0.7732,0.7860573220136011,0.8275,25
26,0.8286,0.7747,0.7951555555852695,0.8286,26
27,0.8297,0.7741,0.7889470139218057,0.8297,27
28,0.831,0.7744,0.7860495553436561,0.831,28
29,0.831,0.7744,0.7864980027632712,0.831,28
30,0.831,0.7744,0.7908975579202528,0.831,28
31,0.8333,0.776,0.7889212504980675,0.8333,31
32,0.8333,0.776,0.7850672542174016,0.8333,31
33,0.8352,0.7773,0.7743315283311502,0.8352,33
34,0.8366,0.7773,0.7815664408074876,0.8366,34
35,0.8366,0.7773,0.7726141823201332,0.8366,34
36,0.8366,0.7773,0.7707902643519075,0.8366,34
37,0.8387,0.7792,0.7718716650181916,0.8387,37
38,0.8387,0.7792,0.7597240401306463,0.8387,37
39,0.8387,0.7792,0.7717245516014359,0.8387,37
40,0.8387,0.7792,0.7677828365008658,0.8387,37
41,0.8387,0.7792,0.7622210944036611,0.8387,37
42,0.8387,0.7792,0.7629214435636125,0.8387,37
43,0.8387,0.7792,0.7722035346125602,0.8387,37
44,0.8387,0.7792,0.7716811470983199,0.8387,37
45,0.8409,0.7794,0.7598134987873811,0.8409,45
46,0.8409,0.7794,0.762789639396367,0.8409,45
47,0.8409,0.7794,0.7554828621492752,0.8409,45
48,0.8409,0.7794,0.7557169105329535,0.8409,45
49,0.8428,0.7807,0.7516652101186012,0.8428,49
50,0.8428,0.7807,0.7485634915082496,0.8428,49
51,0.8428,0.7807,0.7514709906207585,0.8428,49
52,0.8428,0.7807,0.7461411874646391,0.8428,49
53,0.8428,0.7807,0.7516377036624343,0.8428,49
54,0.8428,0.7807,0.7500856252846758,0.8428,49
55,0.8428,0.7807,0.7440927753072719,0.8428,49
56,0.8428,0.7807,0.7423499934409236,0.8428,49
57,0.8439,0.7811,0.7326640062454698,0.8439,57
58,0.8439,0.7811,0.7405423440083552,0.8439,57
59,0.8439,0.7811,0.7303823495798839,0.8439,57
60,0.8439,0.7811,0.7406505322337855,0.8439,57
61,0.8439,0.7811,0.7438897306056984,0.8439,57
62,0.8439,0.7811,0.7390483600616027,0.8439,57
63,0.8439,0.7811,0.7278269379761152,0.8439,57
64,0.8439,0.7811,0.7370574552121795,0.8439,57
65,0.8439,0.7811,0.7335612569855895,0.8439,57
66,0.8439,0.7811,0.7361982341391712,0.8439,57
67,0.8439,0.7811,0.7350675362147941,0.8439,57
