epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.7327,0.7212,1.0192398763097086,0.7327,1
2,0.7642,0.7404,0.9269562629822343,0.7642,2
3,0.7842,0.7524,0.9023924535472214,0.7842,3
4,0.7972,0.7543,0.8822950860674691,0.7972,4
5,0.8055,0.7643,0.8601960937594467,0.8055,5
6,0.8108,0.7665,0.8525723131185393,0.8108,6
7,0.8133,0.7677,0.844683068136781,0.8133,7
8,0.8161,0.7693,0.8399965218187139,0.8161,8
9,0.8182,0.7709,0.831959897202918,0.8182,9
10,0.8194,0.7716,0.8272479666283409,0.8194,10
11,0.821,0.7728,0.820170162738782,0.821,11
12,0.8222,0.773,0.8167690679206165,0.8222,12
13,0.8233,0.7734,0.8187486435394661,0.8233,13
14,0.8245,0.7736,0.8165121300736872,0.8245,14
15,0.8256,0.7741,0.8131299435327612,0.8256,15
16,0.8267,0.7763,0.8087482480616508,0.8267,16
17,0.8267,0.7763,0.8070035409977173,0.8267,16
18,0.8288,0.7778,0.8041486876390395,0.8288,18
19,0.8299,0.778,0.8054362052945141,0.8299,19
20,0.8299,0.778,0.8037344538486632,0.8299,19
21,0.8321,0.7776,0.8006783530324372,0.8321,21
22,0.8333,0.7811,0.7997848523912917,0.8333,22
23,0.8333,0.7811,0.7975271975559552,0.8333,22
24,0.8356,0.7821,0.7912651963385143,0.8356,24
25,0.8356,0.7821,0.7918978712216456,0.8356,24
26,0.8381,0.7833,0.7920817963359772,0.8381,26
27,0.8395,0.7846,0.7907348823611331,0.8395,27
28,0.8406,0.7844,0.7878667512169876,0.8406,28
29,0.8406,0.7844,0.7855380435808929,0.8406,28
30,0.8431,0.7878,0.7849324592167313,0.8431,30
31,0.8445,0.7877,0.780590421779381,0.8445,31
32,0.8445,0.7877,0.7757538040612766,0.8445,31
33,0.8445,0.7877,0.7771050343350315,0.8445,31
34,0.8464,0.7883,0.7769694833222927,0.8464,34
35,0.8464,0.7883,0.7712032140425552,0.8464,34
36,0.848,0.7876,0.7722008883835397,0.848,36
37,0.848,0.7876,0.7690000260883186,0.848,36
38,0.8491,0.7885,0.7670360082218983,0.8491,38
39,0.8505,0.7895,0.7683902531301677,0.8505,39
40,0.8505,0.7895,0.7668123786665935,0.8505,39
41,0.8505,0.7895,0.765836850831024,0.8505,39
42,0.8505,0.7895,0.7604353096983804,0.8505,39
43,0.8518,0.7899,0.7603467038726439,0.8518,43
44,0.8518,0.7899,0.7580508454456977,0.8518,43
45,0.8518,0.7899,0.7534495968848457,0.8518,43
46,0.8518,0.7899,0.7535280105736281,0.8518,43
47,0.8518,0.7899,0.7550452327454611,0.8518,43
48,0.8518,0.7899,0.7483657946840289,0.8518,43
49,0.8528,0.7907,0.7491111898517085,0.8528,49
50,0.8528,0.7907,0.7499110902412939,0.8528,49
51,0.8528,0.7907,0.747402444256032,0.8528,49
52,0.8528,0.7907,0.7466668870317568,0.8528,49
53,0.8528,0.7907,0.7451323942284832,0.8528,49
54,0.8528,0.7907,0.7393701700870784,0.8528,49
55,0.8528,0.7907,0.7434095342905319,0.8528,49
56,0.8528,0.7907,0.7383345271728311,0.8528,49
57,0.8528,0.7907,0.7377526469869761,0.8528,49
58,0.8528,0.7907,0.737547394793804,0.8528,49
59,0.8528,0.7907,0.7373814117724149,0.8528,49
